county,precinct,office,district,party,candidate,votes,absentee
Lewis,Croghan 3 LD 2,Governor,,,Write-in,0,
Lewis,Croghan 4 LD 1,Governor,,,Write-in,0,
Lewis,Denmark 1 LD 2,Governor,,,Write-in,0,
Lewis,Denmark 2 LD 3,Governor,,,Write-in,0,
Lewis,Denmark 3 LD 3,Governor,,,Write-in,1,
Lewis,Diana 1 LD 1,Governor,,,Write-in,0,
Lewis,Diana 2 LD 1,Governor,,,Write-in,0,
Lewis,Greig LD 9,Governor,,,Write-in,0,
Lewis,Harrisburg LD 8,Governor,,,Write-in,0,
Lewis,Lewis LD 10,Governor,,,Write-in,0,
Lewis,Leyden 1 LD 10,Governor,,,Write-in,1,
Lewis,Leyden 2 LD 10,Governor,,,Write-in,0,
Lewis,Leyden 3 LD 10,Governor,,,Write-in,0,
Lewis,Lowville 1 LD 6,Governor,,,Write-in,0,
Lewis,Lowville 2 LD 5,Governor,,,Write-in,0,
Lewis,Lowville 3 LD 3,Governor,,,Write-in,0,
Lewis,Lowville 4 LD 5,Governor,,,Write-in,1,
Lewis,Lowville 5 LD 7,Governor,,,Write-in,0,
Lewis,Lyonsdale 1 LD 9,Governor,,,Write-in,0,
Lewis,Lyonsdale 2 LD 9,Governor,,,Write-in,0,
Lewis,Lyonsdale 3 LD 9,Governor,,,Write-in,0,
Lewis,Martinsburg LD 7,Governor,,,Write-in,0,
Lewis,Montague LD 8,Governor,,,Write-in,0,
Lewis,New Bremen 1 LD 4,Governor,,,Write-in,0,
Lewis,New Bremen 2 LD 4,Governor,,,Write-in,0,
Lewis,Osceola LD 10,Governor,,,Write-in,0,
Lewis,Pinckney LD 8,Governor,,,Write-in,0,
Lewis,Turin LD 7,Governor,,,Write-in,0,
Lewis,Watson LD 6,Governor,,,Write-in,0,
Lewis,West Turin 1 LD 8,Governor,,,Write-in,0,
Lewis,West Turin 2 LD 8,Governor,,,Write-in,0,
Lewis,West Turin 3 LD 8,Governor,,,Write-in,0,
Lewis,West Turin 4 LD 8,Governor,,,Write-in,1,
Lewis,Total,Governor,,,Write-in,5,
Lewis,Croghan 1 LD 2,Governor,,,Blank or Void,7,
Lewis,Croghan 2 LD 2,Governor,,,Blank or Void,15,
Lewis,Croghan 3 LD 2,Governor,,,Blank or Void,8,
Lewis,Croghan 4 LD 1,Governor,,,Blank or Void,4,
Lewis,Denmark 1 LD 2,Governor,,,Blank or Void,2,
Lewis,Denmark 2 LD 3,Governor,,,Blank or Void,5,
Lewis,Denmark 3 LD 3,Governor,,,Blank or Void,4,
Lewis,Diana 1 LD 1,Governor,,,Blank or Void,4,
Lewis,Diana 2 LD 1,Governor,,,Blank or Void,4,
Lewis,Greig LD 9,Governor,,,Blank or Void,25,
Lewis,Harrisburg LD 8,Governor,,,Blank or Void,2,
Lewis,Lewis LD 10,Governor,,,Blank or Void,4,
Lewis,Leyden 1 LD 10,Governor,,,Blank or Void,2,
Lewis,Leyden 2 LD 10,Governor,,,Blank or Void,1,
Lewis,Leyden 3 LD 10,Governor,,,Blank or Void,12,
Lewis,Lowville 1 LD 6,Governor,,,Blank or Void,4,
Lewis,Lowville 2 LD 5,Governor,,,Blank or Void,9,
Lewis,Lowville 3 LD 3,Governor,,,Blank or Void,3,
Lewis,Lowville 4 LD 5,Governor,,,Blank or Void,11,
Lewis,Lowville 5 LD 7,Governor,,,Blank or Void,6,
Lewis,Lyonsdale 1 LD 9,Governor,,,Blank or Void,4,
Lewis,Lyonsdale 2 LD 9,Governor,,,Blank or Void,2,
Lewis,Lyonsdale 3 LD 9,Governor,,,Blank or Void,0,
Lewis,Martinsburg LD 7,Governor,,,Blank or Void,12,
Lewis,Montague LD 8,Governor,,,Blank or Void,0,
Lewis,New Bremen 1 LD 4,Governor,,,Blank or Void,12,
Lewis,New Bremen 2 LD 4,Governor,,,Blank or Void,18,
Lewis,Osceola LD 10,Governor,,,Blank or Void,1,
Lewis,Pinckney LD 8,Governor,,,Blank or Void,2,
Lewis,Turin LD 7,Governor,,,Blank or Void,7,
Lewis,Watson LD 6,Governor,,,Blank or Void,8,
Lewis,West Turin 1 LD 8,Governor,,,Blank or Void,6,
Lewis,West Turin 2 LD 8,Governor,,,Blank or Void,1,
Lewis,West Turin 3 LD 8,Governor,,,Blank or Void,5,
Lewis,West Turin 4 LD 8,Governor,,,Blank or Void,2,
Lewis,Total,Governor,,,Blank or Void,212,
Lewis,Croghan 1 LD 2,Comptroller,,DEM,Thomas P. DiNapoli,31,0
Lewis,Croghan 2 LD 2,Comptroller,,DEM,Thomas P. DiNapoli,54,4
Lewis,Croghan 3 LD 2,Comptroller,,DEM,Thomas P. DiNapoli,91,3
Lewis,Croghan 4 LD 1,Comptroller,,DEM,Thomas P. DiNapoli,60,0
Lewis,Denmark 1 LD 2,Comptroller,,DEM,Thomas P. DiNapoli,47,4
Lewis,Denmark 2 LD 3,Comptroller,,DEM,Thomas P. DiNapoli,94,3
Lewis,Denmark 3 LD 3,Comptroller,,DEM,Thomas P. DiNapoli,50,2
Lewis,Diana 1 LD 1,Comptroller,,DEM,Thomas P. DiNapoli,96,6
Lewis,Diana 2 LD 1,Comptroller,,DEM,Thomas P. DiNapoli,50,2
Lewis,Greig LD 9,Comptroller,,DEM,Thomas P. DiNapoli,140,7
Lewis,Harrisburg LD 8,Comptroller,,DEM,Thomas P. DiNapoli,49,2
Lewis,Lewis LD 10,Comptroller,,DEM,Thomas P. DiNapoli,73,2
Lewis,Leyden 1 LD 10,Comptroller,,DEM,Thomas P. DiNapoli,54,4
Lewis,Leyden 2 LD 10,Comptroller,,DEM,Thomas P. DiNapoli,25,1
Lewis,Leyden 3 LD 10,Comptroller,,DEM,Thomas P. DiNapoli,39,1
Lewis,Lowville 1 LD 6,Comptroller,,DEM,Thomas P. DiNapoli,77,11
Lewis,Lowville 2 LD 5,Comptroller,,DEM,Thomas P. DiNapoli,107,2
Lewis,Lowville 3 LD 3,Comptroller,,DEM,Thomas P. DiNapoli,33,7
Lewis,Lowville 4 LD 5,Comptroller,,DEM,Thomas P. DiNapoli,188,12
Lewis,Lowville 5 LD 7,Comptroller,,DEM,Thomas P. DiNapoli,45,4
Lewis,Lyonsdale 1 LD 9,Comptroller,,DEM,Thomas P. DiNapoli,45,5
Lewis,Lyonsdale 2 LD 9,Comptroller,,DEM,Thomas P. DiNapoli,17,0
Lewis,Lyonsdale 3 LD 9,Comptroller,,DEM,Thomas P. DiNapoli,5,0
Lewis,Martinsburg LD 7,Comptroller,,DEM,Thomas P. DiNapoli,110,5
Lewis,Montague LD 8,Comptroller,,DEM,Thomas P. DiNapoli,7,0
Lewis,New Bremen 1 LD 4,Comptroller,,DEM,Thomas P. DiNapoli,129,7
Lewis,New Bremen 2 LD 4,Comptroller,,DEM,Thomas P. DiNapoli,165,5
Lewis,Osceola LD 10,Comptroller,,DEM,Thomas P. DiNapoli,27,3
Lewis,Pinckney LD 8,Comptroller,,DEM,Thomas P. DiNapoli,28,2
Lewis,Turin LD 7,Comptroller,,DEM,Thomas P. DiNapoli,69,5
Lewis,Watson LD 6,Comptroller,,DEM,Thomas P. DiNapoli,170,11
Lewis,West Turin 1 LD 8,Comptroller,,DEM,Thomas P. DiNapoli,50,1
Lewis,West Turin 2 LD 8,Comptroller,,DEM,Thomas P. DiNapoli,8,0
Lewis,West Turin 3 LD 8,Comptroller,,DEM,Thomas P. DiNapoli,31,3
Lewis,West Turin 4 LD 8,Comptroller,,DEM,Thomas P. DiNapoli,47,3
Lewis,Total,Comptroller,,DEM,Thomas P. DiNapoli,2311,127
Lewis,Croghan 1 LD 2,Comptroller,,REP,Robert Antonacci,51,3
Lewis,Croghan 2 LD 2,Comptroller,,REP,Robert Antonacci,75,4
Lewis,Croghan 3 LD 2,Comptroller,,REP,Robert Antonacci,110,2
Lewis,Croghan 4 LD 1,Comptroller,,REP,Robert Antonacci,105,7
Lewis,Denmark 1 LD 2,Comptroller,,REP,Robert Antonacci,49,3
Lewis,Denmark 2 LD 3,Comptroller,,REP,Robert Antonacci,107,4
Lewis,Denmark 3 LD 3,Comptroller,,REP,Robert Antonacci,75,5
Lewis,Diana 1 LD 1,Comptroller,,REP,Robert Antonacci,135,2
Lewis,Diana 2 LD 1,Comptroller,,REP,Robert Antonacci,59,4
Lewis,Greig LD 9,Comptroller,,REP,Robert Antonacci,127,16
Lewis,Harrisburg LD 8,Comptroller,,REP,Robert Antonacci,44,2
Lewis,Lewis LD 10,Comptroller,,REP,Robert Antonacci,88,4
Lewis,Leyden 1 LD 10,Comptroller,,REP,Robert Antonacci,73,3
Lewis,Leyden 2 LD 10,Comptroller,,REP,Robert Antonacci,52,0
Lewis,Leyden 3 LD 10,Comptroller,,REP,Robert Antonacci,50,4
Lewis,Lowville 1 LD 6,Comptroller,,REP,Robert Antonacci,64,12
Lewis,Lowville 2 LD 5,Comptroller,,REP,Robert Antonacci,94,4
Lewis,Lowville 3 LD 3,Comptroller,,REP,Robert Antonacci,48,8
Lewis,Lowville 4 LD 5,Comptroller,,REP,Robert Antonacci,180,18
Lewis,Lowville 5 LD 7,Comptroller,,REP,Robert Antonacci,38,2
Lewis,Lyonsdale 1 LD 9,Comptroller,,REP,Robert Antonacci,96,1
Lewis,Lyonsdale 2 LD 9,Comptroller,,REP,Robert Antonacci,20,1
Lewis,Lyonsdale 3 LD 9,Comptroller,,REP,Robert Antonacci,10,0
Lewis,Martinsburg LD 7,Comptroller,,REP,Robert Antonacci,134,5
Lewis,Montague LD 8,Comptroller,,REP,Robert Antonacci,17,2
Lewis,New Bremen 1 LD 4,Comptroller,,REP,Robert Antonacci,126,2
Lewis,New Bremen 2 LD 4,Comptroller,,REP,Robert Antonacci,131,10
Lewis,Osceola LD 10,Comptroller,,REP,Robert Antonacci,48,2
Lewis,Pinckney LD 8,Comptroller,,REP,Robert Antonacci,53,4
Lewis,Turin LD 7,Comptroller,,REP,Robert Antonacci,67,5
Lewis,Watson LD 6,Comptroller,,REP,Robert Antonacci,167,13
Lewis,West Turin 1 LD 8,Comptroller,,REP,Robert Antonacci,82,5
Lewis,West Turin 2 LD 8,Comptroller,,REP,Robert Antonacci,18,1
Lewis,West Turin 3 LD 8,Comptroller,,REP,Robert Antonacci,28,1
Lewis,West Turin 4 LD 8,Comptroller,,REP,Robert Antonacci,55,3
Lewis,Total,Comptroller,,REP,Robert Antonacci,2676,162
Lewis,Croghan 1 LD 2,Comptroller,,CON/SCC,Robert Antonacci,11,0
Lewis,Croghan 2 LD 2,Comptroller,,CON/SCC,Robert Antonacci,8,2
Lewis,Croghan 3 LD 2,Comptroller,,CON/SCC,Robert Antonacci,24,3
Lewis,Croghan 4 LD 1,Comptroller,,CON/SCC,Robert Antonacci,16,1
Lewis,Denmark 1 LD 2,Comptroller,,CON/SCC,Robert Antonacci,7,0
Lewis,Denmark 2 LD 3,Comptroller,,CON/SCC,Robert Antonacci,21,0
Lewis,Denmark 3 LD 3,Comptroller,,CON/SCC,Robert Antonacci,16,0
Lewis,Diana 1 LD 1,Comptroller,,CON/SCC,Robert Antonacci,26,1
Lewis,Diana 2 LD 1,Comptroller,,CON/SCC,Robert Antonacci,10,1
Lewis,Greig LD 9,Comptroller,,CON/SCC,Robert Antonacci,26,2
Lewis,Harrisburg LD 8,Comptroller,,CON/SCC,Robert Antonacci,9,0
Lewis,Lewis LD 10,Comptroller,,CON/SCC,Robert Antonacci,31,1
Lewis,Leyden 1 LD 10,Comptroller,,CON/SCC,Robert Antonacci,20,0
Lewis,Leyden 2 LD 10,Comptroller,,CON/SCC,Robert Antonacci,12,0
Lewis,Leyden 3 LD 10,Comptroller,,CON/SCC,Robert Antonacci,4,0
Lewis,Lowville 1 LD 6,Comptroller,,CON/SCC,Robert Antonacci,9,1
Lewis,Lowville 2 LD 5,Comptroller,,CON/SCC,Robert Antonacci,13,0
Lewis,Lowville 3 LD 3,Comptroller,,CON/SCC,Robert Antonacci,9,3
Lewis,Lowville 4 LD 5,Comptroller,,CON/SCC,Robert Antonacci,37,0
Lewis,Lowville 5 LD 7,Comptroller,,CON/SCC,Robert Antonacci,5,1
Lewis,Lyonsdale 1 LD 9,Comptroller,,CON/SCC,Robert Antonacci,29,2
Lewis,Lyonsdale 2 LD 9,Comptroller,,CON/SCC,Robert Antonacci,4,0
Lewis,Lyonsdale 3 LD 9,Comptroller,,CON/SCC,Robert Antonacci,0,0
Lewis,Martinsburg LD 7,Comptroller,,CON/SCC,Robert Antonacci,24,2
Lewis,Montague LD 8,Comptroller,,CON/SCC,Robert Antonacci,1,0
Lewis,New Bremen 1 LD 4,Comptroller,,CON/SCC,Robert Antonacci,18,1
Lewis,New Bremen 2 LD 4,Comptroller,,CON/SCC,Robert Antonacci,32,0
Lewis,Osceola LD 10,Comptroller,,CON/SCC,Robert Antonacci,8,0
Lewis,Pinckney LD 8,Comptroller,,CON/SCC,Robert Antonacci,7,1
Lewis,Turin LD 7,Comptroller,,CON/SCC,Robert Antonacci,8,1
Lewis,Watson LD 6,Comptroller,,CON/SCC,Robert Antonacci,29,2
Lewis,West Turin 1 LD 8,Comptroller,,CON/SCC,Robert Antonacci,17,0
Lewis,West Turin 2 LD 8,Comptroller,,CON/SCC,Robert Antonacci,2,0
Lewis,West Turin 3 LD 8,Comptroller,,CON/SCC,Robert Antonacci,6,2
Lewis,West Turin 4 LD 8,Comptroller,,CON/SCC,Robert Antonacci,12,0
Lewis,Total,Comptroller,,CON/SCC,Robert Antonacci,511,27
Lewis,Croghan 1 LD 2,Comptroller,,WF,Thomas P. DiNapoli,4,0
Lewis,Croghan 2 LD 2,Comptroller,,WF,Thomas P. DiNapoli,7,0
Lewis,Croghan 3 LD 2,Comptroller,,WF,Thomas P. DiNapoli,6,0
Lewis,Croghan 4 LD 1,Comptroller,,WF,Thomas P. DiNapoli,6,0
Lewis,Denmark 1 LD 2,Comptroller,,WF,Thomas P. DiNapoli,5,0
Lewis,Denmark 2 LD 3,Comptroller,,WF,Thomas P. DiNapoli,2,2
Lewis,Denmark 3 LD 3,Comptroller,,WF,Thomas P. DiNapoli,8,0
Lewis,Diana 1 LD 1,Comptroller,,WF,Thomas P. DiNapoli,7,0
Lewis,Diana 2 LD 1,Comptroller,,WF,Thomas P. DiNapoli,4,0
Lewis,Greig LD 9,Comptroller,,WF,Thomas P. DiNapoli,16,0
Lewis,Harrisburg LD 8,Comptroller,,WF,Thomas P. DiNapoli,3,0
Lewis,Lewis LD 10,Comptroller,,WF,Thomas P. DiNapoli,7,0
Lewis,Leyden 1 LD 10,Comptroller,,WF,Thomas P. DiNapoli,5,0
Lewis,Leyden 2 LD 10,Comptroller,,WF,Thomas P. DiNapoli,3,0
Lewis,Leyden 3 LD 10,Comptroller,,WF,Thomas P. DiNapoli,10,0
Lewis,Lowville 1 LD 6,Comptroller,,WF,Thomas P. DiNapoli,4,0
Lewis,Lowville 2 LD 5,Comptroller,,WF,Thomas P. DiNapoli,5,0
Lewis,Lowville 3 LD 3,Comptroller,,WF,Thomas P. DiNapoli,3,0
Lewis,Lowville 4 LD 5,Comptroller,,WF,Thomas P. DiNapoli,20,0
Lewis,Lowville 5 LD 7,Comptroller,,WF,Thomas P. DiNapoli,2,0
Lewis,Lyonsdale 1 LD 9,Comptroller,,WF,Thomas P. DiNapoli,2,0
Lewis,Lyonsdale 2 LD 9,Comptroller,,WF,Thomas P. DiNapoli,3,0
Lewis,Lyonsdale 3 LD 9,Comptroller,,WF,Thomas P. DiNapoli,0,0
Lewis,Martinsburg LD 7,Comptroller,,WF,Thomas P. DiNapoli,8,1
Lewis,Montague LD 8,Comptroller,,WF,Thomas P. DiNapoli,1,0
Lewis,New Bremen 1 LD 4,Comptroller,,WF,Thomas P. DiNapoli,2,0
Lewis,New Bremen 2 LD 4,Comptroller,,WF,Thomas P. DiNapoli,14,0
Lewis,Osceola LD 10,Comptroller,,WF,Thomas P. DiNapoli,1,0
Lewis,Pinckney LD 8,Comptroller,,WF,Thomas P. DiNapoli,3,0
Lewis,Turin LD 7,Comptroller,,WF,Thomas P. DiNapoli,9,0
Lewis,Watson LD 6,Comptroller,,WF,Thomas P. DiNapoli,17,1
Lewis,West Turin 1 LD 8,Comptroller,,WF,Thomas P. DiNapoli,6,0
Lewis,West Turin 2 LD 8,Comptroller,,WF,Thomas P. DiNapoli,2,0
Lewis,West Turin 3 LD 8,Comptroller,,WF,Thomas P. DiNapoli,1,0
Lewis,West Turin 4 LD 8,Comptroller,,WF,Thomas P. DiNapoli,8,0
Lewis,Total,Comptroller,,WF,Thomas P. DiNapoli,204,4
Lewis,Croghan 1 LD 2,Comptroller,,IND/WEP,Thomas P. DiNapoli,2,0
Lewis,Croghan 2 LD 2,Comptroller,,IND/WEP,Thomas P. DiNapoli,8,1
Lewis,Croghan 3 LD 2,Comptroller,,IND/WEP,Thomas P. DiNapoli,10,0
Lewis,Croghan 4 LD 1,Comptroller,,IND/WEP,Thomas P. DiNapoli,1,0
Lewis,Denmark 1 LD 2,Comptroller,,IND/WEP,Thomas P. DiNapoli,3,0
Lewis,Denmark 2 LD 3,Comptroller,,IND/WEP,Thomas P. DiNapoli,5,0
Lewis,Denmark 3 LD 3,Comptroller,,IND/WEP,Thomas P. DiNapoli,3,0
Lewis,Diana 1 LD 1,Comptroller,,IND/WEP,Thomas P. DiNapoli,11,0
Lewis,Diana 2 LD 1,Comptroller,,IND/WEP,Thomas P. DiNapoli,2,0
Lewis,Greig LD 9,Comptroller,,IND/WEP,Thomas P. DiNapoli,10,1
Lewis,Harrisburg LD 8,Comptroller,,IND/WEP,Thomas P. DiNapoli,4,1
Lewis,Lewis LD 10,Comptroller,,IND/WEP,Thomas P. DiNapoli,7,0
Lewis,Leyden 1 LD 10,Comptroller,,IND/WEP,Thomas P. DiNapoli,5,0
Lewis,Leyden 2 LD 10,Comptroller,,IND/WEP,Thomas P. DiNapoli,3,0
Lewis,Leyden 3 LD 10,Comptroller,,IND/WEP,Thomas P. DiNapoli,1,0
Lewis,Lowville 1 LD 6,Comptroller,,IND/WEP,Thomas P. DiNapoli,6,2
Lewis,Lowville 2 LD 5,Comptroller,,IND/WEP,Thomas P. DiNapoli,7,0
Lewis,Lowville 3 LD 3,Comptroller,,IND/WEP,Thomas P. DiNapoli,2,0
Lewis,Lowville 4 LD 5,Comptroller,,IND/WEP,Thomas P. DiNapoli,12,1
Lewis,Lowville 5 LD 7,Comptroller,,IND/WEP,Thomas P. DiNapoli,2,1
Lewis,Lyonsdale 1 LD 9,Comptroller,,IND/WEP,Thomas P. DiNapoli,3,0
Lewis,Lyonsdale 2 LD 9,Comptroller,,IND/WEP,Thomas P. DiNapoli,4,0
Lewis,Lyonsdale 3 LD 9,Comptroller,,IND/WEP,Thomas P. DiNapoli,0,0
Lewis,Martinsburg LD 7,Comptroller,,IND/WEP,Thomas P. DiNapoli,5,0
Lewis,Montague LD 8,Comptroller,,IND/WEP,Thomas P. DiNapoli,0,0
Lewis,New Bremen 1 LD 4,Comptroller,,IND/WEP,Thomas P. DiNapoli,8,0
Lewis,New Bremen 2 LD 4,Comptroller,,IND/WEP,Thomas P. DiNapoli,8,0
Lewis,Osceola LD 10,Comptroller,,IND/WEP,Thomas P. DiNapoli,2,0
Lewis,Pinckney LD 8,Comptroller,,IND/WEP,Thomas P. DiNapoli,3,0
Lewis,Turin LD 7,Comptroller,,IND/WEP,Thomas P. DiNapoli,4,0
Lewis,Watson LD 6,Comptroller,,IND/WEP,Thomas P. DiNapoli,14,0
Lewis,West Turin 1 LD 8,Comptroller,,IND/WEP,Thomas P. DiNapoli,9,0
Lewis,West Turin 2 LD 8,Comptroller,,IND/WEP,Thomas P. DiNapoli,1,0
Lewis,West Turin 3 LD 8,Comptroller,,IND/WEP,Thomas P. DiNapoli,1,0
Lewis,West Turin 4 LD 8,Comptroller,,IND/WEP,Thomas P. DiNapoli,2,0
Lewis,Total,Comptroller,,IND/WEP,Thomas P. DiNapoli,168,7
Lewis,Croghan 1 LD 2,Comptroller,,GRE,Theresa M. Portelli,2,0
Lewis,Croghan 2 LD 2,Comptroller,,GRE,Theresa M. Portelli,6,0
Lewis,Croghan 3 LD 2,Comptroller,,GRE,Theresa M. Portelli,4,0
Lewis,Croghan 4 LD 1,Comptroller,,GRE,Theresa M. Portelli,4,1
Lewis,Denmark 1 LD 2,Comptroller,,GRE,Theresa M. Portelli,2,0
Lewis,Denmark 2 LD 3,Comptroller,,GRE,Theresa M. Portelli,11,0
Lewis,Denmark 3 LD 3,Comptroller,,GRE,Theresa M. Portelli,6,0
Lewis,Diana 1 LD 1,Comptroller,,GRE,Theresa M. Portelli,12,0
Lewis,Diana 2 LD 1,Comptroller,,GRE,Theresa M. Portelli,3,0
Lewis,Greig LD 9,Comptroller,,GRE,Theresa M. Portelli,18,0
Lewis,Harrisburg LD 8,Comptroller,,GRE,Theresa M. Portelli,1,1
Lewis,Lewis LD 10,Comptroller,,GRE,Theresa M. Portelli,12,0
Lewis,Leyden 1 LD 10,Comptroller,,GRE,Theresa M. Portelli,8,1
Lewis,Leyden 2 LD 10,Comptroller,,GRE,Theresa M. Portelli,4,0
Lewis,Leyden 3 LD 10,Comptroller,,GRE,Theresa M. Portelli,3,0
Lewis,Lowville 1 LD 6,Comptroller,,GRE,Theresa M. Portelli,6,1
Lewis,Lowville 2 LD 5,Comptroller,,GRE,Theresa M. Portelli,5,0
Lewis,Lowville 3 LD 3,Comptroller,,GRE,Theresa M. Portelli,1,0
Lewis,Lowville 4 LD 5,Comptroller,,GRE,Theresa M. Portelli,15,2
Lewis,Lowville 5 LD 7,Comptroller,,GRE,Theresa M. Portelli,1,0
Lewis,Lyonsdale 1 LD 9,Comptroller,,GRE,Theresa M. Portelli,10,0
Lewis,Lyonsdale 2 LD 9,Comptroller,,GRE,Theresa M. Portelli,4,0
Lewis,Lyonsdale 3 LD 9,Comptroller,,GRE,Theresa M. Portelli,0,0
Lewis,Martinsburg LD 7,Comptroller,,GRE,Theresa M. Portelli,10,0
Lewis,Montague LD 8,Comptroller,,GRE,Theresa M. Portelli,1,0
Lewis,New Bremen 1 LD 4,Comptroller,,GRE,Theresa M. Portelli,12,0
Lewis,New Bremen 2 LD 4,Comptroller,,GRE,Theresa M. Portelli,10,0
Lewis,Osceola LD 10,Comptroller,,GRE,Theresa M. Portelli,3,0
Lewis,Pinckney LD 8,Comptroller,,GRE,Theresa M. Portelli,6,0
Lewis,Turin LD 7,Comptroller,,GRE,Theresa M. Portelli,7,0
Lewis,Watson LD 6,Comptroller,,GRE,Theresa M. Portelli,9,2
Lewis,West Turin 1 LD 8,Comptroller,,GRE,Theresa M. Portelli,4,0
Lewis,West Turin 2 LD 8,Comptroller,,GRE,Theresa M. Portelli,1,0
Lewis,West Turin 3 LD 8,Comptroller,,GRE,Theresa M. Portelli,3,0
Lewis,West Turin 4 LD 8,Comptroller,,GRE,Theresa M. Portelli,4,0
Lewis,Total,Comptroller,,GRE,Theresa M. Portelli,208,8
Lewis,Croghan 1 LD 2,Comptroller,,LBT,John Clifton,0,0
Lewis,Croghan 2 LD 2,Comptroller,,LBT,John Clifton,3,0
Lewis,Croghan 3 LD 2,Comptroller,,LBT,John Clifton,0,0
Lewis,Croghan 4 LD 1,Comptroller,,LBT,John Clifton,1,0
Lewis,Denmark 1 LD 2,Comptroller,,LBT,John Clifton,1,0
Lewis,Denmark 2 LD 3,Comptroller,,LBT,John Clifton,2,0
Lewis,Denmark 3 LD 3,Comptroller,,LBT,John Clifton,0,0
Lewis,Diana 1 LD 1,Comptroller,,LBT,John Clifton,0,0
Lewis,Diana 2 LD 1,Comptroller,,LBT,John Clifton,0,0
Lewis,Greig LD 9,Comptroller,,LBT,John Clifton,7,0
Lewis,Harrisburg LD 8,Comptroller,,LBT,John Clifton,1,0
Lewis,Lewis LD 10,Comptroller,,LBT,John Clifton,1,0
Lewis,Leyden 1 LD 10,Comptroller,,LBT,John Clifton,0,0
Lewis,Leyden 2 LD 10,Comptroller,,LBT,John Clifton,2,0
Lewis,Leyden 3 LD 10,Comptroller,,LBT,John Clifton,3,0
Lewis,Lowville 1 LD 6,Comptroller,,LBT,John Clifton,0,0
Lewis,Lowville 2 LD 5,Comptroller,,LBT,John Clifton,1,2
Lewis,Lowville 3 LD 3,Comptroller,,LBT,John Clifton,2,0
Lewis,Lowville 4 LD 5,Comptroller,,LBT,John Clifton,5,0
Lewis,Lowville 5 LD 7,Comptroller,,LBT,John Clifton,0,0
Lewis,Lyonsdale 1 LD 9,Comptroller,,LBT,John Clifton,1,0
Lewis,Lyonsdale 2 LD 9,Comptroller,,LBT,John Clifton,1,0
Lewis,Lyonsdale 3 LD 9,Comptroller,,LBT,John Clifton,0,0
Lewis,Martinsburg LD 7,Comptroller,,LBT,John Clifton,4,0
Lewis,Montague LD 8,Comptroller,,LBT,John Clifton,0,0
Lewis,New Bremen 1 LD 4,Comptroller,,LBT,John Clifton,2,0
Lewis,New Bremen 2 LD 4,Comptroller,,LBT,John Clifton,4,0
Lewis,Osceola LD 10,Comptroller,,LBT,John Clifton,2,0
Lewis,Pinckney LD 8,Comptroller,,LBT,John Clifton,1,0
Lewis,Turin LD 7,Comptroller,,LBT,John Clifton,0,0
Lewis,Watson LD 6,Comptroller,,LBT,John Clifton,2,1
Lewis,West Turin 1 LD 8,Comptroller,,LBT,John Clifton,2,0
Lewis,West Turin 2 LD 8,Comptroller,,LBT,John Clifton,0,0
Lewis,West Turin 3 LD 8,Comptroller,,LBT,John Clifton,0,0
Lewis,West Turin 4 LD 8,Comptroller,,LBT,John Clifton,0,0
Lewis,Total,Comptroller,,LBT,John Clifton,48,3
Lewis,Croghan 1 LD 2,Comptroller,,,Write-in,0,
Lewis,Croghan 2 LD 2,Comptroller,,,Write-in,0,
Lewis,Croghan 3 LD 2,Comptroller,,,Write-in,0,
Lewis,Croghan 4 LD 1,Comptroller,,,Write-in,0,
Lewis,Denmark 1 LD 2,Comptroller,,,Write-in,0,
Lewis,Denmark 2 LD 3,Comptroller,,,Write-in,0,
Lewis,Denmark 3 LD 3,Comptroller,,,Write-in,0,
Lewis,Diana 1 LD 1,Comptroller,,,Write-in,0,
Lewis,Diana 2 LD 1,Comptroller,,,Write-in,0,
Lewis,Greig LD 9,Comptroller,,,Write-in,0,
Lewis,Harrisburg LD 8,Comptroller,,,Write-in,0,
Lewis,Lewis LD 10,Comptroller,,,Write-in,0,
Lewis,Leyden 1 LD 10,Comptroller,,,Write-in,2,
Lewis,Leyden 2 LD 10,Comptroller,,,Write-in,0,
Lewis,Leyden 3 LD 10,Comptroller,,,Write-in,0,
Lewis,Lowville 1 LD 6,Comptroller,,,Write-in,0,
Lewis,Lowville 2 LD 5,Comptroller,,,Write-in,0,
Lewis,Lowville 3 LD 3,Comptroller,,,Write-in,0,
Lewis,Lowville 4 LD 5,Comptroller,,,Write-in,1,
Lewis,Lowville 5 LD 7,Comptroller,,,Write-in,0,
Lewis,Lyonsdale 1 LD 9,Comptroller,,,Write-in,0,
Lewis,Lyonsdale 2 LD 9,Comptroller,,,Write-in,0,
Lewis,Lyonsdale 3 LD 9,Comptroller,,,Write-in,0,
Lewis,Martinsburg LD 7,Comptroller,,,Write-in,0,
Lewis,Montague LD 8,Comptroller,,,Write-in,0,
Lewis,New Bremen 1 LD 4,Comptroller,,,Write-in,0,
Lewis,New Bremen 2 LD 4,Comptroller,,,Write-in,0,
Lewis,Osceola LD 10,Comptroller,,,Write-in,0,
Lewis,Pinckney LD 8,Comptroller,,,Write-in,0,
Lewis,Turin LD 7,Comptroller,,,Write-in,0,
Lewis,Watson LD 6,Comptroller,,,Write-in,0,
Lewis,West Turin 1 LD 8,Comptroller,,,Write-in,0,
Lewis,West Turin 2 LD 8,Comptroller,,,Write-in,0,
