county,precinct,office,district,candidate,party,Absentee,votes
Ulster,Kingston Ward 1 -2,Comptroller,,Robert Antonaci,REP,5,98
Ulster,Kingston Ward 1 -3,Comptroller,,Robert Antonaci,REP,6,75
Ulster,Kingston Ward 2 -1,Comptroller,,Robert Antonaci,REP,6,39
Ulster,Kingston Ward 2 -2,Comptroller,,Robert Antonaci,REP,2,12
Ulster,Kingston Ward 2 -3,Comptroller,,Robert Antonaci,REP,6,48
Ulster,Kingston Ward 3 -1,Comptroller,,Robert Antonaci,REP,15,95
Ulster,Kingston Ward 3 -2,Comptroller,,Robert Antonaci,REP,2,28
Ulster,Kingston Ward 3 -3,Comptroller,,Robert Antonaci,REP,5,54
Ulster,Kingston Ward 4 -1,Comptroller,,Robert Antonaci,REP,5,29
Ulster,Kingston Ward 4 -2,Comptroller,,Robert Antonaci,REP,2,21
Ulster,Kingston Ward 5 -1,Comptroller,,Robert Antonaci,REP,1,38
Ulster,Kingston Ward 5 -2,Comptroller,,Robert Antonaci,REP,7,64
Ulster,Kingston Ward 5 -3,Comptroller,,Robert Antonaci,REP,3,18
Ulster,Kingston Ward 6 -1,Comptroller,,Robert Antonaci,REP,6,86
Ulster,Kingston Ward 6 -2,Comptroller,,Robert Antonaci,REP,4,14
Ulster,Kingston Ward 6 -3,Comptroller,,Robert Antonaci,REP,3,47
Ulster,Kingston Ward 7 -1,Comptroller,,Robert Antonaci,REP,3,66
Ulster,Kingston Ward 7 -2,Comptroller,,Robert Antonaci,REP,7,83
Ulster,Kingston Ward 7 -3,Comptroller,,Robert Antonaci,REP,2,47
Ulster,Kingston Ward 8 -1,Comptroller,,Robert Antonaci,REP,1,16
Ulster,Kingston Ward 8 -2,Comptroller,,Robert Antonaci,REP,0,9
Ulster,Kingston Ward 8 -3,Comptroller,,Robert Antonaci,REP,3,54
Ulster,Kingston Ward 9 -1,Comptroller,,Robert Antonaci,REP,3,67
Ulster,Kingston Ward 9 -2,Comptroller,,Robert Antonaci,REP,2,52
Ulster,Kingston Ward 9 -3,Comptroller,,Robert Antonaci,REP,1,35
Ulster,Denning 1,Comptroller,,Robert Antonaci,REP,14,45
Ulster,Denning 2,Comptroller,,Robert Antonaci,REP,1,37
Ulster,Esopus 1,Comptroller,,Robert Antonaci,REP,5,138
Ulster,Esopus 2,Comptroller,,Robert Antonaci,REP,2,92
Ulster,Esopus 3,Comptroller,,Robert Antonaci,REP,7,193
Ulster,Esopus 4,Comptroller,,Robert Antonaci,REP,8,196
Ulster,Esopus 5,Comptroller,,Robert Antonaci,REP,4,97
Ulster,Esopus 6,Comptroller,,Robert Antonaci,REP,7,121
Ulster,Esopus 7,Comptroller,,Robert Antonaci,REP,19,291
Ulster,Gardiner 1,Comptroller,,Robert Antonaci,REP,7,164
Ulster,Gardiner 2,Comptroller,,Robert Antonaci,REP,7,146
Ulster,Gardiner 3,Comptroller,,Robert Antonaci,REP,5,112
Ulster,Gardiner 4,Comptroller,,Robert Antonaci,REP,4,103
Ulster,Hardenburgh 1,Comptroller,,Robert Antonaci,REP,13,0
Ulster,Hardenburgh 2,Comptroller,,Robert Antonaci,REP,13,19
Ulster,Hurley 1,Comptroller,,Robert Antonaci,REP,5,89
Ulster,Hurley 2,Comptroller,,Robert Antonaci,REP,7,85
Ulster,Hurley 3,Comptroller,,Robert Antonaci,REP,6,111
Ulster,Hurley 4,Comptroller,,Robert Antonaci,REP,7,117
Ulster,Hurley 5,Comptroller,,Robert Antonaci,REP,3,53
Ulster,Hurley 6,Comptroller,,Robert Antonaci,REP,1,78
Ulster,Hurley 7,Comptroller,,Robert Antonaci,REP,5,87
Ulster,Hurley 8,Comptroller,,Robert Antonaci,REP,1,112
Ulster,"Kingston, Town 1",Comptroller,,Robert Antonaci,REP,7,104
Ulster,Lloyd 1,Comptroller,,Robert Antonaci,REP,8,169
Ulster,Lloyd 2,Comptroller,,Robert Antonaci,REP,12,107
Ulster,Lloyd 3,Comptroller,,Robert Antonaci,REP,6,93
Ulster,Lloyd 4,Comptroller,,Robert Antonaci,REP,8,128
Ulster,Lloyd 5,Comptroller,,Robert Antonaci,REP,13,134
Ulster,Lloyd 6,Comptroller,,Robert Antonaci,REP,12,97
Ulster,Lloyd 7,Comptroller,,Robert Antonaci,REP,5,137
Ulster,Marbletown 1,Comptroller,,Robert Antonaci,REP,2,27
Ulster,Marbletown 2,Comptroller,,Robert Antonaci,REP,0,43
Ulster,Marbletown 3,Comptroller,,Robert Antonaci,REP,5,88
Ulster,Marbletown 4,Comptroller,,Robert Antonaci,REP,0,55
Ulster,Marbletown 5,Comptroller,,Robert Antonaci,REP,3,86
Ulster,Marbletown 6,Comptroller,,Robert Antonaci,REP,4,86
Ulster,Marbletown 7,Comptroller,,Robert Antonaci,REP,4,92
Ulster,Marlborough 1,Comptroller,,Robert Antonaci,REP,10,155
Ulster,Marlborough 2,Comptroller,,Robert Antonaci,REP,1,97
Ulster,Marlborough 3,Comptroller,,Robert Antonaci,REP,13,151
Ulster,Marlborough 4,Comptroller,,Robert Antonaci,REP,7,202
Ulster,Marlborough 5,Comptroller,,Robert Antonaci,REP,4,103
Ulster,Marlborough 6,Comptroller,,Robert Antonaci,REP,6,132
Ulster,New Paltz 1,Comptroller,,Robert Antonaci,REP,5,48
Ulster,New Paltz 2,Comptroller,,Robert Antonaci,REP,4,63
Ulster,New Paltz 3,Comptroller,,Robert Antonaci,REP,1,40
Ulster,New Paltz 4,Comptroller,,Robert Antonaci,REP,1,48
Ulster,New Paltz 5,Comptroller,,Robert Antonaci,REP,3,61
Ulster,New Paltz 6,Comptroller,,Robert Antonaci,REP,3,75
Ulster,New Paltz 7,Comptroller,,Robert Antonaci,REP,6,120
Ulster,New Paltz 8,Comptroller,,Robert Antonaci,REP,4,37
Ulster,New Paltz 9,Comptroller,,Robert Antonaci,REP,0,12
Ulster,New Paltz 10,Comptroller,,Robert Antonaci,REP,0,71
Ulster,Olive 1,Comptroller,,Robert Antonaci,REP,8,135
Ulster,Olive 2,Comptroller,,Robert Antonaci,REP,2,84
Ulster,Olive 3,Comptroller,,Robert Antonaci,REP,5,98
Ulster,Olive 4,Comptroller,,Robert Antonaci,REP,0,85
Ulster,Olive 5,Comptroller,,Robert Antonaci,REP,2,81
Ulster,Plattekill 1,Comptroller,,Robert Antonaci,REP,5,191
Ulster,Plattekill 2,Comptroller,,Robert Antonaci,REP,4,138
Ulster,Plattekill 3,Comptroller,,Robert Antonaci,REP,11,104
Ulster,Plattekill 4,Comptroller,,Robert Antonaci,REP,7,163
Ulster,Plattekill 5,Comptroller,,Robert Antonaci,REP,9,170
Ulster,Plattekill 6,Comptroller,,Robert Antonaci,REP,3,160
Ulster,Rochester 1,Comptroller,,Robert Antonaci,REP,11,146
Ulster,Rochester 2,Comptroller,,Robert Antonaci,REP,5,183
Ulster,Rochester 3,Comptroller,,Robert Antonaci,REP,7,206
Ulster,Rochester 4,Comptroller,,Robert Antonaci,REP,8,98
Ulster,Rochester 5,Comptroller,,Robert Antonaci,REP,2,126
Ulster,Rosendale 1,Comptroller,,Robert Antonaci,REP,13,78
Ulster,Rosendale 2,Comptroller,,Robert Antonaci,REP,5,99
Ulster,Rosendale 3,Comptroller,,Robert Antonaci,REP,6,127
Ulster,Rosendale 4,Comptroller,,Robert Antonaci,REP,5,115
Ulster,Rosendale 5,Comptroller,,Robert Antonaci,REP,8,114
Ulster,Saugerties 1,Comptroller,,Robert Antonaci,REP,4,40
Ulster,Saugerties 2,Comptroller,,Robert Antonaci,REP,10,61
Ulster,Saugerties 3,Comptroller,,Robert Antonaci,REP,4,78
Ulster,Saugerties 4,Comptroller,,Robert Antonaci,REP,9,112
Ulster,Saugerties 5,Comptroller,,Robert Antonaci,REP,7,109
Ulster,Saugerties 6,Comptroller,,Robert Antonaci,REP,6,154
Ulster,Saugerties 7,Comptroller,,Robert Antonaci,REP,7,51
Ulster,Saugerties 8,Comptroller,,Robert Antonaci,REP,12,105
Ulster,Saugerties 9,Comptroller,,Robert Antonaci,REP,3,54
Ulster,Saugerties 10,Comptroller,,Robert Antonaci,REP,2,74
Ulster,Saugerties 11,Comptroller,,Robert Antonaci,REP,8,172
Ulster,Saugerties 12,Comptroller,,Robert Antonaci,REP,12,160
Ulster,Saugerties 13,Comptroller,,Robert Antonaci,REP,8,151
Ulster,Saugerties 14,Comptroller,,Robert Antonaci,REP,2,27
Ulster,Saugerties 15,Comptroller,,Robert Antonaci,REP,8,131
Ulster,Saugerties 16,Comptroller,,Robert Antonaci,REP,6,141
Ulster,Shandaken 1,Comptroller,,Robert Antonaci,REP,9,84
Ulster,Shandaken 2,Comptroller,,Robert Antonaci,REP,3,47
Ulster,Shandaken 3,Comptroller,,Robert Antonaci,REP,7,64
Ulster,Shandaken 4,Comptroller,,Robert Antonaci,REP,3,37
Ulster,Shawangunk 1,Comptroller,,Robert Antonaci,REP,5,133
Ulster,Shawangunk 2,Comptroller,,Robert Antonaci,REP,5,206
Ulster,Shawangunk 3,Comptroller,,Robert Antonaci,REP,8,166
Ulster,Shawangunk 4,Comptroller,,Robert Antonaci,REP,3,120
Ulster,Shawangunk 5,Comptroller,,Robert Antonaci,REP,3,121
Ulster,Shawangunk 6,Comptroller,,Robert Antonaci,REP,4,207
Ulster,Shawangunk 7,Comptroller,,Robert Antonaci,REP,7,214
Ulster,Ulster 1,Comptroller,,Robert Antonaci,REP,4,135
Ulster,Ulster 2,Comptroller,,Robert Antonaci,REP,12,120
Ulster,Ulster 3,Comptroller,,Robert Antonaci,REP,2,39
Ulster,Ulster 4,Comptroller,,Robert Antonaci,REP,1,37
Ulster,Ulster 5,Comptroller,,Robert Antonaci,REP,3,48
Ulster,Ulster 6,Comptroller,,Robert Antonaci,REP,0,39
Ulster,Ulster 7,Comptroller,,Robert Antonaci,REP,3,82
Ulster,Ulster 8,Comptroller,,Robert Antonaci,REP,6,51
Ulster,Ulster 9,Comptroller,,Robert Antonaci,REP,7,106
Ulster,Ulster 10,Comptroller,,Robert Antonaci,REP,4,132
Ulster,Ulster 11,Comptroller,,Robert Antonaci,REP,8,68
Ulster,Ulster 12,Comptroller,,Robert Antonaci,REP,4,87
Ulster,Ulster 13,Comptroller,,Robert Antonaci,REP,9,168
Ulster,Ulster 14,Comptroller,,Robert Antonaci,REP,5,117
Ulster,Wawarsing 1,Comptroller,,Robert Antonaci,REP,1,24
Ulster,Wawarsing 2,Comptroller,,Robert Antonaci,REP,5,67
Ulster,Wawarsing 3,Comptroller,,Robert Antonaci,REP,2,41
Ulster,Wawarsing 4,Comptroller,,Robert Antonaci,REP,0,58
Ulster,Wawarsing 5,Comptroller,,Robert Antonaci,REP,9,95
Ulster,Wawarsing 6,Comptroller,,Robert Antonaci,REP,17,80
Ulster,Wawarsing 7,Comptroller,,Robert Antonaci,REP,3,74
Ulster,Wawarsing 8,Comptroller,,Robert Antonaci,REP,10,141
Ulster,Wawarsing 9,Comptroller,,Robert Antonaci,REP,1,47
Ulster,Wawarsing 10,Comptroller,,Robert Antonaci,REP,4,77
Ulster,Wawarsing 11,Comptroller,,Robert Antonaci,REP,1,24
Ulster,Wawarsing 12,Comptroller,,Robert Antonaci,REP,3,82
Ulster,Woodstock 1,Comptroller,,Robert Antonaci,REP,3,27
Ulster,Woodstock 2,Comptroller,,Robert Antonaci,REP,3,46
Ulster,Woodstock 3,Comptroller,,Robert Antonaci,REP,2,54
Ulster,Woodstock 4,Comptroller,,Robert Antonaci,REP,2,23
Ulster,Woodstock 5,Comptroller,,Robert Antonaci,REP,1,26
Ulster,Woodstock 6,Comptroller,,Robert Antonaci,REP,4,49
Ulster,Woodstock 7,Comptroller,,Robert Antonaci,REP,0,29
Ulster,Woodstock 8,Comptroller,,Robert Antonaci,REP,4,15
Ulster,Woodstock 9,Comptroller,,Robert Antonaci,REP,1,35
Ulster,TOTAL,Comptroller,,Robert Antonaci,REP,846,14643
Ulster,Kingston Ward 1 -1,Comptroller,,Robert Antonaci,CON,2,4
Ulster,Kingston Ward 1 -2,Comptroller,,Robert Antonaci,CON,1,23
Ulster,Kingston Ward 1 -3,Comptroller,,Robert Antonaci,CON,1,18
Ulster,Kingston Ward 2 -1,Comptroller,,Robert Antonaci,CON,0,14
Ulster,Kingston Ward 2 -2,Comptroller,,Robert Antonaci,CON,0,3
Ulster,Kingston Ward 2 -3,Comptroller,,Robert Antonaci,CON,2,11
Ulster,Kingston Ward 3 -1,Comptroller,,Robert Antonaci,CON,2,24
Ulster,Kingston Ward 3 -2,Comptroller,,Robert Antonaci,CON,0,10
Ulster,Kingston Ward 3 -3,Comptroller,,Robert Antonaci,CON,6,28
Ulster,Kingston Ward 4 -1,Comptroller,,Robert Antonaci,CON,0,8
Ulster,Kingston Ward 4 -2,Comptroller,,Robert Antonaci,CON,0,6
Ulster,Kingston Ward 5 -1,Comptroller,,Robert Antonaci,CON,1,6
Ulster,Kingston Ward 5 -2,Comptroller,,Robert Antonaci,CON,3,17
Ulster,Kingston Ward 5 -3,Comptroller,,Robert Antonaci,CON,0,10
Ulster,Kingston Ward 6 -1,Comptroller,,Robert Antonaci,CON,2,21
Ulster,Kingston Ward 6 -2,Comptroller,,Robert Antonaci,CON,2,4
Ulster,Kingston Ward 6 -3,Comptroller,,Robert Antonaci,CON,0,13
Ulster,Kingston Ward 7 -1,Comptroller,,Robert Antonaci,CON,0,17
Ulster,Kingston Ward 7 -2,Comptroller,,Robert Antonaci,CON,1,23
Ulster,Kingston Ward 7 -3,Comptroller,,Robert Antonaci,CON,0,15
Ulster,Kingston Ward 8 -1,Comptroller,,Robert Antonaci,CON,0,4
Ulster,Kingston Ward 8 -2,Comptroller,,Robert Antonaci,CON,1,3
Ulster,Kingston Ward 8 -3,Comptroller,,Robert Antonaci,CON,0,10
Ulster,Kingston Ward 9 -1,Comptroller,,Robert Antonaci,CON,0,9
Ulster,Kingston Ward 9 -2,Comptroller,,Robert Antonaci,CON,5,17
Ulster,Kingston Ward 9 -3,Comptroller,,Robert Antonaci,CON,0,7
Ulster,Denning 1,Comptroller,,Robert Antonaci,CON,0,2
Ulster,Denning 2,Comptroller,,Robert Antonaci,CON,0,8
Ulster,Esopus 1,Comptroller,,Robert Antonaci,CON,2,43
Ulster,Esopus 2,Comptroller,,Robert Antonaci,CON,6,43
Ulster,Esopus 3,Comptroller,,Robert Antonaci,CON,3,32
Ulster,Esopus 4,Comptroller,,Robert Antonaci,CON,4,51
Ulster,Esopus 5,Comptroller,,Robert Antonaci,CON,5,44
Ulster,Esopus 6,Comptroller,,Robert Antonaci,CON,3,34
Ulster,Esopus 7,Comptroller,,Robert Antonaci,CON,7,67
Ulster,Gardiner 1,Comptroller,,Robert Antonaci,CON,3,60
Ulster,Gardiner 2,Comptroller,,Robert Antonaci,CON,4,32
Ulster,Gardiner 3,Comptroller,,Robert Antonaci,CON,0,37
Ulster,Gardiner 4,Comptroller,,Robert Antonaci,CON,3,28
Ulster,Hardenburgh 1,Comptroller,,Robert Antonaci,CON,0,0
Ulster,Hardenburgh 2,Comptroller,,Robert Antonaci,CON,2,8
Ulster,Hurley 1,Comptroller,,Robert Antonaci,CON,3,21
Ulster,Hurley 2,Comptroller,,Robert Antonaci,CON,6,16
Ulster,Hurley 3,Comptroller,,Robert Antonaci,CON,0,37
Ulster,Hurley 4,Comptroller,,Robert Antonaci,CON,2,22
Ulster,Hurley 5,Comptroller,,Robert Antonaci,CON,2,19
Ulster,Hurley 6,Comptroller,,Robert Antonaci,CON,0,21
Ulster,Hurley 7,Comptroller,,Robert Antonaci,CON,3,12
Ulster,Hurley 8,Comptroller,,Robert Antonaci,CON,3,31
Ulster,"Kingston, Town 1",Comptroller,,Robert Antonaci,CON,0,40
Ulster,Lloyd 1,Comptroller,,Robert Antonaci,CON,1,47
Ulster,Lloyd 2,Comptroller,,Robert Antonaci,CON,2,31
Ulster,Lloyd 3,Comptroller,,Robert Antonaci,CON,1,22
Ulster,Lloyd 4,Comptroller,,Robert Antonaci,CON,0,22
Ulster,Lloyd 5,Comptroller,,Robert Antonaci,CON,2,36
Ulster,Lloyd 6,Comptroller,,Robert Antonaci,CON,3,33
Ulster,Lloyd 7,Comptroller,,Robert Antonaci,CON,0,40
Ulster,Marbletown 1,Comptroller,,Robert Antonaci,CON,1,6
Ulster,Marbletown 2,Comptroller,,Robert Antonaci,CON,3,24
Ulster,Marbletown 3,Comptroller,,Robert Antonaci,CON,3,31
Ulster,Marbletown 4,Comptroller,,Robert Antonaci,CON,0,14
Ulster,Marbletown 5,Comptroller,,Robert Antonaci,CON,0,23
Ulster,Marbletown 6,Comptroller,,Robert Antonaci,CON,0,20
Ulster,Marbletown 7,Comptroller,,Robert Antonaci,CON,0,36
Ulster,Marlborough 1,Comptroller,,Robert Antonaci,CON,3,22
Ulster,Marlborough 2,Comptroller,,Robert Antonaci,CON,0,19
Ulster,Marlborough 3,Comptroller,,Robert Antonaci,CON,0,44
Ulster,Marlborough 4,Comptroller,,Robert Antonaci,CON,3,56
Ulster,Marlborough 5,Comptroller,,Robert Antonaci,CON,3,32
Ulster,Marlborough 6,Comptroller,,Robert Antonaci,CON,1,27
Ulster,New Paltz 1,Comptroller,,Robert Antonaci,CON,1,11
Ulster,New Paltz 2,Comptroller,,Robert Antonaci,CON,1,7
Ulster,New Paltz 3,Comptroller,,Robert Antonaci,CON,5,18
Ulster,New Paltz 4,Comptroller,,Robert Antonaci,CON,0,7
Ulster,New Paltz 5,Comptroller,,Robert Antonaci,CON,1,9
Ulster,New Paltz 6,Comptroller,,Robert Antonaci,CON,2,21
Ulster,New Paltz 7,Comptroller,,Robert Antonaci,CON,2,23
Ulster,New Paltz 8,Comptroller,,Robert Antonaci,CON,3,9
Ulster,New Paltz 9,Comptroller,,Robert Antonaci,CON,0,2
Ulster,New Paltz 10,Comptroller,,Robert Antonaci,CON,1,24
Ulster,Olive 1,Comptroller,,Robert Antonaci,CON,1,32
Ulster,Olive 2,Comptroller,,Robert Antonaci,CON,2,35
Ulster,Olive 3,Comptroller,,Robert Antonaci,CON,1,26
Ulster,Olive 4,Comptroller,,Robert Antonaci,CON,1,44
Ulster,Olive 5,Comptroller,,Robert Antonaci,CON,2,15
Ulster,Plattekill 1,Comptroller,,Robert Antonaci,CON,0,45
Ulster,Plattekill 2,Comptroller,,Robert Antonaci,CON,4,42
Ulster,Plattekill 3,Comptroller,,Robert Antonaci,CON,0,37
Ulster,Plattekill 4,Comptroller,,Robert Antonaci,CON,5,53
Ulster,Plattekill 5,Comptroller,,Robert Antonaci,CON,1,25
Ulster,Plattekill 6,Comptroller,,Robert Antonaci,CON,2,39
Ulster,Rochester 1,Comptroller,,Robert Antonaci,CON,3,39
Ulster,Rochester 2,Comptroller,,Robert Antonaci,CON,3,36
Ulster,Rochester 3,Comptroller,,Robert Antonaci,CON,1,53
Ulster,Rochester 4,Comptroller,,Robert Antonaci,CON,1,14
Ulster,Rochester 5,Comptroller,,Robert Antonaci,CON,2,32
Ulster,Rosendale 1,Comptroller,,Robert Antonaci,CON,1,23
Ulster,Rosendale 2,Comptroller,,Robert Antonaci,CON,0,16
Ulster,Rosendale 3,Comptroller,,Robert Antonaci,CON,5,28
Ulster,Rosendale 4,Comptroller,,Robert Antonaci,CON,1,29
Ulster,Rosendale 5,Comptroller,,Robert Antonaci,CON,5,34
Ulster,Saugerties 1,Comptroller,,Robert Antonaci,CON,0,15
Ulster,Saugerties 2,Comptroller,,Robert Antonaci,CON,0,20
Ulster,Saugerties 3,Comptroller,,Robert Antonaci,CON,1,6
Ulster,Saugerties 4,Comptroller,,Robert Antonaci,CON,2,24
Ulster,Saugerties 5,Comptroller,,Robert Antonaci,CON,3,53
Ulster,Saugerties 6,Comptroller,,Robert Antonaci,CON,1,53
Ulster,Saugerties 7,Comptroller,,Robert Antonaci,CON,2,13
Ulster,Saugerties 8,Comptroller,,Robert Antonaci,CON,5,26
Ulster,Saugerties 9,Comptroller,,Robert Antonaci,CON,4,31
Ulster,Saugerties 10,Comptroller,,Robert Antonaci,CON,1,27
Ulster,Saugerties 11,Comptroller,,Robert Antonaci,CON,5,41
Ulster,Saugerties 12,Comptroller,,Robert Antonaci,CON,1,55
Ulster,Saugerties 13,Comptroller,,Robert Antonaci,CON,7,62
Ulster,Saugerties 14,Comptroller,,Robert Antonaci,CON,0,6
Ulster,Saugerties 15,Comptroller,,Robert Antonaci,CON,0,39
Ulster,Saugerties 16,Comptroller,,Robert Antonaci,CON,1,50
Ulster,Shandaken 1,Comptroller,,Robert Antonaci,CON,1,17
Ulster,Shandaken 2,Comptroller,,Robert Antonaci,CON,2,13
Ulster,Shandaken 3,Comptroller,,Robert Antonaci,CON,0,16
Ulster,Shandaken 4,Comptroller,,Robert Antonaci,CON,2,20
Ulster,Shawangunk 1,Comptroller,,Robert Antonaci,CON,1,27
Ulster,Shawangunk 2,Comptroller,,Robert Antonaci,CON,1,44
Ulster,Shawangunk 3,Comptroller,,Robert Antonaci,CON,3,60
Ulster,Shawangunk 4,Comptroller,,Robert Antonaci,CON,1,35
Ulster,Shawangunk 5,Comptroller,,Robert Antonaci,CON,1,43
Ulster,Shawangunk 6,Comptroller,,Robert Antonaci,CON,2,48
Ulster,Shawangunk 7,Comptroller,,Robert Antonaci,CON,1,47
Ulster,Ulster 1,Comptroller,,Robert Antonaci,CON,1,34
Ulster,Ulster 2,Comptroller,,Robert Antonaci,CON,3,39
Ulster,Ulster 3,Comptroller,,Robert Antonaci,CON,3,7
Ulster,Ulster 4,Comptroller,,Robert Antonaci,CON,0,9
Ulster,Ulster 5,Comptroller,,Robert Antonaci,CON,2,3
Ulster,Ulster 6,Comptroller,,Robert Antonaci,CON,3,3
Ulster,Ulster 7,Comptroller,,Robert Antonaci,CON,0,28
Ulster,Ulster 8,Comptroller,,Robert Antonaci,CON,1,9
Ulster,Ulster 9,Comptroller,,Robert Antonaci,CON,7,30
Ulster,Ulster 10,Comptroller,,Robert Antonaci,CON,3,31
Ulster,Ulster 11,Comptroller,,Robert Antonaci,CON,1,17
Ulster,Ulster 12,Comptroller,,Robert Antonaci,CON,0,43
Ulster,Ulster 13,Comptroller,,Robert Antonaci,CON,1,32
Ulster,Ulster 14,Comptroller,,Robert Antonaci,CON,1,36
Ulster,Wawarsing 1,Comptroller,,Robert Antonaci,CON,1,4
Ulster,Wawarsing 2,Comptroller,,Robert Antonaci,CON,0,20
Ulster,Wawarsing 3,Comptroller,,Robert Antonaci,CON,0,19
Ulster,Wawarsing 4,Comptroller,,Robert Antonaci,CON,1,9
Ulster,Wawarsing 5,Comptroller,,Robert Antonaci,CON,4,13
Ulster,Wawarsing 6,Comptroller,,Robert Antonaci,CON,2,14
Ulster,Wawarsing 7,Comptroller,,Robert Antonaci,CON,6,23
Ulster,Wawarsing 8,Comptroller,,Robert Antonaci,CON,1,25
Ulster,Wawarsing 9,Comptroller,,Robert Antonaci,CON,0,12
Ulster,Wawarsing 10,Comptroller,,Robert Antonaci,CON,3,13
Ulster,Wawarsing 11,Comptroller,,Robert Antonaci,CON,0,6
Ulster,Wawarsing 12,Comptroller,,Robert Antonaci,CON,0,18
Ulster,Woodstock 1,Comptroller,,Robert Antonaci,CON,0,2
Ulster,Woodstock 2,Comptroller,,Robert Antonaci,CON,0,9
Ulster,Woodstock 3,Comptroller,,Robert Antonaci,CON,2,11
Ulster,Woodstock 4,Comptroller,,Robert Antonaci,CON,0,4
Ulster,Woodstock 5,Comptroller,,Robert Antonaci,CON,0,2
Ulster,Woodstock 6,Comptroller,,Robert Antonaci,CON,2,18
Ulster,Woodstock 7,Comptroller,,Robert Antonaci,CON,2,6
Ulster,Woodstock 8,Comptroller,,Robert Antonaci,CON,0,2
Ulster,Woodstock 9,Comptroller,,Robert Antonaci,CON,0,8
Ulster,TOTAL,Comptroller,,Robert Antonaci,CON,271,3896
Ulster,Kingston Ward 1 -1,Comptroller,,Thomas P. Dinapoli,WOR,0,5
Ulster,Kingston Ward 1 -2,Comptroller,,Thomas P. Dinapoli,WOR,1,20
Ulster,Kingston Ward 1 -3,Comptroller,,Thomas P. Dinapoli,WOR,2,34
Ulster,Kingston Ward 2 -1,Comptroller,,Thomas P. Dinapoli,WOR,2,28
Ulster,Kingston Ward 2 -2,Comptroller,,Thomas P. Dinapoli,WOR,1,1
Ulster,Kingston Ward 2 -3,Comptroller,,Thomas P. Dinapoli,WOR,1,21
Ulster,Kingston Ward 3 -1,Comptroller,,Thomas P. Dinapoli,WOR,0,24
Ulster,Kingston Ward 3 -2,Comptroller,,Thomas P. Dinapoli,WOR,3,17
Ulster,Kingston Ward 3 -3,Comptroller,,Thomas P. Dinapoli,WOR,1,19
Ulster,Kingston Ward 4 -1,Comptroller,,Thomas P. Dinapoli,WOR,0,10
Ulster,Kingston Ward 4 -2,Comptroller,,Thomas P. Dinapoli,WOR,0,9
Ulster,Kingston Ward 5 -1,Comptroller,,Thomas P. Dinapoli,WOR,1,17
Ulster,Kingston Ward 5 -2,Comptroller,,Thomas P. Dinapoli,WOR,2,19
Ulster,Kingston Ward 5 -3,Comptroller,,Thomas P. Dinapoli,WOR,0,6
Ulster,Kingston Ward 6 -1,Comptroller,,Thomas P. Dinapoli,WOR,0,15
Ulster,Kingston Ward 6 -2,Comptroller,,Thomas P. Dinapoli,WOR,2,5
Ulster,Kingston Ward 6 -3,Comptroller,,Thomas P. Dinapoli,WOR,2,26
Ulster,Kingston Ward 7 -1,Comptroller,,Thomas P. Dinapoli,WOR,1,20
Ulster,Kingston Ward 7 -2,Comptroller,,Thomas P. Dinapoli,WOR,2,22
Ulster,Kingston Ward 7 -3,Comptroller,,Thomas P. Dinapoli,WOR,1,20
Ulster,Kingston Ward 8 -1,Comptroller,,Thomas P. Dinapoli,WOR,2,15
Ulster,Kingston Ward 8 -2,Comptroller,,Thomas P. Dinapoli,WOR,1,4
Ulster,Kingston Ward 8 -3,Comptroller,,Thomas P. Dinapoli,WOR,0,19
Ulster,Kingston Ward 9 -1,Comptroller,,Thomas P. Dinapoli,WOR,2,30
Ulster,Kingston Ward 9 -2,Comptroller,,Thomas P. Dinapoli,WOR,2,15
Ulster,Kingston Ward 9 -3,Comptroller,,Thomas P. Dinapoli,WOR,1,26
Ulster,Denning 1,Comptroller,,Thomas P. Dinapoli,WOR,2,3
Ulster,Denning 2,Comptroller,,Thomas P. Dinapoli,WOR,1,3
Ulster,Esopus 1,Comptroller,,Thomas P. Dinapoli,WOR,3,30
Ulster,Esopus 2,Comptroller,,Thomas P. Dinapoli,WOR,1,21
Ulster,Esopus 3,Comptroller,,Thomas P. Dinapoli,WOR,3,34
Ulster,Esopus 4,Comptroller,,Thomas P. Dinapoli,WOR,1,43
Ulster,Esopus 5,Comptroller,,Thomas P. Dinapoli,WOR,0,13
Ulster,Esopus 6,Comptroller,,Thomas P. Dinapoli,WOR,2,26
Ulster,Esopus 7,Comptroller,,Thomas P. Dinapoli,WOR,2,26
Ulster,Gardiner 1,Comptroller,,Thomas P. Dinapoli,WOR,2,32
Ulster,Gardiner 2,Comptroller,,Thomas P. Dinapoli,WOR,1,41
Ulster,Gardiner 3,Comptroller,,Thomas P. Dinapoli,WOR,0,54
Ulster,Gardiner 4,Comptroller,,Thomas P. Dinapoli,WOR,0,17
Ulster,Hardenburgh 1,Comptroller,,Thomas P. Dinapoli,WOR,0,0
Ulster,Hardenburgh 2,Comptroller,,Thomas P. Dinapoli,WOR,0,2
Ulster,Hurley 1,Comptroller,,Thomas P. Dinapoli,WOR,1,19
Ulster,Hurley 2,Comptroller,,Thomas P. Dinapoli,WOR,0,29
Ulster,Hurley 3,Comptroller,,Thomas P. Dinapoli,WOR,2,24
Ulster,Hurley 4,Comptroller,,Thomas P. Dinapoli,WOR,0,22
