county,precinct,office,district,party,candidate,election_day,absentee
Herkimer,City of Little Falls Ward 1 1 LD 12,Governor,,DEM,Write-in,0,
Herkimer,City of Little Falls Ward 2 1 LD 12,Governor,,DEM,Andrew M. Cuomo,31,5
Herkimer,City of Little Falls Ward 2 1 LD 12,Governor,,DEM,Blank,2,
Herkimer,City of Little Falls Ward 2 1 LD 12,Governor,,DEM,Cynthia E. Nixon,27,4
Herkimer,City of Little Falls Ward 2 1 LD 12,Governor,,DEM,Void,1,
Herkimer,City of Little Falls Ward 2 1 LD 12,Governor,,DEM,Write-in,0,
Herkimer,City of Little Falls Ward 3 1 LD 12,Governor,,DEM,Andrew M. Cuomo,11,2
Herkimer,City of Little Falls Ward 3 1 LD 12,Governor,,DEM,Blank,0,
Herkimer,City of Little Falls Ward 3 1 LD 12,Governor,,DEM,Cynthia E. Nixon,1,2
Herkimer,City of Little Falls Ward 3 1 LD 12,Governor,,DEM,Void,2,
Herkimer,City of Little Falls Ward 3 1 LD 12,Governor,,DEM,Write-in,0,
Herkimer,City of Little Falls Ward 3 2 LD 10,Governor,,DEM,Andrew M. Cuomo,12,0
Herkimer,City of Little Falls Ward 3 2 LD 10,Governor,,DEM,Blank,0,
Herkimer,City of Little Falls Ward 3 2 LD 10,Governor,,DEM,Cynthia E. Nixon,11,1
Herkimer,City of Little Falls Ward 3 2 LD 10,Governor,,DEM,Void,0,
Herkimer,City of Little Falls Ward 3 2 LD 10,Governor,,DEM,Write-in,0,
Herkimer,City of Little Falls Ward 4 1 LD 12,Governor,,DEM,Andrew M. Cuomo,25,4
Herkimer,City of Little Falls Ward 4 1 LD 12,Governor,,DEM,Blank,1,
Herkimer,City of Little Falls Ward 4 1 LD 12,Governor,,DEM,Cynthia E. Nixon,15,0
Herkimer,City of Little Falls Ward 4 1 LD 12,Governor,,DEM,Void,0,
Herkimer,City of Little Falls Ward 4 1 LD 12,Governor,,DEM,Write-in,0,
Herkimer,Town of Columbia 1 LD 7,Governor,,DEM,Andrew M. Cuomo,8,1
Herkimer,Town of Columbia 1 LD 7,Governor,,DEM,Blank,0,
Herkimer,Town of Columbia 1 LD 7,Governor,,DEM,Cynthia E. Nixon,10,0
Herkimer,Town of Columbia 1 LD 7,Governor,,DEM,Void,0,
Herkimer,Town of Columbia 1 LD 7,Governor,,DEM,Write-in,0,
Herkimer,Town of Columbia 2 LD 13,Governor,,DEM,Andrew M. Cuomo,3,0
Herkimer,Town of Columbia 2 LD 13,Governor,,DEM,Blank,0,
Herkimer,Town of Columbia 2 LD 13,Governor,,DEM,Cynthia E. Nixon,1,0
Herkimer,Town of Columbia 2 LD 13,Governor,,DEM,Void,0,
Herkimer,Town of Columbia 2 LD 13,Governor,,DEM,Write-in,0,
Herkimer,Town of Danube 1 LD 14,Governor,,DEM,Andrew M. Cuomo,5,1
Herkimer,Town of Danube 1 LD 14,Governor,,DEM,Blank,1,
Herkimer,Town of Danube 1 LD 14,Governor,,DEM,Cynthia E. Nixon,9,0
Herkimer,Town of Danube 1 LD 14,Governor,,DEM,Void,0,
Herkimer,Town of Danube 1 LD 14,Governor,,DEM,Write-in,0,
Herkimer,Town of Fairfield 1 LD 16,Governor,,DEM,Andrew M. Cuomo,9,1
Herkimer,Town of Fairfield 1 LD 16,Governor,,DEM,Blank,0,
Herkimer,Town of Fairfield 1 LD 16,Governor,,DEM,Cynthia E. Nixon,23,3
Herkimer,Town of Fairfield 1 LD 16,Governor,,DEM,Void,0,
Herkimer,Town of Fairfield 1 LD 16,Governor,,DEM,Write-in,0,
Herkimer,Town of Frankfort 1 LD 8,Governor,,DEM,Andrew M. Cuomo,17,5
Herkimer,Town of Frankfort 1 LD 8,Governor,,DEM,Blank,0,
Herkimer,Town of Frankfort 1 LD 8,Governor,,DEM,Cynthia E. Nixon,16,1
Herkimer,Town of Frankfort 1 LD 8,Governor,,DEM,Void,0,
Herkimer,Town of Frankfort 1 LD 8,Governor,,DEM,Write-in,0,
Herkimer,Town of Frankfort 2 LD 9,Governor,,DEM,Andrew M. Cuomo,22,1
Herkimer,Town of Frankfort 2 LD 9,Governor,,DEM,Blank,1,
Herkimer,Town of Frankfort 2 LD 9,Governor,,DEM,Cynthia E. Nixon,24,0
Herkimer,Town of Frankfort 2 LD 9,Governor,,DEM,Void,0,
Herkimer,Town of Frankfort 2 LD 9,Governor,,DEM,Write-in,0,
Herkimer,Town of Frankfort 3 LD 9,Governor,,DEM,Andrew M. Cuomo,4,0
Herkimer,Town of Frankfort 3 LD 9,Governor,,DEM,Blank,0,
Herkimer,Town of Frankfort 3 LD 9,Governor,,DEM,Cynthia E. Nixon,17,0
Herkimer,Town of Frankfort 3 LD 9,Governor,,DEM,Void,0,
Herkimer,Town of Frankfort 3 LD 9,Governor,,DEM,Write-in,0,
Herkimer,Town of Frankfort 4 LD 8,Governor,,DEM,Andrew M. Cuomo,11,3
Herkimer,Town of Frankfort 4 LD 8,Governor,,DEM,Blank,0,
Herkimer,Town of Frankfort 4 LD 8,Governor,,DEM,Cynthia E. Nixon,12,2
Herkimer,Town of Frankfort 4 LD 8,Governor,,DEM,Void,0,
Herkimer,Town of Frankfort 4 LD 8,Governor,,DEM,Write-in,0,
Herkimer,Town of Frankfort 5 LD 8,Governor,,DEM,Andrew M. Cuomo,25,5
Herkimer,Town of Frankfort 5 LD 8,Governor,,DEM,Blank,2,
Herkimer,Town of Frankfort 5 LD 8,Governor,,DEM,Cynthia E. Nixon,22,1
Herkimer,Town of Frankfort 5 LD 8,Governor,,DEM,Void,1,
Herkimer,Town of Frankfort 5 LD 8,Governor,,DEM,Write-in,0,
Herkimer,Town of Frankfort 6 LD 9,Governor,,DEM,Andrew M. Cuomo,22,4
Herkimer,Town of Frankfort 6 LD 9,Governor,,DEM,Blank,2,
Herkimer,Town of Frankfort 6 LD 9,Governor,,DEM,Cynthia E. Nixon,22,4
Herkimer,Town of Frankfort 6 LD 9,Governor,,DEM,Void,0,
Herkimer,Town of Frankfort 6 LD 9,Governor,,DEM,Write-in,0,
Herkimer,Town of German Flatts 1 LD 7,Governor,,DEM,Andrew M. Cuomo,7,1
Herkimer,Town of German Flatts 1 LD 7,Governor,,DEM,Blank,0,
Herkimer,Town of German Flatts 1 LD 7,Governor,,DEM,Cynthia E. Nixon,9,1
Herkimer,Town of German Flatts 1 LD 7,Governor,,DEM,Void,2,
Herkimer,Town of German Flatts 1 LD 7,Governor,,DEM,Write-in,1,
Herkimer,Town of German Flatts 10 LD 5,Governor,,DEM,Andrew M. Cuomo,6,0
Herkimer,Town of German Flatts 10 LD 5,Governor,,DEM,Blank,0,
Herkimer,Town of German Flatts 10 LD 5,Governor,,DEM,Cynthia E. Nixon,4,0
Herkimer,Town of German Flatts 10 LD 5,Governor,,DEM,Void,0,
Herkimer,Town of German Flatts 10 LD 5,Governor,,DEM,Write-in,0,
Herkimer,Town of German Flatts 11 LD 6,Governor,,DEM,Andrew M. Cuomo,9,2
Herkimer,Town of German Flatts 11 LD 6,Governor,,DEM,Blank,0,
Herkimer,Town of German Flatts 11 LD 6,Governor,,DEM,Cynthia E. Nixon,17,1
Herkimer,Town of German Flatts 11 LD 6,Governor,,DEM,Void,0,
Herkimer,Town of German Flatts 11 LD 6,Governor,,DEM,Write-in,0,
Herkimer,Town of German Flatts 12 LD 6,Governor,,DEM,Andrew M. Cuomo,9,1
Herkimer,Town of German Flatts 12 LD 6,Governor,,DEM,Blank,1,
Herkimer,Town of German Flatts 12 LD 6,Governor,,DEM,Cynthia E. Nixon,9,0
Herkimer,Town of German Flatts 12 LD 6,Governor,,DEM,Void,0,
Herkimer,Town of German Flatts 12 LD 6,Governor,,DEM,Write-in,0,
Herkimer,Town of German Flatts 13 LD 5,Governor,,DEM,Andrew M. Cuomo,22,4
Herkimer,Town of German Flatts 13 LD 5,Governor,,DEM,Blank,0,
Herkimer,Town of German Flatts 13 LD 5,Governor,,DEM,Cynthia E. Nixon,16,0
Herkimer,Town of German Flatts 13 LD 5,Governor,,DEM,Void,0,
Herkimer,Town of German Flatts 13 LD 5,Governor,,DEM,Write-in,0,
Herkimer,Town of German Flatts 14 LD 5,Governor,,DEM,Andrew M. Cuomo,7,0
Herkimer,Town of German Flatts 14 LD 5,Governor,,DEM,Blank,0,
Herkimer,Town of German Flatts 14 LD 5,Governor,,DEM,Cynthia E. Nixon,9,1
Herkimer,Town of German Flatts 14 LD 5,Governor,,DEM,Void,0,
Herkimer,Town of German Flatts 14 LD 5,Governor,,DEM,Write-in,0,
Herkimer,Town of German Flatts 2 LD 1,Governor,,DEM,Andrew M. Cuomo,12,0
Herkimer,Town of German Flatts 2 LD 1,Governor,,DEM,Blank,1,
Herkimer,Town of German Flatts 2 LD 1,Governor,,DEM,Cynthia E. Nixon,8,1
Herkimer,Town of German Flatts 2 LD 1,Governor,,DEM,Void,0,
Herkimer,Town of German Flatts 2 LD 1,Governor,,DEM,Write-in,0,
Herkimer,Town of German Flatts 3 LD 4,Governor,,DEM,Andrew M. Cuomo,17,2
Herkimer,Town of German Flatts 3 LD 4,Governor,,DEM,Blank,0,
Herkimer,Town of German Flatts 3 LD 4,Governor,,DEM,Cynthia E. Nixon,16,0
Herkimer,Town of German Flatts 3 LD 4,Governor,,DEM,Void,0,
Herkimer,Town of German Flatts 3 LD 4,Governor,,DEM,Write-in,0,
Herkimer,Town of German Flatts 4 LD 5,Governor,,DEM,Andrew M. Cuomo,8,0
Herkimer,Town of German Flatts 4 LD 5,Governor,,DEM,Blank,0,
Herkimer,Town of German Flatts 4 LD 5,Governor,,DEM,Cynthia E. Nixon,1,1
Herkimer,Town of German Flatts 4 LD 5,Governor,,DEM,Void,0,
Herkimer,Town of German Flatts 4 LD 5,Governor,,DEM,Write-in,0,
Herkimer,Town of German Flatts 5 LD 6,Governor,,DEM,Andrew M. Cuomo,3,0
Herkimer,Town of German Flatts 5 LD 6,Governor,,DEM,Blank,0,
Herkimer,Town of German Flatts 5 LD 6,Governor,,DEM,Cynthia E. Nixon,3,0
Herkimer,Town of German Flatts 5 LD 6,Governor,,DEM,Void,0,
Herkimer,Town of German Flatts 5 LD 6,Governor,,DEM,Write-in,0,
Herkimer,Town of German Flatts 6 LD 6,Governor,,DEM,Andrew M. Cuomo,14,2
Herkimer,Town of German Flatts 6 LD 6,Governor,,DEM,Blank,0,
Herkimer,Town of German Flatts 6 LD 6,Governor,,DEM,Cynthia E. Nixon,12,0
Herkimer,Town of German Flatts 6 LD 6,Governor,,DEM,Void,0,
Herkimer,Town of German Flatts 6 LD 6,Governor,,DEM,Write-in,1,
Herkimer,Town of German Flatts 7 LD 4,Governor,,DEM,Andrew M. Cuomo,7,1
Herkimer,Town of German Flatts 7 LD 4,Governor,,DEM,Blank,0,
Herkimer,Town of German Flatts 7 LD 4,Governor,,DEM,Cynthia E. Nixon,6,0
Herkimer,Town of German Flatts 7 LD 4,Governor,,DEM,Void,0,
Herkimer,Town of German Flatts 7 LD 4,Governor,,DEM,Write-in,1,
Herkimer,Town of German Flatts 8 LD 5,Governor,,DEM,Andrew M. Cuomo,15,1
Herkimer,Town of German Flatts 8 LD 5,Governor,,DEM,Blank,0,
Herkimer,Town of German Flatts 8 LD 5,Governor,,DEM,Cynthia E. Nixon,10,0
Herkimer,Town of German Flatts 8 LD 5,Governor,,DEM,Void,0,
Herkimer,Town of German Flatts 8 LD 5,Governor,,DEM,Write-in,0,
Herkimer,Town of German Flatts 9 LD 4,Governor,,DEM,Andrew M. Cuomo,16,0
Herkimer,Town of German Flatts 9 LD 4,Governor,,DEM,Blank,0,
Herkimer,Town of German Flatts 9 LD 4,Governor,,DEM,Cynthia E. Nixon,8,0
Herkimer,Town of German Flatts 9 LD 4,Governor,,DEM,Void,0,
Herkimer,Town of German Flatts 9 LD 4,Governor,,DEM,Write-in,0,
Herkimer,Town of Herkimer 1 LD 2,Governor,,DEM,Andrew M. Cuomo,11,1
Herkimer,Town of Herkimer 1 LD 2,Governor,,DEM,Blank,0,
Herkimer,Town of Herkimer 1 LD 2,Governor,,DEM,Cynthia E. Nixon,12,2
Herkimer,Town of Herkimer 1 LD 2,Governor,,DEM,Void,0,
Herkimer,Town of Herkimer 1 LD 2,Governor,,DEM,Write-in,0,
Herkimer,Town of Herkimer 2 LD 2,Governor,,DEM,Andrew M. Cuomo,7,6
Herkimer,Town of Herkimer 2 LD 2,Governor,,DEM,Blank,2,
Herkimer,Town of Herkimer 2 LD 2,Governor,,DEM,Cynthia E. Nixon,11,0
Herkimer,Town of Herkimer 2 LD 2,Governor,,DEM,Void,0,
Herkimer,Town of Herkimer 2 LD 2,Governor,,DEM,Write-in,0,
Herkimer,Town of Herkimer 3 LD 2,Governor,,DEM,Andrew M. Cuomo,14,3
Herkimer,Town of Herkimer 3 LD 2,Governor,,DEM,Blank,2,
Herkimer,Town of Herkimer 3 LD 2,Governor,,DEM,Cynthia E. Nixon,11,0
Herkimer,Town of Herkimer 3 LD 2,Governor,,DEM,Void,1,
Herkimer,Town of Herkimer 3 LD 2,Governor,,DEM,Write-in,0,
Herkimer,Town of Herkimer 4 LD 2,Governor,,DEM,Andrew M. Cuomo,12,3
Herkimer,Town of Herkimer 4 LD 2,Governor,,DEM,Blank,0,
Herkimer,Town of Herkimer 4 LD 2,Governor,,DEM,Cynthia E. Nixon,9,1
Herkimer,Town of Herkimer 4 LD 2,Governor,,DEM,Void,2,
Herkimer,Town of Herkimer 4 LD 2,Governor,,DEM,Write-in,0,
Herkimer,Town of Herkimer 5 LD 1,Governor,,DEM,Andrew M. Cuomo,8,1
Herkimer,Town of Herkimer 5 LD 1,Governor,,DEM,Blank,0,
Herkimer,Town of Herkimer 5 LD 1,Governor,,DEM,Cynthia E. Nixon,5,1
Herkimer,Town of Herkimer 5 LD 1,Governor,,DEM,Void,0,
Herkimer,Town of Herkimer 5 LD 1,Governor,,DEM,Write-in,0,
Herkimer,Town of Herkimer 6 LD 3,Governor,,DEM,Andrew M. Cuomo,25,3
Herkimer,Town of Herkimer 6 LD 3,Governor,,DEM,Blank,1,
Herkimer,Town of Herkimer 6 LD 3,Governor,,DEM,Cynthia E. Nixon,16,1
Herkimer,Town of Herkimer 6 LD 3,Governor,,DEM,Void,0,
Herkimer,Town of Herkimer 6 LD 3,Governor,,DEM,Write-in,0,
Herkimer,Town of Herkimer 7 LD 3,Governor,,DEM,Andrew M. Cuomo,9,2
Herkimer,Town of Herkimer 7 LD 3,Governor,,DEM,Blank,0,
Herkimer,Town of Herkimer 7 LD 3,Governor,,DEM,Cynthia E. Nixon,11,1
Herkimer,Town of Herkimer 7 LD 3,Governor,,DEM,Void,0,
Herkimer,Town of Herkimer 7 LD 3,Governor,,DEM,Write-in,0,
Herkimer,Town of Herkimer 8 LD 1,Governor,,DEM,Andrew M. Cuomo,20,2
Herkimer,Town of Herkimer 8 LD 1,Governor,,DEM,Blank,0,
Herkimer,Town of Herkimer 8 LD 1,Governor,,DEM,Cynthia E. Nixon,12,2
Herkimer,Town of Herkimer 8 LD 1,Governor,,DEM,Void,1,
Herkimer,Town of Herkimer 8 LD 1,Governor,,DEM,Write-in,0,
Herkimer,Town of Herkimer 9 LD 3,Governor,,DEM,Andrew M. Cuomo,14,0
Herkimer,Town of Herkimer 9 LD 3,Governor,,DEM,Blank,1,
Herkimer,Town of Herkimer 9 LD 3,Governor,,DEM,Cynthia E. Nixon,6,2
Herkimer,Town of Herkimer 9 LD 3,Governor,,DEM,Void,1,
Herkimer,Town of Herkimer 9 LD 3,Governor,,DEM,Write-in,0,
Herkimer,Town of Litchfield 1 LD 13,Governor,,DEM,Andrew M. Cuomo,10,0
Herkimer,Town of Litchfield 1 LD 13,Governor,,DEM,Blank,0,
Herkimer,Town of Litchfield 1 LD 13,Governor,,DEM,Cynthia E. Nixon,25,0
Herkimer,Town of Litchfield 1 LD 13,Governor,,DEM,Void,0,
Herkimer,Town of Litchfield 1 LD 13,Governor,,DEM,Write-in,0,
Herkimer,Town of Little Falls 1 LD 14,Governor,,DEM,Andrew M. Cuomo,18,4
Herkimer,Town of Little Falls 1 LD 14,Governor,,DEM,Blank,2,
Herkimer,Town of Little Falls 1 LD 14,Governor,,DEM,Cynthia E. Nixon,17,2
Herkimer,Town of Little Falls 1 LD 14,Governor,,DEM,Void,0,
Herkimer,Town of Little Falls 1 LD 14,Governor,,DEM,Write-in,0,
Herkimer,Town of Manheim 1 LD 10,Governor,,DEM,Andrew M. Cuomo,4,0
Herkimer,Town of Manheim 1 LD 10,Governor,,DEM,Blank,0,
Herkimer,Town of Manheim 1 LD 10,Governor,,DEM,Cynthia E. Nixon,4,0
Herkimer,Town of Manheim 1 LD 10,Governor,,DEM,Void,0,
Herkimer,Town of Manheim 1 LD 10,Governor,,DEM,Write-in,0,
Herkimer,Town of Manheim 2 LD 10,Governor,,DEM,Andrew M. Cuomo,15,1
Herkimer,Town of Manheim 2 LD 10,Governor,,DEM,Blank,1,
Herkimer,Town of Manheim 2 LD 10,Governor,,DEM,Cynthia E. Nixon,22,0
Herkimer,Town of Manheim 2 LD 10,Governor,,DEM,Void,1,
Herkimer,Town of Manheim 2 LD 10,Governor,,DEM,Write-in,0,
Herkimer,Town of Manheim 3 LD 10,Governor,,DEM,Andrew M. Cuomo,6,1
Herkimer,Town of Manheim 3 LD 10,Governor,,DEM,Blank,1,
Herkimer,Town of Manheim 3 LD 10,Governor,,DEM,Cynthia E. Nixon,7,0
Herkimer,Town of Manheim 3 LD 10,Governor,,DEM,Void,0,
Herkimer,Town of Manheim 3 LD 10,Governor,,DEM,Write-in,0,
Herkimer,Town of Newport 1 LD 17,Governor,,DEM,Andrew M. Cuomo,25,1
Herkimer,Town of Newport 1 LD 17,Governor,,DEM,Blank,1,
Herkimer,Town of Newport 1 LD 17,Governor,,DEM,Cynthia E. Nixon,27,1
Herkimer,Town of Newport 1 LD 17,Governor,,DEM,Void,0,
Herkimer,Town of Newport 1 LD 17,Governor,,DEM,Write-in,0,
Herkimer,Town of Norway 1 LD 16,Governor,,DEM,Andrew M. Cuomo,2,1
Herkimer,Town of Norway 1 LD 16,Governor,,DEM,Blank,0,
Herkimer,Town of Norway 1 LD 16,Governor,,DEM,Cynthia E. Nixon,9,1
Herkimer,Town of Norway 1 LD 16,Governor,,DEM,Void,0,
Herkimer,Town of Norway 1 LD 16,Governor,,DEM,Write-in,0,
Herkimer,Town of Ohio 1 LD 15,Governor,,DEM,Andrew M. Cuomo,6,3
Herkimer,Town of Ohio 1 LD 15,Governor,,DEM,Blank,0,
Herkimer,Town of Ohio 1 LD 15,Governor,,DEM,Cynthia E. Nixon,10,0
Herkimer,Town of Ohio 1 LD 15,Governor,,DEM,Void,0,
Herkimer,Town of Ohio 1 LD 15,Governor,,DEM,Write-in,0,
Herkimer,Town of Russia 1 LD 17,Governor,,DEM,Andrew M. Cuomo,19,1
Herkimer,Town of Russia 1 LD 17,Governor,,DEM,Blank,1,
Herkimer,Town of Russia 1 LD 17,Governor,,DEM,Cynthia E. Nixon,19,1
Herkimer,Town of Russia 1 LD 17,Governor,,DEM,Void,0,
Herkimer,Town of Russia 1 LD 17,Governor,,DEM,Write-in,0,
Herkimer,Town of Russia 2 LD 15,Governor,,DEM,Andrew M. Cuomo,5,1
Herkimer,Town of Russia 2 LD 15,Governor,,DEM,Blank,0,
Herkimer,Town of Russia 2 LD 15,Governor,,DEM,Cynthia E. Nixon,10,0
Herkimer,Town of Russia 2 LD 15,Governor,,DEM,Void,0,
Herkimer,Town of Russia 2 LD 15,Governor,,DEM,Write-in,0,
Herkimer,Town of Russia 3 LD 17,Governor,,DEM,Andrew M. Cuomo,6,0
Herkimer,Town of Russia 3 LD 17,Governor,,DEM,Blank,0,
Herkimer,Town of Russia 3 LD 17,Governor,,DEM,Cynthia E. Nixon,0,0
Herkimer,Town of Russia 3 LD 17,Governor,,DEM,Void,1,
Herkimer,Town of Russia 3 LD 17,Governor,,DEM,Write-in,0,
Herkimer,Town of Salisbury 1 LD 16,Governor,,DEM,Andrew M. Cuomo,13,1
Herkimer,Town of Salisbury 1 LD 16,Governor,,DEM,Blank,0,
Herkimer,Town of Salisbury 1 LD 16,Governor,,DEM,Cynthia E. Nixon,11,0
Herkimer,Town of Salisbury 1 LD 16,Governor,,DEM,Void,0,
Herkimer,Town of Salisbury 1 LD 16,Governor,,DEM,Write-in,0,
Herkimer,Town of Schuyler 1 LD 11,Governor,,DEM,Andrew M. Cuomo,7,1
Herkimer,Town of Schuyler 1 LD 11,Governor,,DEM,Blank,0,
Herkimer,Town of Schuyler 1 LD 11,Governor,,DEM,Cynthia E. Nixon,13,3
Herkimer,Town of Schuyler 1 LD 11,Governor,,DEM,Void,0,
Herkimer,Town of Schuyler 1 LD 11,Governor,,DEM,Write-in,0,
Herkimer,Town of Schuyler 2 LD 11,Governor,,DEM,Andrew M. Cuomo,20,0
Herkimer,Town of Schuyler 2 LD 11,Governor,,DEM,Blank,2,
Herkimer,Town of Schuyler 2 LD 11,Governor,,DEM,Cynthia E. Nixon,7,0
Herkimer,Town of Schuyler 2 LD 11,Governor,,DEM,Void,0,
Herkimer,Town of Schuyler 2 LD 11,Governor,,DEM,Write-in,0,
Herkimer,Town of Schuyler 3 LD 11,Governor,,DEM,Andrew M. Cuomo,24,0
Herkimer,Town of Schuyler 3 LD 11,Governor,,DEM,Blank,1,
Herkimer,Town of Schuyler 3 LD 11,Governor,,DEM,Cynthia E. Nixon,18,0
Herkimer,Town of Schuyler 3 LD 11,Governor,,DEM,Void,0,
Herkimer,Town of Schuyler 3 LD 11,Governor,,DEM,Write-in,0,
Herkimer,Town of Stark 1 LD 14,Governor,,DEM,Andrew M. Cuomo,10,1
Herkimer,Town of Stark 1 LD 14,Governor,,DEM,Blank,0,
Herkimer,Town of Stark 1 LD 14,Governor,,DEM,Cynthia E. Nixon,9,1
Herkimer,Town of Stark 1 LD 14,Governor,,DEM,Void,0,
Herkimer,Town of Stark 1 LD 14,Governor,,DEM,Write-in,0,
Herkimer,Town of Warren 1 LD 7,Governor,,DEM,Andrew M. Cuomo,3,0
Herkimer,Town of Warren 1 LD 7,Governor,,DEM,Blank,0,
Herkimer,Town of Warren 1 LD 7,Governor,,DEM,Cynthia E. Nixon,10,0
Herkimer,Town of Warren 1 LD 7,Governor,,DEM,Void,0,
Herkimer,Town of Warren 1 LD 7,Governor,,DEM,Write-in,0,
Herkimer,Town of Webb 1 LD 15,Governor,,DEM,Andrew M. Cuomo,36,7
Herkimer,Town of Webb 1 LD 15,Governor,,DEM,Blank,0,
Herkimer,Town of Webb 1 LD 15,Governor,,DEM,Cynthia E. Nixon,45,2
Herkimer,Town of Webb 1 LD 15,Governor,,DEM,Void,1,
Herkimer,Town of Webb 1 LD 15,Governor,,DEM,Write-in,0,
Herkimer,Town of Webb 2 LD 15,Governor,,DEM,Andrew M. Cuomo,7,1
Herkimer,Town of Webb 2 LD 15,Governor,,DEM,Blank,0,
Herkimer,Town of Webb 2 LD 15,Governor,,DEM,Cynthia E. Nixon,7,0
Herkimer,Town of Webb 2 LD 15,Governor,,DEM,Void,0,
Herkimer,Town of Webb 2 LD 15,Governor,,DEM,Write-in,0,
Herkimer,Town of Winfield 1 LD 13,Governor,,DEM,Andrew M. Cuomo,2,0
Herkimer,Town of Winfield 1 LD 13,Governor,,DEM,Blank,0,
Herkimer,Town of Winfield 1 LD 13,Governor,,DEM,Cynthia E. Nixon,10,1
Herkimer,Town of Winfield 1 LD 13,Governor,,DEM,Void,0,
Herkimer,Town of Winfield 1 LD 13,Governor,,DEM,Write-in,0,
Herkimer,Town of Winfield 2 LD 13,Governor,,DEM,Andrew M. Cuomo,8,0
Herkimer,Town of Winfield 2 LD 13,Governor,,DEM,Blank,0,
Herkimer,Town of Winfield 2 LD 13,Governor,,DEM,Cynthia E. Nixon,14,0
Herkimer,Town of Winfield 2 LD 13,Governor,,DEM,Void,0,
Herkimer,Town of Winfield 2 LD 13,Governor,,DEM,Write-in,0,
Herkimer,Town of Fairfield 1 LD 16,State Senate,49,Reform,Blank,0,
Herkimer,Town of Fairfield 1 LD 16,State Senate,49,Reform,James N. Tedisco,0,0
Herkimer,Town of Fairfield 1 LD 16,State Senate,49,Reform,Void,0,
Herkimer,Town of Fairfield 1 LD 16,State Senate,49,Reform,Write-in,0,
Herkimer,Town of Manheim 1 LD 10,State Senate,49,Reform,Blank,0,
Herkimer,Town of Manheim 1 LD 10,State Senate,49,Reform,James N. Tedisco,0,0
Herkimer,Town of Manheim 1 LD 10,State Senate,49,Reform,Void,0,
Herkimer,Town of Manheim 1 LD 10,State Senate,49,Reform,Write-in,0,
Herkimer,Town of Manheim 2 LD 10,State Senate,49,Reform,Blank,0,
Herkimer,Town of Manheim 2 LD 10,State Senate,49,Reform,James N. Tedisco,2,1
Herkimer,Town of Manheim 2 LD 10,State Senate,49,Reform,Void,0,
Herkimer,Town of Manheim 2 LD 10,State Senate,49,Reform,Write-in,2,
Herkimer,Town of Manheim 3 LD 10,State Senate,49,Reform,Blank,0,
Herkimer,Town of Manheim 3 LD 10,State Senate,49,Reform,James N. Tedisco,0,0
Herkimer,Town of Manheim 3 LD 10,State Senate,49,Reform,Void,0,
Herkimer,Town of Manheim 3 LD 10,State Senate,49,Reform,Write-in,0,
Herkimer,Town of Ohio 1 LD 15,State Senate,49,Reform,Blank,0,
Herkimer,Town of Ohio 1 LD 15,State Senate,49,Reform,James N. Tedisco,1,0
Herkimer,Town of Ohio 1 LD 15,State Senate,49,Reform,Void,0,
Herkimer,Town of Ohio 1 LD 15,State Senate,49,Reform,Write-in,1,
Herkimer,Town of Russia 1 LD 17,State Senate,49,Reform,Blank,0,
Herkimer,Town of Russia 1 LD 17,State Senate,49,Reform,James N. Tedisco,6,0
Herkimer,Town of Russia 1 LD 17,State Senate,49,Reform,Void,0,
Herkimer,Town of Russia 1 LD 17,State Senate,49,Reform,Write-in,0,
Herkimer,Town of Russia 2 LD 15,State Senate,49,Reform,Blank,0,
Herkimer,Town of Russia 2 LD 15,State Senate,49,Reform,James N. Tedisco,0,0
Herkimer,Town of Russia 2 LD 15,State Senate,49,Reform,Void,0,
Herkimer,Town of Russia 2 LD 15,State Senate,49,Reform,Write-in,0,
Herkimer,Town of Russia 3 LD 17,State Senate,49,Reform,Blank,0,
Herkimer,Town of Russia 3 LD 17,State Senate,49,Reform,James N. Tedisco,0,0
Herkimer,Town of Russia 3 LD 17,State Senate,49,Reform,Void,0,
Herkimer,Town of Russia 3 LD 17,State Senate,49,Reform,Write-in,0,
Herkimer,Town of Salisbury 1 LD 16,State Senate,49,Reform,Blank,0,
Herkimer,Town of Salisbury 1 LD 16,State Senate,49,Reform,James N. Tedisco,1,0
Herkimer,Town of Salisbury 1 LD 16,State Senate,49,Reform,Void,0,
Herkimer,Town of Salisbury 1 LD 16,State Senate,49,Reform,Write-in,0,
Herkimer,Town of Webb 1 LD 15,State Senate,49,Reform,Blank,0,
Herkimer,Town of Webb 1 LD 15,State Senate,49,Reform,James N. Tedisco,2,0
Herkimer,Town of Webb 1 LD 15,State Senate,49,Reform,Void,0,
Herkimer,Town of Webb 1 LD 15,State Senate,49,Reform,Write-in,1,
Herkimer,Town of Webb 2 LD 15,State Senate,49,Reform,Blank,0,
Herkimer,Town of Webb 2 LD 15,State Senate,49,Reform,James N. Tedisco,1,0
Herkimer,Town of Webb 2 LD 15,State Senate,49,Reform,Void,0,
Herkimer,Town of Webb 2 LD 15,State Senate,49,Reform,Write-in,0,
Herkimer,City of Little Falls Ward 1 1 LD 12,Attorney General,,Reform,Blank,0,
Herkimer,City of Little Falls Ward 1 1 LD 12,Attorney General,,Reform,Christopher B. Garvey,1,0
Herkimer,City of Little Falls Ward 1 1 LD 12,Attorney General,,Reform,Mike Diederich,0,0
