candidate,office,county,district,party,precinct,votes,winner
Andre N. Liszka,State Senate,Monroe,61,WOR,,5,
Andre N. Liszka,State Senate,,61,WOR,,13,
Michael H. Ranzenhofer,State Senate,Genesee,61,REF,,4,
Michael H. Ranzenhofer,State Senate,Erie,61,REF,,8,
Michael H. Ranzenhofer,State Senate,Monroe,61,REF,,2,
Michael H. Ranzenhofer,State Senate,,61,REF,,14,1
Giovanni A. Mata,State Assembly,Suffolk,6,DEM,,746,
Philip Ramos,State Assembly,Suffolk,6,DEM,,2012,
Edwin Perez,State Assembly,Suffolk,10,WOR,,9,
Chad A. Lupinacci,State Assembly,Suffolk,10,WOR,,95,
Kimberly Jean-Pierre,State Assembly,Suffolk,11,DEM,,1411,
"Jordan K. Wilson, Jr.",State Assembly,Suffolk,11,DEM,,394,
Shawn Cullinane,State Assembly,Suffolk,11,REP,,624,
Kimberly Jean-Pierre,State Assembly,Suffolk,11,REP,,26,
Kimberly Jean-Pierre,State Assembly,Suffolk,11,REF,,6,
Earlene Hooper,State Assembly,Nassau,18,DEM,,2271,
Carmen J. Pineyro,State Assembly,Nassau,18,DEM,,1513,
Anthony P. Eramo,State Assembly,Nassau,20,DEM,,3006,
Jeffrey W. Toback,State Assembly,Nassau,20,DEM,,1305,
Linda Guillebeaux,State Assembly,Queens,29,DEM,,270,
Lorraine Bridges,State Assembly,Queens,29,DEM,,888,
Alicia L. Hyndman,State Assembly,Queens,29,DEM,,3057,
Brian Barnwell,State Assembly,Queens,30,DEM,,1710,
Margaret M. Markey,State Assembly,Queens,30,DEM,,1082,
Vivian E. Cook,State Assembly,Queens,32,DEM,,4021,
Rodney Reid,State Assembly,Queens,32,DEM,,1141,
Clyde Vanel,State Assembly,Queens,33,DEM,,1822,
Nantasha Williams,State Assembly,Queens,33,DEM,,1590,
Bryan J. Block,State Assembly,Queens,33,DEM,,1402,
Roy Paul,State Assembly,Queens,33,DEM,,599,
Sabine French,State Assembly,Queens,33,DEM,,204,
Rodneyse Bichotte,State Assembly,Kings,42,DEM,,2471,
Victor A. Jordan,State Assembly,Kings,42,DEM,,666,
Robert C. Carroll,State Assembly,Kings,44,DEM,,6031,
R. M. Curry-Smithson,State Assembly,Kings,44,DEM,,369,
Troy Odendhal,State Assembly,Kings,44,DEM,,299,
Pamela Harris,State Assembly,Kings,46,DEM,,3234,
Katie A. Cucco,State Assembly,Kings,46,DEM,,2040,
Mikhail Usher,State Assembly,Kings,46,CON,,56,
Lucretia Regina Potter,State Assembly,Kings,46,CON,,10,
Unattributable,State Assembly,Kings,46,CON,,1,
Lucretia Regina-Potter,State Assembly,Kings,46,REF,,2,
Mark Treyger,State Assembly,Kings,46,REF,,1,
Abraham Tischler,State Assembly,Kings,48,REP,,1,
Angdor Miller,State Assembly,Kings,48,REP,,1,
Antonio Fosamo,State Assembly,Kings,48,REP,,1,
Auroltom Sofer,State Assembly,Kings,48,REP,,1,
Barnes Carew,State Assembly,Kings,48,REP,,1,
Boris Pinkus,State Assembly,Kings,48,REP,,1,
Carolyn Walton,State Assembly,Kings,48,REP,,1,
Chaim Shlomo Abramovite,State Assembly,Kings,48,REP,,1,
Dag Kin,State Assembly,Kings,48,REP,,1,
Daniel D. Baumann,State Assembly,Kings,48,REP,,1,
David Greenfield,State Assembly,Kings,48,REP,,2,
David Schwartz,State Assembly,Kings,48,REP,,16,
Donald Trump,State Assembly,Kings,48,REP,,4,
Dov Hikind,State Assembly,Kings,48,REP,,253,
Dwight Goupen,State Assembly,Kings,48,REP,,1,
Frumet Schwartz,State Assembly,Kings,48,REP,,1,
Hillary Clinton,State Assembly,Kings,48,REP,,1,
Ivanka Trump,State Assembly,Kings,48,REP,,1,
Jacob M. Sammell,State Assembly,Kings,48,REP,,1,
M. Avigdor,State Assembly,Kings,48,REP,,1,
Mark Theyger,State Assembly,Kings,48,REP,,1,
Michael Blake,State Assembly,Kings,48,REP,,1,
Michael Romersa,State Assembly,Kings,48,REP,,1,
Mochael Fett,State Assembly,Kings,48,REP,,1,
Mordecltai Avigdor,State Assembly,Kings,48,REP,,1,
Morton M. Avigdor,State Assembly,Kings,48,REP,,16,
Murdches Puisdur,State Assembly,Kings,48,REP,,1,
Neal Adelstein,State Assembly,Kings,48,REP,,1,
Noach Deer,State Assembly,Kings,48,REP,,1,
Rachel E. Freier,State Assembly,Kings,48,REP,,33,
Robert B. Axelrod,State Assembly,Kings,48,REP,,1,
Rochelle Greier,State Assembly,Kings,48,REP,,1,
Roth Moses,State Assembly,Kings,48,REP,,1,
Sand Starr,State Assembly,Kings,48,REP,,1,
Sheldon Silver,State Assembly,Kings,48,REP,,1,
Simcha Felder,State Assembly,Kings,48,REP,,3,
Unattributable,State Assembly,Kings,48,REP,,60,
Yanky Vorhand,State Assembly,Kings,48,REP,,1,
Yidel Pelstein,State Assembly,Kings,48,REP,,1,
Yitty Frielman,State Assembly,Kings,48,REP,,1,
Zalmen Teitebaum,State Assembly,Kings,48,REP,,1,
Latrice M. Walker,State Assembly,Kings,55,DEM,,4276,
Darlene Mealy,State Assembly,Kings,55,DEM,,1475,
Karen Z. Cherry,State Assembly,Kings,56,DEM,,2698,
Tremaine S. Wright,State Assembly,Kings,56,DEM,,3876,
Janine Materna,State Assembly,Richmond,62,REP,,1140,
"Ronald Castorina, Jr.",State Assembly,Richmond,62,REP,,2365,
Yuh-Line Niou,State Assembly,New York,65,DEM,,2790,
Gigi K. Li,State Assembly,New York,65,DEM,,844,
Jenifer Rajkumar,State Assembly,New York,65,DEM,,1701,
Don Lee,State Assembly,New York,65,DEM,,995,
Paul Newell,State Assembly,New York,65,DEM,,1425,
Alice Cancel,State Assembly,New York,65,DEM,,1108,
Deborah J. Glick,State Assembly,New York,66,DEM,,3383,
Jim Fouratt,State Assembly,New York,66,DEM,,835,
Linda B. Rosenthal,State Assembly,New York,67,DEM,,8055,
Eugene G. P. Byrne,State Assembly,New York,67,DEM,,295,
Daniel J. O'Donnell,State Assembly,New York,69,DEM,,7255,
Steven M. Appel,State Assembly,New York,69,DEM,,1971,
George Fernandez,State Assembly,New York,72,DEM,,808,
Carmen N. De La Rosa,State Assembly,New York,72,DEM,,4485,
Guillermo Linares,State Assembly,New York,72,DEM,,3194,
Rebecca Harary,State Assembly,New York,73,WEP,,3,
Deborah McEvilly,State Assembly,New York,76,IND,,1,
Jonathan Kostakopoulos,State Assembly,New York,76,IND,,9,
Rosanna Vargas,State Assembly,New York,76,IND,,1,
Sabrina Kraus,State Assembly,New York,76,IND,,1,
Opportunity To Ballot,State Assembly,New York,76,REF,,0,
Jose Rivera,State Assembly,Bronx,78,DEM,,2236,
Ischia J. Bravo,State Assembly,Bronx,78,DEM,,1185,
Carmen E. Arroyo,State Assembly,Bronx,84,DEM,,2154,
Jackson Strong,State Assembly,Bronx,84,DEM,,1008,
William R. Moore,State Assembly,Bronx,85,DEM,,972,
Marcos A. Crespo,State Assembly,Bronx,85,DEM,,2635,
Victor M. Pichardo,State Assembly,Bronx,86,DEM,,2795,
Hector R. Ramirez,State Assembly,Bronx,86,DEM,,1383,
Pamela Stewart-Martinez,State Assembly,Bronx,87,DEM,,947,
Luis R. Sepulveda,State Assembly,Bronx,87,DEM,,2530,
Suzanne F. McDonough,State Assembly,Putnam,94,REP,,1310,
Suzanne F. McDonough,State Assembly,Westchester,94,REP,,456,
Suzanne F. McDonough,State Assembly,,94,REP,,1766,
Kevin M. Byrne,State Assembly,Putnam,94,REP,,1624,
Kevin M. Byrne,State Assembly,Westchester,94,REP,,1039,
Kevin M. Byrne,State Assembly,,94,REP,,2663,1
Thomas M. Gulla,State Assembly,Rockland,97,DEM,,3279,
Ellen C. Jaffee,State Assembly,Rockland,97,DEM,,6200,
Ellen C. Jaffee,State Assembly,Rockland,97,GRE,,11,
Thomas M. Gulla,State Assembly,Rockland,97,GRE,,1,
Ellen C. Jaffee,State Assembly,Rockland,97,WOR,,25,
Thomas M. Gulla,State Assembly,Rockland,97,WOR,,41,
Aron B. Wieder,State Assembly,Orange,98,DEM,,876,
Aron B. Wieder,State Assembly,Rockland,98,DEM,,1449,
Aron B. Wieder,State Assembly,,98,DEM,,2325,1
Krystal Z. Serrano,State Assembly,Orange,98,DEM,,1280,
Krystal Z. Serrano,State Assembly,Rockland,98,DEM,,352,
Krystal Z. Serrano,State Assembly,,98,DEM,,1632,
John N. Allegro,State Assembly,Orange,98,REP,,1955,
John N. Allegro,State Assembly,Rockland,98,REP,,72,
John N. Allegro,State Assembly,,98,REP,,2027,
Karl Brabenec,State Assembly,Orange,98,REP,,2583,
Karl Brabenec,State Assembly,Rockland,98,REP,,183,
Karl Brabenec,State Assembly,,98,REP,,2766,1
Karl Brabenec,State Assembly,Orange,98,CON,,122,
Karl Brabenec,State Assembly,Rockland,98,CON,,28,
Karl Brabenec,State Assembly,,98,CON,,150,
Aron B. Wieder,State Assembly,Orange,98,CON,,246,
Aron B. Wieder,State Assembly,Rockland,98,CON,,44,
Aron B. Wieder,State Assembly,,98,CON,,290,1
John Allegro,State Assembly,Orange,98,CON,,38,
John Allegro,State Assembly,Rockland,98,CON,,0,
John Allegro,State Assembly,,98,CON,,38,
Void,State Assembly,Orange,98,CON,,1,
Void,State Assembly,Rockland,98,CON,,0,
Void,State Assembly,,98,CON,,1,
Krystal Serrano,State Assembly,Orange,98,CON,,1,
Krystal Serrano,State Assembly,Rockland,98,CON,,0,
Krystal Serrano,State Assembly,,98,CON,,1,
Krystal Z. Serrano,State Assembly,Orange,98,GRE,,2,
Krystal Z. Serrano,State Assembly,Rockland,98,GRE,,13,
Krystal Z. Serrano,State Assembly,,98,GRE,,15,
Aron B. Wieder,State Assembly,Orange,98,GRE,,34,
Aron B. Wieder,State Assembly,Rockland,98,GRE,,1,
Aron B. Wieder,State Assembly,,98,GRE,,35,1
John Allegro,State Assembly,Orange,98,GRE,,6,
John Allegro,State Assembly,Rockland,98,GRE,,0,
John Allegro,State Assembly,,98,GRE,,6,
Void,State Assembly,Orange,98,GRE,,2,
Void,State Assembly,Rockland,98,GRE,,0,
Void,State Assembly,,98,GRE,,2,
Primilla A. Malick,State Assembly,Orange,98,GRE,,1,
Primilla A. Malick,State Assembly,Rockland,98,GRE,,0,
Primilla A. Malick,State Assembly,,98,GRE,,1,
Aron B. Wieder,State Assembly,Orange,98,IND,,352,
Aron B. Wieder,State Assembly,Rockland,98,IND,,26,
Aron B. Wieder,State Assembly,,98,IND,,378,1
Karl Brabenec,State Assembly,Orange,98,IND,,85,
Karl Brabenec,State Assembly,Rockland,98,IND,,7,
Karl Brabenec,State Assembly,,98,IND,,92,
Krystal Z. Serrano,State Assembly,Orange,98,WEP,,0,
Krystal Z. Serrano,State Assembly,Rockland,98,WEP,,0,
Krystal Z. Serrano,State Assembly,,98,WEP,,0,
Aron B. Weider,State Assembly,Orange,98,WEP,,4,
Aron B. Weider,State Assembly,Rockland,98,WEP,,0,
Aron B. Weider,State Assembly,,98,WEP,,4,1
Karl Brabenec,State Assembly,Orange,98,REF,,4,
Karl Brabenec,State Assembly,Rockland,98,REF,,0,
Karl Brabenec,State Assembly,,98,REF,,4,
Aron B. Wieder,State Assembly,Orange,98,REF,,0,
Aron B. Wieder,State Assembly,Rockland,98,REF,,9,
Aron B. Wieder,State Assembly,,98,REF,,9,1
Brian D. Miller,State Assembly,Delaware,101,REP,,118,
Brian D. Miller,State Assembly,Herkimer,101,REP,,876,
Brian D. Miller,State Assembly,Oneida,101,REP,,544,
Brian D. Miller,State Assembly,Orange,101,REP,,145,
Brian D. Miller,State Assembly,Otsego,101,REP,,57,
Brian D. Miller,State Assembly,Sullivan,101,REP,,22,
Brian D. Miller,State Assembly,Ulster,101,REP,,79,
Brian D. Miller,State Assembly,,101,REP,,1841,1
Maria E. Kelso,State Assembly,Delaware,101,REP,,246,
Maria E. Kelso,State Assembly,Herkimer,101,REP,,448,
Maria E. Kelso,State Assembly,Oneida,101,REP,,150,
Maria E. Kelso,State Assembly,Orange,101,REP,,243,
Maria E. Kelso,State Assembly,Otsego,101,REP,,97,
Maria E. Kelso,State Assembly,Sullivan,101,REP,,32,
Maria E. Kelso,State Assembly,Ulster,101,REP,,291,
Maria E. Kelso,State Assembly,,101,REP,,1507,
Maria E. Kelso,State Assembly,Delaware,101,REF,,0,
Maria E. Kelso,State Assembly,Herkimer,101,REF,,0,
Maria E. Kelso,State Assembly,Oneida,101,REF,,0,
Maria E. Kelso,State Assembly,Orange,101,REF,,0,
Maria E. Kelso,State Assembly,Otsego,101,REF,,0,
Maria E. Kelso,State Assembly,Sullivan,101,REF,,0,
Maria E. Kelso,State Assembly,Ulster,101,REF,,1,
Maria E. Kelso,State Assembly,,101,REF,,1,1
Opportunity To Ballot,State Assembly,Delaware,101,REF,,0,
Opportunity To Ballot,State Assembly,Herkimer,101,REF,,0,
Opportunity To Ballot,State Assembly,Oneida,101,REF,,0,
Opportunity To Ballot,State Assembly,Orange,101,REF,,0,
Opportunity To Ballot,State Assembly,Otsego,101,REF,,0,
Opportunity To Ballot,State Assembly,Sullivan,101,REF,,0,
Opportunity To Ballot,State Assembly,Ulster,101,REF,,0,
Opportunity To Ballot,State Assembly,,101,REF,,0,
James M. Fischer,State Assembly,Saratoga,112,REP,,2286,
James M. Fischer,State Assembly,Schenectady,112,REP,,542,
James M. Fischer,State Assembly,,112,REP,,2828,
Mary Beth Walsh,State Assembly,Saratoga,112,REP,,2658,
Mary Beth Walsh,State Assembly,Schenectady,112,REP,,818,
Mary Beth Walsh,State Assembly,,112,REP,,3476,
Christopher H. Boyark,State Assembly,Saratoga,113,REP,,1202,
Christopher H. Boyark,State Assembly,Washington,113,REP,,392,
Christopher H. Boyark,State Assembly,,113,REP,,1594,1
Gerard Moser,State Assembly,Saratoga,113,REP,,781,
Gerard Moser,State Assembly,Washington,113,REP,,200,
Gerard Moser,State Assembly,,113,REP,,981,
John Byrne,State Assembly,Jefferson,116,REP,,1075,
John Byrne,State Assembly,St. Lawrence,116,REP,,773,
John Byrne,State Assembly,,116,REP,,1848,1
Russell J. Finley,State Assembly,Jefferson,116,REP,,312,
Russell J. Finley,State Assembly,St. Lawrence,116,REP,,420,
Russell J. Finley,State Assembly,,116,REP,,732,
William J. Sheridan,State Assembly,Jefferson,116,REP,,750,
William J. Sheridan,State Assembly,St. Lawrence,116,REP,,1048,
William J. Sheridan,State Assembly,,116,REP,,1798,
Marc W. Butler,State Assembly,Fulton,118,REP,,2906,
Marc W. Butler,State Assembly,Hamilton,118,REP,,581,
Marc W. Butler,State Assembly,Herkimer,118,REP,,1417,
Marc W. Butler,State Assembly,Oneida,118,REP,,325,
Marc W. Butler,State Assembly,St. Lawrence,118,REP,,366,
Marc W. Butler,State Assembly,,118,REP,,5595,1
Patrick Vincent,State Assembly,Fulton,118,REP,,1121,
Patrick Vincent,State Assembly,Hamilton,118,REP,,142,
Patrick Vincent,State Assembly,Herkimer,118,REP,,1224,
Patrick Vincent,State Assembly,Oneida,118,REP,,285,
Patrick Vincent,State Assembly,St. Lawrence,118,REP,,105,
Patrick Vincent,State Assembly,,118,REP,,2877,
Michael J. Becallo,State Assembly,Onondaga,127,REP,,864,
Vincent Giordano,State Assembly,Onondaga,127,REP,,913,
Bill Nojay,State Assembly,Livingston,133,REP,,1500,
Bill Nojay,State Assembly,Monroe,133,REP,,656,
Bill Nojay,State Assembly,Steuben,133,REP,,692,
Bill Nojay,State Assembly,,133,REP,,2848,1
Richard B. Milne,State Assembly,Livingston,133,REP,,889,
Richard B. Milne,State Assembly,Monroe,133,REP,,690,
Richard B. Milne,State Assembly,Steuben,133,REP,,241,
Richard B. Milne,State Assembly,,133,REP,,1820,
Mark C. Johns,State Assembly,Monroe,135,WOR,,13,
Dorothy A. Styk,State Assembly,Monroe,135,WOR,,13,
Harry B. Bronson,State Assembly,Monroe,138,DEM,,2905,
Rachel A. Barnhart,State Assembly,Monroe,138,DEM,,2368,
Peter Vazquez,State Assembly,Monroe,138,REP,,930,
Bob Zinck,State Assembly,Monroe,138,REP,,933,
Anthony Baney,State Assembly,Erie,140,GRE,,29,
Anthony Baney,State Assembly,Niagara,140,GRE,,0,
Anthony Baney,State Assembly,,140,GRE,,29,1
Danielle M. Rotolo,State Assembly,Erie,140,GRE,,2,
Danielle M. Rotolo,State Assembly,Niagara,140,GRE,,7,
Danielle M. Rotolo,State Assembly,,140,GRE,,9,
Kristy L. Mazurek,State Assembly,Erie,143,DEM,,1496,
Monica P. Wallace,State Assembly,Erie,143,DEM,,4430,
Douglas B. Lippert,State Assembly,Erie,146,CON,,66,
Douglas B. Lippert,State Assembly,Niagara,146,CON,,4,
Douglas B. Lippert,State Assembly,,146,CON,,70,
Raymond W. Walter,State Assembly,Erie,146,CON,,137,
Raymond W. Walter,State Assembly,Niagara,146,CON,,25,
Raymond W. Walter,State Assembly,,146,CON,,162,1
Dorothy Sobczyk,State Assembly,Erie,146,GRE,,5,
Dorothy Sobczyk,State Assembly,Niagara,146,GRE,,3,
Dorothy Sobczyk,State Assembly,,146,GRE,,8,
Steven G. Meyer,State Assembly,Erie,146,GRE,,9,
Steven G. Meyer,State Assembly,Niagara,146,GRE,,0,
Steven G. Meyer,State Assembly,,146,GRE,,9,1
William P. Kracker,State Assembly,Erie,146,WOR,,4,
William P. Kracker,State Assembly,Niagara,146,WOR,,4,
William P. Kracker,State Assembly,,146,WOR,,8,
Steven G. Meyer,State Assembly,Erie,146,WOR,,31,
Steven G. Meyer,State Assembly,Niagara,146,WOR,,3,
Steven G. Meyer,State Assembly,,146,WOR,,34,1
Raymond W. Walter,State Assembly,Erie,146,IND,,131,
Raymond W. Walter,State Assembly,Niagara,146,IND,,16,
Raymond W. Walter,State Assembly,,146,IND,,147,1
Rachel L. Obenauer,State Assembly,Erie,146,IND,,82,
Rachel L. Obenauer,State Assembly,Niagara,146,IND,,8,
Rachel L. Obenauer,State Assembly,,146,IND,,90,
Raymond W. Walter,State Assembly,Erie,146,REF,,7,
Raymond W. Walter,State Assembly,Niagara,146,REF,,4,
Raymond W. Walter,State Assembly,,146,REF,,11,1
Steven Meyer,State Assembly,Erie,146,REF,,1,
Steven Meyer,State Assembly,Niagara,146,REF,,0,
Steven Meyer,State Assembly,,146,REF,,1,
Jason Perdue,State Assembly,Chautauqua,150,REF,,13,
Andrew Goodell,State Assembly,Chautauqua,150,REF,,4,
