county,precinct,office,district,candidate,party,absentee,affidavit,election_day,votes
Jefferson,Watertown 1,President,,Donald J. Trump,CON,2,0,42,44
Jefferson,Watertown 2,President,,Donald J. Trump,CON,8,0,44,52
Jefferson,Wilna 1,President,,Donald J. Trump,CON,2,1,30,33
Jefferson,Wilna 2,President,,Donald J. Trump,CON,0,0,1,1
Jefferson,Wilna 3,President,,Donald J. Trump,CON,0,1,1,2
Jefferson,Wilna 4,President,,Donald J. Trump,CON,0,0,7,7
Jefferson,Wilna 5,President,,Donald J. Trump,CON,5,0,21,26
Jefferson,Worth 1,President,,Donald J. Trump,CON,0,0,6,6
Jefferson,Special Federal & Special Presidential,President,,Donald J. Trump,CON,0,0,0,0
Jefferson,12~1,President,,Joseph R. Biden,WOR,5,1,15,21
Jefferson,12~2,President,,Joseph R. Biden,WOR,2,0,16,18
Jefferson,12~3,President,,Joseph R. Biden,WOR,2,0,3,5
Jefferson,13~1,President,,Joseph R. Biden,WOR,6,0,18,24
Jefferson,13~2,President,,Joseph R. Biden,WOR,5,0,7,12
Jefferson,13~3,President,,Joseph R. Biden,WOR,0,0,23,23
Jefferson,14~1,President,,Joseph R. Biden,WOR,2,0,16,18
Jefferson,14~2,President,,Joseph R. Biden,WOR,5,1,6,12
Jefferson,15~1,President,,Joseph R. Biden,WOR,4,0,13,17
Jefferson,15~2,President,,Joseph R. Biden,WOR,8,0,11,19
Jefferson,15~3,President,,Joseph R. Biden,WOR,1,0,8,9
Jefferson,Adams 1,President,,Joseph R. Biden,WOR,0,0,2,2
Jefferson,Adams 2,President,,Joseph R. Biden,WOR,1,0,8,9
Jefferson,Adams 3 ,President,,Joseph R. Biden,WOR,9,0,10,19
Jefferson,Alexandria 1,President,,Joseph R. Biden,WOR,2,0,6,8
Jefferson,Alexandria 2,President,,Joseph R. Biden,WOR,1,0,4,5
Jefferson,Alexandria 3,President,,Joseph R. Biden,WOR,1,0,11,12
Jefferson,Antwerp 1,President,,Joseph R. Biden,WOR,0,0,4,4
Jefferson,Antwerp 2,President,,Joseph R. Biden,WOR,2,0,4,6
Jefferson,Brownville 1,President,,Joseph R. Biden,WOR,1,0,8,9
Jefferson,Brownville 2,President,,Joseph R. Biden,WOR,0,0,5,5
Jefferson,Brownville 3,President,,Joseph R. Biden,WOR,1,0,6,7
Jefferson,Brownville 4,President,,Joseph R. Biden,WOR,0,0,5,5
Jefferson,Brownville 5,President,,Joseph R. Biden,WOR,2,0,5,7
Jefferson,Cape Vincent 1,President,,Joseph R. Biden,WOR,2,0,6,8
Jefferson,Cape Vincent 2,President,,Joseph R. Biden,WOR,3,0,5,8
Jefferson,Champion 1,President,,Joseph R. Biden,WOR,4,0,3,7
Jefferson,Champion 2,President,,Joseph R. Biden,WOR,0,0,10,10
Jefferson,Clayton 1,President,,Joseph R. Biden,WOR,0,0,4,4
Jefferson,Clayton 2,President,,Joseph R. Biden,WOR,3,0,9,12
Jefferson,Clayton 3,President,,Joseph R. Biden,WOR,5,0,15,20
Jefferson,Ellisburg 1,President,,Joseph R. Biden,WOR,1,0,3,4
Jefferson,Ellisburg 2,President,,Joseph R. Biden,WOR,4,0,7,11
Jefferson,Ellisburg 3,President,,Joseph R. Biden,WOR,0,0,2,2
Jefferson,Ellisburg 4,President,,Joseph R. Biden,WOR,3,0,7,10
Jefferson,Henderson 1,President,,Joseph R. Biden,WOR,4,0,6,10
Jefferson,Hounsfield 1,President,,Joseph R. Biden,WOR,5,0,13,18
Jefferson,Hounsfield 2,President,,Joseph R. Biden,WOR,7,0,9,16
Jefferson,LeRay 1,President,,Joseph R. Biden,WOR,1,0,1,2
Jefferson,LeRay 2,President,,Joseph R. Biden,WOR,2,0,2,4
Jefferson,LeRay 3,President,,Joseph R. Biden,WOR,1,0,2,3
Jefferson,LeRay 4,President,,Joseph R. Biden,WOR,3,0,10,13
Jefferson,LeRay 5,President,,Joseph R. Biden,WOR,0,0,2,2
Jefferson,LeRay 6,President,,Joseph R. Biden,WOR,1,0,2,3
Jefferson,LeRay 7,President,,Joseph R. Biden,WOR,1,0,2,3
Jefferson,LeRay 8,President,,Joseph R. Biden,WOR,2,0,4,6
Jefferson,Lorraine 1,President,,Joseph R. Biden,WOR,3,0,5,8
Jefferson,Lyme 1,President,,Joseph R. Biden,WOR,2,0,3,5
Jefferson,Lyme 2,President,,Joseph R. Biden,WOR,1,0,0,1
