county,precinct,office,district,party,candidate,election_day_votes,absentee
Herikimer,WARREN 1,Governor,,,Void,0,
Herikimer,WEBB 1,Governor,,,Void,0,
Herikimer,WEBB 2,Governor,,,Void,0,
Herikimer,WINFIELD 1,Governor,,,Void,0,
Herikimer,Early Voting,Governor,,,Void,0,
Herikimer,Mail-in Ballots,Governor,,,Void,0,
Herikimer,C LITTLE FALLS W1,Governor,,,Blank,4,
Herikimer,C LITTLE FALLS W2,Governor,,,Blank,5,
Herikimer,C LITTLE FALLS W3,Governor,,,Blank,2,
Herikimer,C LITTLE FALLS W4,Governor,,,Blank,2,
Herikimer,COLUMBIA 1 ,Governor,,,Blank,2,
Herikimer,COLUMBIA 2,Governor,,,Blank,1,
Herikimer,DANUBE 1,Governor,,,Blank,0,
Herikimer,FAIRFIELD 1,Governor,,,Blank,4,
Herikimer,FRANKFORT 1,Governor,,,Blank,5,
Herikimer,FRANKFORT2,Governor,,,Blank,6,
Herikimer,FRANKFORT 3,Governor,,,Blank,0,
Herikimer,FRANKFORT 4,Governor,,,Blank,0,
Herikimer,GERMAN FLATTS 1,Governor,,,Blank,1,
Herikimer,GERMAN FLATTS 2,Governor,,,Blank,3,
Herikimer,GERMAN FLATTS 3,Governor,,,Blank,3,
Herikimer,GERMAN FLATTS 4,Governor,,,Blank,1,
Herikimer,GERMAN FLATTS 5,Governor,,,Blank,13,
Herikimer,GERMAN FLATTS 6,Governor,,,Blank,3,
Herikimer,GERMAN FLATTS 7,Governor,,,Blank,3,
Herikimer,GERMAN FLATTS 8,Governor,,,Blank,2,
Herikimer,HERKIMER 1,Governor,,,Blank,1,
Herikimer,HERKIMER 2,Governor,,,Blank,0,
Herikimer,HERKIMER 3,Governor,,,Blank,8,
Herikimer,HERKIMER 5,Governor,,,Blank,7,
Herikimer,HERKIMER 4,Governor,,,Blank,6,
Herikimer,LITCHFIELD 1,Governor,,,Blank,7,
Herikimer,MANHEIM 1,Governor,,,Blank,4,
Herikimer,MANHEIM 2,Governor,,,Blank,3,
Herikimer,NEWPORT 1,Governor,,,Blank,4,
Herikimer,NEWPORT 2,Governor,,,Blank,0,
Herikimer,NORWAY 1,Governor,,,Blank,1,
Herikimer,OHIO 1,Governor,,,Blank,6,
Herikimer,RUSSIA 1,Governor,,,Blank,5,
Herikimer,RUSSIA 2,Governor,,,Blank,0,
Herikimer,SALISBURY 1,Governor,,,Blank,0,
Herikimer,SALISBURY 2,Governor,,,Blank,0,
Herikimer,SCHUYLER 1,Governor,,,Blank,1,
Herikimer,SCHUYLER 2,Governor,,,Blank,5,
Herikimer,STARK 1,Governor,,,Blank,6,
Herikimer,T LITTLE FALLS 1,Governor,,,Blank,7,
Herikimer,WARREN 1,Governor,,,Blank,2,
Herikimer,WEBB 1,Governor,,,Blank,4,
Herikimer,WEBB 2,Governor,,,Blank,1,
Herikimer,WINFIELD 1,Governor,,,Blank,5,
Herikimer,Early Voting,Governor,,,Blank,12,
Herikimer,Mail-in Ballots,Governor,,,Blank,23,
Herikimer,C LITTLE FALLS W1,Comptroller,,DEM,Thomas P. DiNapoli,120,11
Herikimer,C LITTLE FALLS W2,Comptroller,,DEM,Thomas P. DiNapoli,142,5
Herikimer,C LITTLE FALLS W3,Comptroller,,DEM,Thomas P. DiNapoli,102,4
