party,office,county,assembly_district,election_district,district,candidate,votes
Democratic,Alternate Delegate to the Judicial Convention,New York,76,16,76,WRITE-IN,0.0
Democratic,Alternate Delegate to the Judicial Convention,New York,76,17,76,BETSY TIFFANY,25
Democratic,Alternate Delegate to the Judicial Convention,New York,76,17,76,BRIDGET CUSICK,12
Democratic,Alternate Delegate to the Judicial Convention,New York,76,17,76,DANIEL EGERS,16
Democratic,Alternate Delegate to the Judicial Convention,New York,76,17,76,ELLEN RAVENEL,15
Democratic,Alternate Delegate to the Judicial Convention,New York,76,17,76,EMILY DAVIS,31
Democratic,Alternate Delegate to the Judicial Convention,New York,76,17,76,ESTHER BERNHARD YANG,20
Democratic,Alternate Delegate to the Judicial Convention,New York,76,17,76,FRANK WILKINSON,8
Democratic,Alternate Delegate to the Judicial Convention,New York,76,17,76,IRENE C. WARSHAUER,23
Democratic,Alternate Delegate to the Judicial Convention,New York,76,17,76,JANELLE ALVEREZ,23
Democratic,Alternate Delegate to the Judicial Convention,New York,76,17,76,JOAN M. ROBERTS,30
Democratic,Alternate Delegate to the Judicial Convention,New York,76,17,76,JONATHAN PIEL,26
Democratic,Alternate Delegate to the Judicial Convention,New York,76,17,76,JOSEPH HONG,21
Democratic,Alternate Delegate to the Judicial Convention,New York,76,17,76,MARCIE LEIGH HARTMAN,22
Democratic,Alternate Delegate to the Judicial Convention,New York,76,17,76,NANCY D. NEWCOMB,22
Democratic,Alternate Delegate to the Judicial Convention,New York,76,17,76,NANCY LANG,16
Democratic,Alternate Delegate to the Judicial Convention,New York,76,17,76,PATRICK BOBILIN,21
Democratic,Alternate Delegate to the Judicial Convention,New York,76,17,76,PIERRE RATZKI,4
Democratic,Alternate Delegate to the Judicial Convention,New York,76,17,76,REBECCA LAMORTE,24
Democratic,Alternate Delegate to the Judicial Convention,New York,76,17,76,ROY H. CARLIN,13
Democratic,Alternate Delegate to the Judicial Convention,New York,76,17,76,SHEILA FLAXMAN,23
Democratic,Alternate Delegate to the Judicial Convention,New York,76,17,76,WRITE-IN,0.0
Democratic,Alternate Delegate to the Judicial Convention,New York,76,18,76,BETSY TIFFANY,15
Democratic,Alternate Delegate to the Judicial Convention,New York,76,18,76,BRIDGET CUSICK,24
Democratic,Alternate Delegate to the Judicial Convention,New York,76,18,76,DANIEL EGERS,15
Democratic,Alternate Delegate to the Judicial Convention,New York,76,18,76,ELLEN RAVENEL,21
Democratic,Alternate Delegate to the Judicial Convention,New York,76,18,76,EMILY DAVIS,29
Democratic,Alternate Delegate to the Judicial Convention,New York,76,18,76,ESTHER BERNHARD YANG,28
Democratic,Alternate Delegate to the Judicial Convention,New York,76,18,76,FRANK WILKINSON,19
Democratic,Alternate Delegate to the Judicial Convention,New York,76,18,76,IRENE C. WARSHAUER,11
Democratic,Alternate Delegate to the Judicial Convention,New York,76,18,76,JANELLE ALVEREZ,27
Democratic,Alternate Delegate to the Judicial Convention,New York,76,18,76,JOAN M. ROBERTS,28
Democratic,Alternate Delegate to the Judicial Convention,New York,76,18,76,JONATHAN PIEL,15
Democratic,Alternate Delegate to the Judicial Convention,New York,76,18,76,JOSEPH HONG,19
Democratic,Alternate Delegate to the Judicial Convention,New York,76,18,76,MARCIE LEIGH HARTMAN,24
Democratic,Alternate Delegate to the Judicial Convention,New York,76,18,76,NANCY D. NEWCOMB,20
Democratic,Alternate Delegate to the Judicial Convention,New York,76,18,76,NANCY LANG,26
Democratic,Alternate Delegate to the Judicial Convention,New York,76,18,76,PATRICK BOBILIN,26
Democratic,Alternate Delegate to the Judicial Convention,New York,76,18,76,PIERRE RATZKI,16
Democratic,Alternate Delegate to the Judicial Convention,New York,76,18,76,REBECCA LAMORTE,25
Democratic,Alternate Delegate to the Judicial Convention,New York,76,18,76,ROY H. CARLIN,9
Democratic,Alternate Delegate to the Judicial Convention,New York,76,18,76,SHEILA FLAXMAN,25
Democratic,Alternate Delegate to the Judicial Convention,New York,76,18,76,WRITE-IN,0.0
Democratic,Alternate Delegate to the Judicial Convention,New York,76,19,76,BETSY TIFFANY,10
Democratic,Alternate Delegate to the Judicial Convention,New York,76,19,76,BRIDGET CUSICK,18
Democratic,Alternate Delegate to the Judicial Convention,New York,76,19,76,DANIEL EGERS,19
Democratic,Alternate Delegate to the Judicial Convention,New York,76,19,76,ELLEN RAVENEL,10
Democratic,Alternate Delegate to the Judicial Convention,New York,76,19,76,EMILY DAVIS,25
Democratic,Alternate Delegate to the Judicial Convention,New York,76,19,76,ESTHER BERNHARD YANG,23
Democratic,Alternate Delegate to the Judicial Convention,New York,76,19,76,FRANK WILKINSON,14
Democratic,Alternate Delegate to the Judicial Convention,New York,76,19,76,IRENE C. WARSHAUER,15
Democratic,Alternate Delegate to the Judicial Convention,New York,76,19,76,JANELLE ALVEREZ,26
Democratic,Alternate Delegate to the Judicial Convention,New York,76,19,76,JOAN M. ROBERTS,21
Democratic,Alternate Delegate to the Judicial Convention,New York,76,19,76,JONATHAN PIEL,16
Democratic,Alternate Delegate to the Judicial Convention,New York,76,19,76,JOSEPH HONG,11
Democratic,Alternate Delegate to the Judicial Convention,New York,76,19,76,MARCIE LEIGH HARTMAN,19
Democratic,Alternate Delegate to the Judicial Convention,New York,76,19,76,NANCY D. NEWCOMB,11
Democratic,Alternate Delegate to the Judicial Convention,New York,76,19,76,NANCY LANG,26
Democratic,Alternate Delegate to the Judicial Convention,New York,76,19,76,PATRICK BOBILIN,28
Democratic,Alternate Delegate to the Judicial Convention,New York,76,19,76,PIERRE RATZKI,13
Democratic,Alternate Delegate to the Judicial Convention,New York,76,19,76,REBECCA LAMORTE,19
Democratic,Alternate Delegate to the Judicial Convention,New York,76,19,76,ROY H. CARLIN,10
Democratic,Alternate Delegate to the Judicial Convention,New York,76,19,76,SHEILA FLAXMAN,20
Democratic,Alternate Delegate to the Judicial Convention,New York,76,19,76,WRITE-IN,1.0
Democratic,Alternate Delegate to the Judicial Convention,New York,76,2,76,BETSY TIFFANY,21
Democratic,Alternate Delegate to the Judicial Convention,New York,76,2,76,BRIDGET CUSICK,20
Democratic,Alternate Delegate to the Judicial Convention,New York,76,2,76,DANIEL EGERS,10
Democratic,Alternate Delegate to the Judicial Convention,New York,76,2,76,ELLEN RAVENEL,17
Democratic,Alternate Delegate to the Judicial Convention,New York,76,2,76,EMILY DAVIS,34
Democratic,Alternate Delegate to the Judicial Convention,New York,76,2,76,ESTHER BERNHARD YANG,35
Democratic,Alternate Delegate to the Judicial Convention,New York,76,2,76,FRANK WILKINSON,13
Democratic,Alternate Delegate to the Judicial Convention,New York,76,2,76,IRENE C. WARSHAUER,20
Democratic,Alternate Delegate to the Judicial Convention,New York,76,2,76,JANELLE ALVEREZ,27
Democratic,Alternate Delegate to the Judicial Convention,New York,76,2,76,JOAN M. ROBERTS,26
Democratic,Alternate Delegate to the Judicial Convention,New York,76,2,76,JONATHAN PIEL,24
Democratic,Alternate Delegate to the Judicial Convention,New York,76,2,76,JOSEPH HONG,13
Democratic,Alternate Delegate to the Judicial Convention,New York,76,2,76,MARCIE LEIGH HARTMAN,23
Democratic,Alternate Delegate to the Judicial Convention,New York,76,2,76,NANCY D. NEWCOMB,20
Democratic,Alternate Delegate to the Judicial Convention,New York,76,2,76,NANCY LANG,28
Democratic,Alternate Delegate to the Judicial Convention,New York,76,2,76,PATRICK BOBILIN,19
Democratic,Alternate Delegate to the Judicial Convention,New York,76,2,76,PIERRE RATZKI,15
Democratic,Alternate Delegate to the Judicial Convention,New York,76,2,76,REBECCA LAMORTE,21
Democratic,Alternate Delegate to the Judicial Convention,New York,76,2,76,ROY H. CARLIN,7
Democratic,Alternate Delegate to the Judicial Convention,New York,76,2,76,SHEILA FLAXMAN,40
Democratic,Alternate Delegate to the Judicial Convention,New York,76,2,76,WRITE-IN,0.0
Democratic,Alternate Delegate to the Judicial Convention,New York,76,20,76,BETSY TIFFANY,20
Democratic,Alternate Delegate to the Judicial Convention,New York,76,20,76,BRIDGET CUSICK,11
Democratic,Alternate Delegate to the Judicial Convention,New York,76,20,76,DANIEL EGERS,19
Democratic,Alternate Delegate to the Judicial Convention,New York,76,20,76,ELLEN RAVENEL,22
Democratic,Alternate Delegate to the Judicial Convention,New York,76,20,76,EMILY DAVIS,29
Democratic,Alternate Delegate to the Judicial Convention,New York,76,20,76,ESTHER BERNHARD YANG,18
Democratic,Alternate Delegate to the Judicial Convention,New York,76,20,76,FRANK WILKINSON,12
Democratic,Alternate Delegate to the Judicial Convention,New York,76,20,76,IRENE C. WARSHAUER,24
Democratic,Alternate Delegate to the Judicial Convention,New York,76,20,76,JANELLE ALVEREZ,22
Democratic,Alternate Delegate to the Judicial Convention,New York,76,20,76,JOAN M. ROBERTS,18
Democratic,Alternate Delegate to the Judicial Convention,New York,76,20,76,JONATHAN PIEL,24
Democratic,Alternate Delegate to the Judicial Convention,New York,76,20,76,JOSEPH HONG,12
Democratic,Alternate Delegate to the Judicial Convention,New York,76,20,76,MARCIE LEIGH HARTMAN,15
Democratic,Alternate Delegate to the Judicial Convention,New York,76,20,76,NANCY D. NEWCOMB,13
Democratic,Alternate Delegate to the Judicial Convention,New York,76,20,76,NANCY LANG,24
Democratic,Alternate Delegate to the Judicial Convention,New York,76,20,76,PATRICK BOBILIN,24
Democratic,Alternate Delegate to the Judicial Convention,New York,76,20,76,PIERRE RATZKI,10
Democratic,Alternate Delegate to the Judicial Convention,New York,76,20,76,REBECCA LAMORTE,18
Democratic,Alternate Delegate to the Judicial Convention,New York,76,20,76,ROY H. CARLIN,9
Democratic,Alternate Delegate to the Judicial Convention,New York,76,20,76,SHEILA FLAXMAN,20
Democratic,Alternate Delegate to the Judicial Convention,New York,76,20,76,WRITE-IN,1.0
Democratic,Alternate Delegate to the Judicial Convention,New York,76,21,76,BETSY TIFFANY,33
Democratic,Alternate Delegate to the Judicial Convention,New York,76,21,76,BRIDGET CUSICK,29
Democratic,Alternate Delegate to the Judicial Convention,New York,76,21,76,DANIEL EGERS,24
Democratic,Alternate Delegate to the Judicial Convention,New York,76,21,76,ELLEN RAVENEL,34
Democratic,Alternate Delegate to the Judicial Convention,New York,76,21,76,EMILY DAVIS,41
Democratic,Alternate Delegate to the Judicial Convention,New York,76,21,76,ESTHER BERNHARD YANG,42
Democratic,Alternate Delegate to the Judicial Convention,New York,76,21,76,FRANK WILKINSON,24
Democratic,Alternate Delegate to the Judicial Convention,New York,76,21,76,IRENE C. WARSHAUER,32
Democratic,Alternate Delegate to the Judicial Convention,New York,76,21,76,JANELLE ALVEREZ,36
Democratic,Alternate Delegate to the Judicial Convention,New York,76,21,76,JOAN M. ROBERTS,49
Democratic,Alternate Delegate to the Judicial Convention,New York,76,21,76,JONATHAN PIEL,28
Democratic,Alternate Delegate to the Judicial Convention,New York,76,21,76,JOSEPH HONG,24
Democratic,Alternate Delegate to the Judicial Convention,New York,76,21,76,MARCIE LEIGH HARTMAN,42
Democratic,Alternate Delegate to the Judicial Convention,New York,76,21,76,NANCY D. NEWCOMB,30
Democratic,Alternate Delegate to the Judicial Convention,New York,76,21,76,NANCY LANG,48
Democratic,Alternate Delegate to the Judicial Convention,New York,76,21,76,PATRICK BOBILIN,26
Democratic,Alternate Delegate to the Judicial Convention,New York,76,21,76,PIERRE RATZKI,27
Democratic,Alternate Delegate to the Judicial Convention,New York,76,21,76,REBECCA LAMORTE,41
Democratic,Alternate Delegate to the Judicial Convention,New York,76,21,76,ROY H. CARLIN,22
Democratic,Alternate Delegate to the Judicial Convention,New York,76,21,76,SHEILA FLAXMAN,53
Democratic,Alternate Delegate to the Judicial Convention,New York,76,21,76,WRITE-IN,4.0
Democratic,Alternate Delegate to the Judicial Convention,New York,76,22,76,BETSY TIFFANY,28
Democratic,Alternate Delegate to the Judicial Convention,New York,76,22,76,BRIDGET CUSICK,20
Democratic,Alternate Delegate to the Judicial Convention,New York,76,22,76,DANIEL EGERS,21
Democratic,Alternate Delegate to the Judicial Convention,New York,76,22,76,ELLEN RAVENEL,20
Democratic,Alternate Delegate to the Judicial Convention,New York,76,22,76,EMILY DAVIS,30
Democratic,Alternate Delegate to the Judicial Convention,New York,76,22,76,ESTHER BERNHARD YANG,24
Democratic,Alternate Delegate to the Judicial Convention,New York,76,22,76,FRANK WILKINSON,13
Democratic,Alternate Delegate to the Judicial Convention,New York,76,22,76,IRENE C. WARSHAUER,29
Democratic,Alternate Delegate to the Judicial Convention,New York,76,22,76,JANELLE ALVEREZ,25
Democratic,Alternate Delegate to the Judicial Convention,New York,76,22,76,JOAN M. ROBERTS,29
Democratic,Alternate Delegate to the Judicial Convention,New York,76,22,76,JONATHAN PIEL,29
Democratic,Alternate Delegate to the Judicial Convention,New York,76,22,76,JOSEPH HONG,20
Democratic,Alternate Delegate to the Judicial Convention,New York,76,22,76,MARCIE LEIGH HARTMAN,24
Democratic,Alternate Delegate to the Judicial Convention,New York,76,22,76,NANCY D. NEWCOMB,25
Democratic,Alternate Delegate to the Judicial Convention,New York,76,22,76,NANCY LANG,25
Democratic,Alternate Delegate to the Judicial Convention,New York,76,22,76,PATRICK BOBILIN,21
Democratic,Alternate Delegate to the Judicial Convention,New York,76,22,76,PIERRE RATZKI,14
Democratic,Alternate Delegate to the Judicial Convention,New York,76,22,76,REBECCA LAMORTE,24
Democratic,Alternate Delegate to the Judicial Convention,New York,76,22,76,ROY H. CARLIN,20
Democratic,Alternate Delegate to the Judicial Convention,New York,76,22,76,SHEILA FLAXMAN,29
Democratic,Alternate Delegate to the Judicial Convention,New York,76,22,76,WRITE-IN,0.0
Democratic,Alternate Delegate to the Judicial Convention,New York,76,23,76,BETSY TIFFANY,14
Democratic,Alternate Delegate to the Judicial Convention,New York,76,23,76,BRIDGET CUSICK,14
Democratic,Alternate Delegate to the Judicial Convention,New York,76,23,76,DANIEL EGERS,9
Democratic,Alternate Delegate to the Judicial Convention,New York,76,23,76,ELLEN RAVENEL,9
Democratic,Alternate Delegate to the Judicial Convention,New York,76,23,76,EMILY DAVIS,28
Democratic,Alternate Delegate to the Judicial Convention,New York,76,23,76,ESTHER BERNHARD YANG,22
Democratic,Alternate Delegate to the Judicial Convention,New York,76,23,76,FRANK WILKINSON,9
Democratic,Alternate Delegate to the Judicial Convention,New York,76,23,76,IRENE C. WARSHAUER,18
Democratic,Alternate Delegate to the Judicial Convention,New York,76,23,76,JANELLE ALVEREZ,23
Democratic,Alternate Delegate to the Judicial Convention,New York,76,23,76,JOAN M. ROBERTS,22
Democratic,Alternate Delegate to the Judicial Convention,New York,76,23,76,JONATHAN PIEL,14
Democratic,Alternate Delegate to the Judicial Convention,New York,76,23,76,JOSEPH HONG,9
Democratic,Alternate Delegate to the Judicial Convention,New York,76,23,76,MARCIE LEIGH HARTMAN,22
Democratic,Alternate Delegate to the Judicial Convention,New York,76,23,76,NANCY D. NEWCOMB,16
Democratic,Alternate Delegate to the Judicial Convention,New York,76,23,76,NANCY LANG,20
Democratic,Alternate Delegate to the Judicial Convention,New York,76,23,76,PATRICK BOBILIN,15
Democratic,Alternate Delegate to the Judicial Convention,New York,76,23,76,PIERRE RATZKI,8
Democratic,Alternate Delegate to the Judicial Convention,New York,76,23,76,REBECCA LAMORTE,24
Democratic,Alternate Delegate to the Judicial Convention,New York,76,23,76,ROY H. CARLIN,4
Democratic,Alternate Delegate to the Judicial Convention,New York,76,23,76,SHEILA FLAXMAN,19
Democratic,Alternate Delegate to the Judicial Convention,New York,76,23,76,WRITE-IN,0.0
Democratic,Alternate Delegate to the Judicial Convention,New York,76,24,76,BETSY TIFFANY,14
Democratic,Alternate Delegate to the Judicial Convention,New York,76,24,76,BRIDGET CUSICK,23
Democratic,Alternate Delegate to the Judicial Convention,New York,76,24,76,DANIEL EGERS,13
Democratic,Alternate Delegate to the Judicial Convention,New York,76,24,76,ELLEN RAVENEL,16
Democratic,Alternate Delegate to the Judicial Convention,New York,76,24,76,EMILY DAVIS,32
Democratic,Alternate Delegate to the Judicial Convention,New York,76,24,76,ESTHER BERNHARD YANG,32
Democratic,Alternate Delegate to the Judicial Convention,New York,76,24,76,FRANK WILKINSON,19
Democratic,Alternate Delegate to the Judicial Convention,New York,76,24,76,IRENE C. WARSHAUER,20
Democratic,Alternate Delegate to the Judicial Convention,New York,76,24,76,JANELLE ALVEREZ,23
Democratic,Alternate Delegate to the Judicial Convention,New York,76,24,76,JOAN M. ROBERTS,34
Democratic,Alternate Delegate to the Judicial Convention,New York,76,24,76,JONATHAN PIEL,22
Democratic,Alternate Delegate to the Judicial Convention,New York,76,24,76,JOSEPH HONG,14
Democratic,Alternate Delegate to the Judicial Convention,New York,76,24,76,MARCIE LEIGH HARTMAN,23
Democratic,Alternate Delegate to the Judicial Convention,New York,76,24,76,NANCY D. NEWCOMB,18
Democratic,Alternate Delegate to the Judicial Convention,New York,76,24,76,NANCY LANG,26
Democratic,Alternate Delegate to the Judicial Convention,New York,76,24,76,PATRICK BOBILIN,27
Democratic,Alternate Delegate to the Judicial Convention,New York,76,24,76,PIERRE RATZKI,18
Democratic,Alternate Delegate to the Judicial Convention,New York,76,24,76,REBECCA LAMORTE,26
Democratic,Alternate Delegate to the Judicial Convention,New York,76,24,76,ROY H. CARLIN,13
Democratic,Alternate Delegate to the Judicial Convention,New York,76,24,76,SHEILA FLAXMAN,32
Democratic,Alternate Delegate to the Judicial Convention,New York,76,24,76,WRITE-IN,0.0
Democratic,Alternate Delegate to the Judicial Convention,New York,76,25,76,BETSY TIFFANY,27
Democratic,Alternate Delegate to the Judicial Convention,New York,76,25,76,BRIDGET CUSICK,26
Democratic,Alternate Delegate to the Judicial Convention,New York,76,25,76,DANIEL EGERS,32
Democratic,Alternate Delegate to the Judicial Convention,New York,76,25,76,ELLEN RAVENEL,27
Democratic,Alternate Delegate to the Judicial Convention,New York,76,25,76,EMILY DAVIS,53
Democratic,Alternate Delegate to the Judicial Convention,New York,76,25,76,ESTHER BERNHARD YANG,38
Democratic,Alternate Delegate to the Judicial Convention,New York,76,25,76,FRANK WILKINSON,23
Democratic,Alternate Delegate to the Judicial Convention,New York,76,25,76,IRENE C. WARSHAUER,35
Democratic,Alternate Delegate to the Judicial Convention,New York,76,25,76,JANELLE ALVEREZ,44
Democratic,Alternate Delegate to the Judicial Convention,New York,76,25,76,JOAN M. ROBERTS,40
Democratic,Alternate Delegate to the Judicial Convention,New York,76,25,76,JONATHAN PIEL,35
Democratic,Alternate Delegate to the Judicial Convention,New York,76,25,76,JOSEPH HONG,22
Democratic,Alternate Delegate to the Judicial Convention,New York,76,25,76,MARCIE LEIGH HARTMAN,36
Democratic,Alternate Delegate to the Judicial Convention,New York,76,25,76,NANCY D. NEWCOMB,34
Democratic,Alternate Delegate to the Judicial Convention,New York,76,25,76,NANCY LANG,38
Democratic,Alternate Delegate to the Judicial Convention,New York,76,25,76,PATRICK BOBILIN,33
Democratic,Alternate Delegate to the Judicial Convention,New York,76,25,76,PIERRE RATZKI,22
Democratic,Alternate Delegate to the Judicial Convention,New York,76,25,76,REBECCA LAMORTE,43
Democratic,Alternate Delegate to the Judicial Convention,New York,76,25,76,ROY H. CARLIN,17
Democratic,Alternate Delegate to the Judicial Convention,New York,76,25,76,SHEILA FLAXMAN,45
Democratic,Alternate Delegate to the Judicial Convention,New York,76,25,76,WRITE-IN,0.0
Democratic,Alternate Delegate to the Judicial Convention,New York,76,26,76,BETSY TIFFANY,19
Democratic,Alternate Delegate to the Judicial Convention,New York,76,26,76,BRIDGET CUSICK,31
Democratic,Alternate Delegate to the Judicial Convention,New York,76,26,76,DANIEL EGERS,20
Democratic,Alternate Delegate to the Judicial Convention,New York,76,26,76,ELLEN RAVENEL,21
Democratic,Alternate Delegate to the Judicial Convention,New York,76,26,76,EMILY DAVIS,38
Democratic,Alternate Delegate to the Judicial Convention,New York,76,26,76,ESTHER BERNHARD YANG,40
Democratic,Alternate Delegate to the Judicial Convention,New York,76,26,76,FRANK WILKINSON,21
Democratic,Alternate Delegate to the Judicial Convention,New York,76,26,76,IRENE C. WARSHAUER,26
Democratic,Alternate Delegate to the Judicial Convention,New York,76,26,76,JANELLE ALVEREZ,34
Democratic,Alternate Delegate to the Judicial Convention,New York,76,26,76,JOAN M. ROBERTS,40
Democratic,Alternate Delegate to the Judicial Convention,New York,76,26,76,JONATHAN PIEL,24
Democratic,Alternate Delegate to the Judicial Convention,New York,76,26,76,JOSEPH HONG,11
Democratic,Alternate Delegate to the Judicial Convention,New York,76,26,76,MARCIE LEIGH HARTMAN,36
Democratic,Alternate Delegate to the Judicial Convention,New York,76,26,76,NANCY D. NEWCOMB,17
Democratic,Alternate Delegate to the Judicial Convention,New York,76,26,76,NANCY LANG,33
Democratic,Alternate Delegate to the Judicial Convention,New York,76,26,76,PATRICK BOBILIN,34
Democratic,Alternate Delegate to the Judicial Convention,New York,76,26,76,PIERRE RATZKI,23
Democratic,Alternate Delegate to the Judicial Convention,New York,76,26,76,REBECCA LAMORTE,35
Democratic,Alternate Delegate to the Judicial Convention,New York,76,26,76,ROY H. CARLIN,9
Democratic,Alternate Delegate to the Judicial Convention,New York,76,26,76,SHEILA FLAXMAN,44
Democratic,Alternate Delegate to the Judicial Convention,New York,76,26,76,WRITE-IN,1.0
Democratic,Alternate Delegate to the Judicial Convention,New York,76,27,76,BETSY TIFFANY,29
Democratic,Alternate Delegate to the Judicial Convention,New York,76,27,76,BRIDGET CUSICK,33
Democratic,Alternate Delegate to the Judicial Convention,New York,76,27,76,DANIEL EGERS,23
Democratic,Alternate Delegate to the Judicial Convention,New York,76,27,76,ELLEN RAVENEL,17
Democratic,Alternate Delegate to the Judicial Convention,New York,76,27,76,EMILY DAVIS,44
Democratic,Alternate Delegate to the Judicial Convention,New York,76,27,76,ESTHER BERNHARD YANG,45
Democratic,Alternate Delegate to the Judicial Convention,New York,76,27,76,FRANK WILKINSON,29
Democratic,Alternate Delegate to the Judicial Convention,New York,76,27,76,IRENE C. WARSHAUER,19
Democratic,Alternate Delegate to the Judicial Convention,New York,76,27,76,JANELLE ALVEREZ,47
Democratic,Alternate Delegate to the Judicial Convention,New York,76,27,76,JOAN M. ROBERTS,42
Democratic,Alternate Delegate to the Judicial Convention,New York,76,27,76,JONATHAN PIEL,23
Democratic,Alternate Delegate to the Judicial Convention,New York,76,27,76,JOSEPH HONG,26
Democratic,Alternate Delegate to the Judicial Convention,New York,76,27,76,MARCIE LEIGH HARTMAN,33
Democratic,Alternate Delegate to the Judicial Convention,New York,76,27,76,NANCY D. NEWCOMB,25
Democratic,Alternate Delegate to the Judicial Convention,New York,76,27,76,NANCY LANG,52
Democratic,Alternate Delegate to the Judicial Convention,New York,76,27,76,PATRICK BOBILIN,42
Democratic,Alternate Delegate to the Judicial Convention,New York,76,27,76,PIERRE RATZKI,27
Democratic,Alternate Delegate to the Judicial Convention,New York,76,27,76,REBECCA LAMORTE,38
Democratic,Alternate Delegate to the Judicial Convention,New York,76,27,76,ROY H. CARLIN,13
Democratic,Alternate Delegate to the Judicial Convention,New York,76,27,76,SHEILA FLAXMAN,41
Democratic,Alternate Delegate to the Judicial Convention,New York,76,27,76,WRITE-IN,0.0
Democratic,Alternate Delegate to the Judicial Convention,New York,76,28,76,BETSY TIFFANY,33
Democratic,Alternate Delegate to the Judicial Convention,New York,76,28,76,BRIDGET CUSICK,32
Democratic,Alternate Delegate to the Judicial Convention,New York,76,28,76,DANIEL EGERS,24
Democratic,Alternate Delegate to the Judicial Convention,New York,76,28,76,ELLEN RAVENEL,35
Democratic,Alternate Delegate to the Judicial Convention,New York,76,28,76,EMILY DAVIS,48
Democratic,Alternate Delegate to the Judicial Convention,New York,76,28,76,ESTHER BERNHARD YANG,50
Democratic,Alternate Delegate to the Judicial Convention,New York,76,28,76,FRANK WILKINSON,23
Democratic,Alternate Delegate to the Judicial Convention,New York,76,28,76,IRENE C. WARSHAUER,39
Democratic,Alternate Delegate to the Judicial Convention,New York,76,28,76,JANELLE ALVEREZ,35
Democratic,Alternate Delegate to the Judicial Convention,New York,76,28,76,JOAN M. ROBERTS,39
Democratic,Alternate Delegate to the Judicial Convention,New York,76,28,76,JONATHAN PIEL,31
Democratic,Alternate Delegate to the Judicial Convention,New York,76,28,76,JOSEPH HONG,24
Democratic,Alternate Delegate to the Judicial Convention,New York,76,28,76,MARCIE LEIGH HARTMAN,39
Democratic,Alternate Delegate to the Judicial Convention,New York,76,28,76,NANCY D. NEWCOMB,32
Democratic,Alternate Delegate to the Judicial Convention,New York,76,28,76,NANCY LANG,35
Democratic,Alternate Delegate to the Judicial Convention,New York,76,28,76,PATRICK BOBILIN,34
Democratic,Alternate Delegate to the Judicial Convention,New York,76,28,76,PIERRE RATZKI,24
Democratic,Alternate Delegate to the Judicial Convention,New York,76,28,76,REBECCA LAMORTE,39
Democratic,Alternate Delegate to the Judicial Convention,New York,76,28,76,ROY H. CARLIN,18
Democratic,Alternate Delegate to the Judicial Convention,New York,76,28,76,SHEILA FLAXMAN,53
Democratic,Alternate Delegate to the Judicial Convention,New York,76,28,76,WRITE-IN,1.0
Democratic,Alternate Delegate to the Judicial Convention,New York,76,29,76,BETSY TIFFANY,20
Democratic,Alternate Delegate to the Judicial Convention,New York,76,29,76,BRIDGET CUSICK,10
Democratic,Alternate Delegate to the Judicial Convention,New York,76,29,76,DANIEL EGERS,12
Democratic,Alternate Delegate to the Judicial Convention,New York,76,29,76,ELLEN RAVENEL,15
Democratic,Alternate Delegate to the Judicial Convention,New York,76,29,76,EMILY DAVIS,23
Democratic,Alternate Delegate to the Judicial Convention,New York,76,29,76,ESTHER BERNHARD YANG,19
Democratic,Alternate Delegate to the Judicial Convention,New York,76,29,76,FRANK WILKINSON,13
Democratic,Alternate Delegate to the Judicial Convention,New York,76,29,76,IRENE C. WARSHAUER,18
Democratic,Alternate Delegate to the Judicial Convention,New York,76,29,76,JANELLE ALVEREZ,17
Democratic,Alternate Delegate to the Judicial Convention,New York,76,29,76,JOAN M. ROBERTS,20
Democratic,Alternate Delegate to the Judicial Convention,New York,76,29,76,JONATHAN PIEL,22
Democratic,Alternate Delegate to the Judicial Convention,New York,76,29,76,JOSEPH HONG,18
Democratic,Alternate Delegate to the Judicial Convention,New York,76,29,76,MARCIE LEIGH HARTMAN,12
Democratic,Alternate Delegate to the Judicial Convention,New York,76,29,76,NANCY D. NEWCOMB,13
Democratic,Alternate Delegate to the Judicial Convention,New York,76,29,76,NANCY LANG,15
Democratic,Alternate Delegate to the Judicial Convention,New York,76,29,76,PATRICK BOBILIN,19
Democratic,Alternate Delegate to the Judicial Convention,New York,76,29,76,PIERRE RATZKI,10
Democratic,Alternate Delegate to the Judicial Convention,New York,76,29,76,REBECCA LAMORTE,17
Democratic,Alternate Delegate to the Judicial Convention,New York,76,29,76,ROY H. CARLIN,9
Democratic,Alternate Delegate to the Judicial Convention,New York,76,29,76,SHEILA FLAXMAN,19
Democratic,Alternate Delegate to the Judicial Convention,New York,76,29,76,WRITE-IN,0.0
Democratic,Alternate Delegate to the Judicial Convention,New York,76,3,76,BETSY TIFFANY,21
Democratic,Alternate Delegate to the Judicial Convention,New York,76,3,76,BRIDGET CUSICK,17
Democratic,Alternate Delegate to the Judicial Convention,New York,76,3,76,DANIEL EGERS,15
Democratic,Alternate Delegate to the Judicial Convention,New York,76,3,76,ELLEN RAVENEL,22
Democratic,Alternate Delegate to the Judicial Convention,New York,76,3,76,EMILY DAVIS,23
Democratic,Alternate Delegate to the Judicial Convention,New York,76,3,76,ESTHER BERNHARD YANG,19
Democratic,Alternate Delegate to the Judicial Convention,New York,76,3,76,FRANK WILKINSON,9
Democratic,Alternate Delegate to the Judicial Convention,New York,76,3,76,IRENE C. WARSHAUER,22
Democratic,Alternate Delegate to the Judicial Convention,New York,76,3,76,JANELLE ALVEREZ,24
