county,precinct,office,district,Candidate,party,Votes,,,,,,,,,,
westchester,Town of Mount Pleasant  90017,Governor,,CYNTHIA NIXON,DEM,22,,,,,,,,,,
westchester,Town of Mount Pleasant  90018,Governor,,CYNTHIA NIXON,DEM,36,,,,,,,,,,
westchester,Town of Mount Pleasant  90019,Governor,,CYNTHIA NIXON,DEM,22,,,,,,,,,,
westchester,Town of Mount Pleasant  90020,Governor,,CYNTHIA NIXON,DEM,30,,,,,,,,,,
westchester,Town of Mount Pleasant  90022,Governor,,CYNTHIA NIXON,DEM,36,,,,,,,,,,
westchester,Town of Mount Pleasant  90023,Governor,,CYNTHIA NIXON,DEM,2,,,,,,,,,,
westchester,Town of Mount Pleasant  90024,Governor,,CYNTHIA NIXON,DEM,22,,,,,,,,,,
westchester,Town of Mount Pleasant  90025,Governor,,CYNTHIA NIXON,DEM,66,,,,,,,,,,
westchester,Town of Mount Pleasant  90026,Governor,,CYNTHIA NIXON,DEM,16,,,,,,,,,,
westchester,Town of Mount Pleasant  90027,Governor,,CYNTHIA NIXON,DEM,12,,,,,,,,,,
westchester,Town of Mount Pleasant  90028,Governor,,CYNTHIA NIXON,DEM,10,,,,,,,,,,
westchester,Town of Mount Pleasant  90029,Governor,,CYNTHIA NIXON,DEM,14,,,,,,,,,,
westchester,Town of Mount Pleasant  90030,Governor,,CYNTHIA NIXON,DEM,28,,,,,,,,,,
westchester,Town of Mount Pleasant  90031,Governor,,CYNTHIA NIXON,DEM,37,,,,,,,,,,
westchester,Town of Mount Pleasant  90032,Governor,,CYNTHIA NIXON,DEM,37,,,,,,,,,,
westchester,Town of Mount Pleasant  90033,Governor,,CYNTHIA NIXON,DEM,83,,,,,,,,,,
westchester,Town of Mount Pleasant  90034,Governor,,CYNTHIA NIXON,DEM,10,,,,,,,,,,
westchester,Town of Mount Pleasant  90035,Governor,,CYNTHIA NIXON,DEM,10,,,,,,,,,,
westchester,Town of Mount Pleasant  90036,Governor,,CYNTHIA NIXON,DEM,9,,,,,,,,,,
westchester,Town of Mount Pleasant  90037,Governor,,CYNTHIA NIXON,DEM,9,,,,,,,,,,
