candidate,office,district,party,county,precinct,votes,,
Miner Volpe,Governor & Lt. Governor,,,Genesee,Bergen 1,7,,
Sharpe Hollister ,Governor & Lt. Governor,,,Genesee,Bergen 1,41,,
DiNapoli,Comptroller,,,Genesee,Bergen 1,225,,
Trichter,Comptroller,,,Genesee,Bergen 1,349,,
Trichter,Comptroller,,,Genesee,Bergen 1,70,,
Dunlea,Comptroller,,,Genesee,Bergen 1,6,,
DiNapoli,Comptroller,,,Genesee,Bergen 1,12,,
DiNapoli,Comptroller,,,Genesee,Bergen 1,11,,
DiNapoli,Comptroller,,,Genesee,Bergen 1,2,,
DiNapoli,Comptroller,,,Genesee,Bergen 1,2,,
Gallaudet ,Comptroller,,,Genesee,Bergen 1,7,,
James,Attorney General,,,Genesee,Bergen 1,178,,
Wofford,Attorney General,,,Genesee,Bergen 1,391,,
Wofford,Attorney General,,,Genesee,Bergen 1,75,,
Sussman,Attorney General,,,Genesee,Bergen 1,9,,
James,Attorney General,,,Genesee,Bergen 1,7,,
James,Attorney General,,,Genesee,Bergen 1,7,,
Sliwa,Attorney General,,,Genesee,Bergen 1,1,,
Garvey,Attorney General,,,Genesee,Bergen 1,9,,
Gillibrand,U.S. Senate,,,Genesee,Bergen 1,222,,
CC Farley,U.S. Senate,,,Genesee,Bergen 1,368,,
CC Farley,U.S. Senate,,,Genesee,Bergen 1,74,,
Gillibrand,U.S. Senate,,,Genesee,Bergen 1,9,,
Gillibrand,U.S. Senate,,,Genesee,Bergen 1,10,,
Gillibrand,U.S. Senate,,,Genesee,Bergen 1,4,,
CC Farley,U.S. Senate,,,Genesee,Bergen 1,2,,
McMurray,U.S. House,27,,Genesee,Bergen 1,234,,
Collins,U.S. House,27,,Genesee,Bergen 1,352,,
Collins,U.S. House,27,,Genesee,Bergen 1,64,,
McMurray,U.S. House,27,,Genesee,Bergen 1,16,,
Collins,U.S. House,27,,Genesee,Bergen 1,3,,
McMurray,U.S. House,27,,Genesee,Bergen 1,6,,
Piegza,U.S. House,27,,Genesee,Bergen 1,12,,
Seamans,State Senate,61,,Genesee,Bergen 1,166,,
Ranzenhofer ,State Senate,61,,Genesee,Bergen 1,429,,
Ranzenhofer ,State Senate,61,,Genesee,Bergen 1,74,,
Seamans,State Senate,61,,Genesee,Bergen 1,7,,
Ranzenhofer ,State Senate,61,,Genesee,Bergen 1,6,,
Seamans,State Senate,61,,Genesee,Bergen 1,5,,
Ranzenhofer ,State Senate,61,,Genesee,Bergen 1,2,,
Hawley,State Assembly,139,,Genesee,Bergen 1,480,,
Hawley,State Assembly,139,,Genesee,Bergen 1,85,,
Hawley,State Assembly,139,,Genesee,Bergen 1,25,,
Hawley,State Assembly,139,,Genesee,Bergen 1,5,,
Glogowski,State Assembly,139,,Genesee,Bergen 1,30,,
Cuomo Hochul,Governor & Lt. Governor,,,Genesee,Bergen 2,109,,
Molinar O Killian,Governor & Lt. Governor,,,Genesee,Bergen 2,345,,
Molinar O Killian,Governor & Lt. Governor,,,Genesee,Bergen 2,54,,
Hawkins Lee,Governor & Lt. Governor,,,Genesee,Bergen 2,6,,
Cuomo Hochul,Governor & Lt. Governor,,,Genesee,Bergen 2,4,,
Cuomo Hochul,Governor & Lt. Governor,,,Genesee,Bergen 2,5,,
Cuomo Hochul,Governor & Lt. Governor,,,Genesee,Bergen 2,1,,
Molinar O Killian,Governor & Lt. Governor,,,Genesee,Bergen 2,3,,
Miner Volpe,Governor & Lt. Governor,,,Genesee,Bergen 2,7,,
Sharpe Hollister ,Governor & Lt. Governor,,,Genesee,Bergen 2,43,,
DiNapoli,Comptroller,,,Genesee,Bergen 2,174,,
Trichter,Comptroller,,,Genesee,Bergen 2,302,,
Trichter,Comptroller,,,Genesee,Bergen 2,54,,
Dunlea,Comptroller,,,Genesee,Bergen 2,3,,
DiNapoli,Comptroller,,,Genesee,Bergen 2,13,,
DiNapoli,Comptroller,,,Genesee,Bergen 2,12,,
DiNapoli,Comptroller,,,Genesee,Bergen 2,4,,
DiNapoli,Comptroller,,,Genesee,Bergen 2,2,,
Gallaudet ,Comptroller,,,Genesee,Bergen 2,12,,
James,Attorney General,,,Genesee,Bergen 2,138,,
Wofford,Attorney General,,,Genesee,Bergen 2,336,,
Wofford,Attorney General,,,Genesee,Bergen 2,55,,
Sussman,Attorney General,,,Genesee,Bergen 2,3,,
James,Attorney General,,,Genesee,Bergen 2,11,,
James,Attorney General,,,Genesee,Bergen 2,9,,
Sliwa,Attorney General,,,Genesee,Bergen 2,4,,
Garvey,Attorney General,,,Genesee,Bergen 2,12,,
Gillibrand,U.S. Senate,,,Genesee,Bergen 2,168,,
CC Farley,U.S. Senate,,,Genesee,Bergen 2,315,,
CC Farley,U.S. Senate,,,Genesee,Bergen 2,63,,
Gillibrand,U.S. Senate,,,Genesee,Bergen 2,14,,
Gillibrand,U.S. Senate,,,Genesee,Bergen 2,12,,
Gillibrand,U.S. Senate,,,Genesee,Bergen 2,3,,
CC Farley,U.S. Senate,,,Genesee,Bergen 2,4,,
McMurray,U.S. House,27,,Genesee,Bergen 2,183,,
Collins,U.S. House,27,,Genesee,Bergen 2,294,,
Collins,U.S. House,27,,Genesee,Bergen 2,54,,
McMurray,U.S. House,27,,Genesee,Bergen 2,14,,
Collins,U.S. House,27,,Genesee,Bergen 2,6,,
McMurray,U.S. House,27,,Genesee,Bergen 2,8,,
Piegza,U.S. House,27,,Genesee,Bergen 2,15,,
Seamans,State Senate,61,,Genesee,Bergen 2,132,,
Ranzenhofer ,State Senate,61,,Genesee,Bergen 2,363,,
Ranzenhofer ,State Senate,61,,Genesee,Bergen 2,61,,
Seamans,State Senate,61,,Genesee,Bergen 2,9,,
Ranzenhofer ,State Senate,61,,Genesee,Bergen 2,5,,
Seamans,State Senate,61,,Genesee,Bergen 2,5,,
Ranzenhofer ,State Senate,61,,Genesee,Bergen 2,2,,
Hawley,State Assembly,139,,Genesee,Bergen 2,403,,
Hawley,State Assembly,139,,Genesee,Bergen 2,64,,
Hawley,State Assembly,139,,Genesee,Bergen 2,17,,
Hawley,State Assembly,139,,Genesee,Bergen 2,2,,
Glogowski,State Assembly,139,,Genesee,Bergen 2,29,,
Cuomo Hochul,Governor & Lt. Governor,,,Genesee,Bethany 1,146,,
Molinar O Killian,Governor & Lt. Governor,,,Genesee,Bethany 1,445,,
Molinar O Killian,Governor & Lt. Governor,,,Genesee,Bethany 1,88,,
Hawkins Lee,Governor & Lt. Governor,,,Genesee,Bethany 1,9,,
Cuomo Hochul,Governor & Lt. Governor,,,Genesee,Bethany 1,4,,
Cuomo Hochul,Governor & Lt. Governor,,,Genesee,Bethany 1,9,,
Cuomo Hochul,Governor & Lt. Governor,,,Genesee,Bethany 1,1,,
Molinar O Killian,Governor & Lt. Governor,,,Genesee,Bethany 1,8,,
Miner Volpe,Governor & Lt. Governor,,,Genesee,Bethany 1,7,,
Sharpe Hollister ,Governor & Lt. Governor,,,Genesee,Bethany 1,46,,
DiNapoli,Comptroller,,,Genesee,Bethany 1,221,,
Trichter,Comptroller,,,Genesee,Bethany 1,366,,
Trichter,Comptroller,,,Genesee,Bethany 1,82,,
Dunlea,Comptroller,,,Genesee,Bethany 1,5,,
DiNapoli,Comptroller,,,Genesee,Bethany 1,13,,
DiNapoli,Comptroller,,,Genesee,Bethany 1,23,,
DiNapoli,Comptroller,,,Genesee,Bethany 1,2,,
DiNapoli,Comptroller,,,Genesee,Bethany 1,3,,
Gallaudet ,Comptroller,,,Genesee,Bethany 1,10,,
James,Attorney General,,,Genesee,Bethany 1,60,,
Wofford,Attorney General,,,Genesee,Bethany 1,431,,
Wofford,Attorney General,,,Genesee,Bethany 1,94,,
Sussman,Attorney General,,,Genesee,Bethany 1,5,,
James,Attorney General,,,Genesee,Bethany 1,4,,
James,Attorney General,,,Genesee,Bethany 1,11,,
Sliwa,Attorney General,,,Genesee,Bethany 1,9,,
Garvey,Attorney General,,,Genesee,Bethany 1,12,,
Gillibrand,U.S. Senate,,,Genesee,Bethany 1,221,,
CC Farley,U.S. Senate,,,Genesee,Bethany 1,397,,
CC Farley,U.S. Senate,,,Genesee,Bethany 1,87,,
Gillibrand,U.S. Senate,,,Genesee,Bethany 1,14,,
Gillibrand,U.S. Senate,,,Genesee,Bethany 1,14,,
Gillibrand,U.S. Senate,,,Genesee,Bethany 1,4,,
CC Farley,U.S. Senate,,,Genesee,Bethany 1,4,,
McMurray,U.S. House,27,,Genesee,Bethany 1,245,,
Collins,U.S. House,27,,Genesee,Bethany 1,366,,
Collins,U.S. House,27,,Genesee,Bethany 1,76,,
McMurray,U.S. House,27,,Genesee,Bethany 1,14,,
Collins,U.S. House,27,,Genesee,Bethany 1,9,,
McMurray,U.S. House,27,,Genesee,Bethany 1,6,,
Piegza,U.S. House,27,,Genesee,Bethany 1,26,,
Seamans,State Senate,61,,Genesee,Bethany 1,161,,
Ranzenhofer ,State Senate,61,,Genesee,Bethany 1,451,,
Ranzenhofer ,State Senate,61,,Genesee,Bethany 1,94,,
Seamans,State Senate,61,,Genesee,Bethany 1,8,,
Ranzenhofer ,State Senate,61,,Genesee,Bethany 1,22,,
Seamans,State Senate,61,,Genesee,Bethany 1,6,,
Ranzenhofer ,State Senate,61,,Genesee,Bethany 1,1,,
Hawley,State Assembly,139,,Genesee,Bethany 1,501,,
Hawley,State Assembly,139,,Genesee,Bethany 1,94,,
Hawley,State Assembly,139,,Genesee,Bethany 1,37,,
Hawley,State Assembly,139,,Genesee,Bethany 1,2,,
Glogowski,State Assembly,139,,Genesee,Bethany 1,43,,
Cuomo Hochul,Governor & Lt. Governor,,,Genesee,Byron 1,53,,
Molinar O Killian,Governor & Lt. Governor,,,Genesee,Byron 1,252,,
Molinar O Killian,Governor & Lt. Governor,,,Genesee,Byron 1,41,,
Hawkins Lee,Governor & Lt. Governor,,,Genesee,Byron 1,9,,
Cuomo Hochul,Governor & Lt. Governor,,,Genesee,Byron 1,4,,
Cuomo Hochul,Governor & Lt. Governor,,,Genesee,Byron 1,3,,
Cuomo Hochul,Governor & Lt. Governor,,,Genesee,Byron 1,2,,
Molinar O Killian,Governor & Lt. Governor,,,Genesee,Byron 1,6,,
Miner Volpe,Governor & Lt. Governor,,,Genesee,Byron 1,6,,
Sharpe Hollister ,Governor & Lt. Governor,,,Genesee,Byron 1,31,,
DiNapoli,Comptroller,,,Genesee,Byron 1,102,,
Trichter,Comptroller,,,Genesee,Byron 1,215,,
Trichter,Comptroller,,,Genesee,Byron 1,38,,
Dunlea,Comptroller,,,Genesee,Byron 1,1,,
DiNapoli,Comptroller,,,Genesee,Byron 1,10,,
DiNapoli,Comptroller,,,Genesee,Byron 1,11,,
DiNapoli,Comptroller,,,Genesee,Byron 1,3,,
DiNapoli,Comptroller,,,Genesee,Byron 1,3,,
Gallaudet ,Comptroller,,,Genesee,Byron 1,6,,
James,Attorney General,,,Genesee,Byron 1,74,,
Wofford,Attorney General,,,Genesee,Byron 1,240,,
Wofford,Attorney General,,,Genesee,Byron 1,40,,
Sussman,Attorney General,,,Genesee,Byron 1,7,,
James,Attorney General,,,Genesee,Byron 1,5,,
James,Attorney General,,,Genesee,Byron 1,6,,
Sliwa,Attorney General,,,Genesee,Byron 1,6,,
Garvey,Attorney General,,,Genesee,Byron 1,8,,
Gillibrand,U.S. Senate,,,Genesee,Byron 1,106,,
CC Farley,U.S. Senate,,,Genesee,Byron 1,225,,
CC Farley,U.S. Senate,,,Genesee,Byron 1,35,,
Gillibrand,U.S. Senate,,,Genesee,Byron 1,9,,
Gillibrand,U.S. Senate,,,Genesee,Byron 1,12,,
Gillibrand,U.S. Senate,,,Genesee,Byron 1,2,,
CC Farley,U.S. Senate,,,Genesee,Byron 1,3,,
McMurray,U.S. House,27,,Genesee,Byron 1,113,,
Collins,U.S. House,27,,Genesee,Byron 1,206,,
Collins,U.S. House,27,,Genesee,Byron 1,38,,
McMurray,U.S. House,27,,Genesee,Byron 1,15,,
Collins,U.S. House,27,,Genesee,Byron 1,0,,
McMurray,U.S. House,27,,Genesee,Byron 1,5,,
Piegza,U.S. House,27,,Genesee,Byron 1,10,,
Seamans,State Senate,61,,Genesee,Byron 1,82,,
Ranzenhofer ,State Senate,61,,Genesee,Byron 1,250,,
Ranzenhofer ,State Senate,61,,Genesee,Byron 1,41,,
Seamans,State Senate,61,,Genesee,Byron 1,8,,
Ranzenhofer ,State Senate,61,,Genesee,Byron 1,6,,
Seamans,State Senate,61,,Genesee,Byron 1,1,,
Ranzenhofer ,State Senate,61,,Genesee,Byron 1,2,,
Hawley,State Assembly,139,,Genesee,Byron 1,283,,
Hawley,State Assembly,139,,Genesee,Byron 1,45,,
Hawley,State Assembly,139,,Genesee,Byron 1,18,,
Hawley,State Assembly,139,,Genesee,Byron 1,3,,
Glogowski,State Assembly,139,,Genesee,Byron 1,19,,
Cuomo Hochul,Governor & Lt. Governor,,,Genesee,Byron 2,92,,
Molinar O Killian,Governor & Lt. Governor,,,Genesee,Byron 2,308,,
Molinar O Killian,Governor & Lt. Governor,,,Genesee,Byron 2,40,,
Hawkins Lee,Governor & Lt. Governor,,,Genesee,Byron 2,6,,
Cuomo Hochul,Governor & Lt. Governor,,,Genesee,Byron 2,4,,
Cuomo Hochul,Governor & Lt. Governor,,,Genesee,Byron 2,4,,
Cuomo Hochul,Governor & Lt. Governor,,,Genesee,Byron 2,0,,
Molinar O Killian,Governor & Lt. Governor,,,Genesee,Byron 2,4,,
Miner Volpe,Governor & Lt. Governor,,,Genesee,Byron 2,7,,
Sharpe Hollister ,Governor & Lt. Governor,,,Genesee,Byron 2,31,,
DiNapoli,Comptroller,,,Genesee,Byron 2,146,,
Trichter,Comptroller,,,Genesee,Byron 2,263,,
Trichter,Comptroller,,,Genesee,Byron 2,40,,
Dunlea,Comptroller,,,Genesee,Byron 2,6,,
DiNapoli,Comptroller,,,Genesee,Byron 2,8,,
DiNapoli,Comptroller,,,Genesee,Byron 2,7,,
DiNapoli,Comptroller,,,Genesee,Byron 2,1,,
DiNapoli,Comptroller,,,Genesee,Byron 2,2,,
Gallaudet ,Comptroller,,,Genesee,Byron 2,6,,
James,Attorney General,,,Genesee,Byron 2,111,,
Wofford,Attorney General,,,Genesee,Byron 2,290,,
Wofford,Attorney General,,,Genesee,Byron 2,43,,
Sussman,Attorney General,,,Genesee,Byron 2,6,,
James,Attorney General,,,Genesee,Byron 2,4,,
James,Attorney General,,,Genesee,Byron 2,6,,
Sliwa,Attorney General,,,Genesee,Byron 2,3,,
Garvey,Attorney General,,,Genesee,Byron 2,8,,
Gillibrand,U.S. Senate,,,Genesee,Byron 2,146,,
CC Farley,U.S. Senate,,,Genesee,Byron 2,274,,
CC Farley,U.S. Senate,,,Genesee,Byron 2,45,,
Gillibrand,U.S. Senate,,,Genesee,Byron 2,9,,
Gillibrand,U.S. Senate,,,Genesee,Byron 2,7,,
Gillibrand,U.S. Senate,,,Genesee,Byron 2,1,,
CC Farley,U.S. Senate,,,Genesee,Byron 2,4,,
McMurray,U.S. House,27,,Genesee,Byron 2,166,,
Collins,U.S. House,27,,Genesee,Byron 2,248,,
Collins,U.S. House,27,,Genesee,Byron 2,34,,
McMurray,U.S. House,27,,Genesee,Byron 2,13,,
Collins,U.S. House,27,,Genesee,Byron 2,4,,
McMurray,U.S. House,27,,Genesee,Byron 2,3,,
Piegza,U.S. House,27,,Genesee,Byron 2,17,,
Seamans,State Senate,61,,Genesee,Byron 2,102,,
Ranzenhofer ,State Senate,61,,Genesee,Byron 2,310,,
Ranzenhofer ,State Senate,61,,Genesee,Byron 2,51,,
Seamans,State Senate,61,,Genesee,Byron 2,4,,
Ranzenhofer ,State Senate,61,,Genesee,Byron 2,12,,
Seamans,State Senate,61,,Genesee,Byron 2,2,,
Ranzenhofer ,State Senate,61,,Genesee,Byron 2,1,,
Hawley,State Assembly,139,,Genesee,Byron 2,341,,
Hawley,State Assembly,139,,Genesee,Byron 2,52,,
Hawley,State Assembly,139,,Genesee,Byron 2,23,,
Hawley,State Assembly,139,,Genesee,Byron 2,3,,
Glogowski,State Assembly,139,,Genesee,Byron 2,27,,
Cuomo Hochul,Governor & Lt. Governor,,,Genesee,Darien 1,94,,
Molinar O Killian,Governor & Lt. Governor,,,Genesee,Darien 1,407,,
Molinar O Killian,Governor & Lt. Governor,,,Genesee,Darien 1,108,,
Hawkins Lee,Governor & Lt. Governor,,,Genesee,Darien 1,9,,
Cuomo Hochul,Governor & Lt. Governor,,,Genesee,Darien 1,4,,
Cuomo Hochul,Governor & Lt. Governor,,,Genesee,Darien 1,6,,
Cuomo Hochul,Governor & Lt. Governor,,,Genesee,Darien 1,5,,
Molinar O Killian,Governor & Lt. Governor,,,Genesee,Darien 1,5,,
Miner Volpe,Governor & Lt. Governor,,,Genesee,Darien 1,7,,
Sharpe Hollister ,Governor & Lt. Governor,,,Genesee,Darien 1,33,,
DiNapoli,Comptroller,,,Genesee,Darien 1,140,,
Trichter,Comptroller,,,Genesee,Darien 1,372,,
Trichter,Comptroller,,,Genesee,Darien 1,95,,
Dunlea,Comptroller,,,Genesee,Darien 1,6,,
DiNapoli,Comptroller,,,Genesee,Darien 1,20,,
DiNapoli,Comptroller,,,Genesee,Darien 1,16,,
DiNapoli,Comptroller,,,Genesee,Darien 1,4,,
DiNapoli,Comptroller,,,Genesee,Darien 1,4,,
Gallaudet ,Comptroller,,,Genesee,Darien 1,7,,
James,Attorney General,,,Genesee,Darien 1,93,,
Wofford,Attorney General,,,Genesee,Darien 1,410,,
Wofford,Attorney General,,,Genesee,Darien 1,107,,
Sussman,Attorney General,,,Genesee,Darien 1,6,,
James,Attorney General,,,Genesee,Darien 1,13,,
James,Attorney General,,,Genesee,Darien 1,14,,
Sliwa,Attorney General,,,Genesee,Darien 1,9,,
Garvey,Attorney General,,,Genesee,Darien 1,8,,
Gillibrand,U.S. Senate,,,Genesee,Darien 1,143,,
CC Farley,U.S. Senate,,,Genesee,Darien 1,376,,
CC Farley,U.S. Senate,,,Genesee,Darien 1,96,,
Gillibrand,U.S. Senate,,,Genesee,Darien 1,17,,
Gillibrand,U.S. Senate,,,Genesee,Darien 1,16,,
Gillibrand,U.S. Senate,,,Genesee,Darien 1,5,,
CC Farley,U.S. Senate,,,Genesee,Darien 1,5,,
McMurray,U.S. House,27,,Genesee,Darien 1,157,,
Collins,U.S. House,27,,Genesee,Darien 1,359,,
Collins,U.S. House,27,,Genesee,Darien 1,94,,
McMurray,U.S. House,27,,Genesee,Darien 1,19,,
Collins,U.S. House,27,,Genesee,Darien 1,6,,
McMurray,U.S. House,27,,Genesee,Darien 1,12,,
Piegza,U.S. House,27,,Genesee,Darien 1,24,,
Seamans,State Senate,61,,Genesee,Darien 1,105,,
Ranzenhofer ,State Senate,61,,Genesee,Darien 1,425,,
Ranzenhofer ,State Senate,61,,Genesee,Darien 1,115,,
Seamans,State Senate,61,,Genesee,Darien 1,7,,
Ranzenhofer ,State Senate,61,,Genesee,Darien 1,13,,
Seamans,State Senate,61,,Genesee,Darien 1,6,,
Ranzenhofer ,State Senate,61,,Genesee,Darien 1,0,,
Hawley,State Assembly,139,,Genesee,Darien 1,465,,
Hawley,State Assembly,139,,Genesee,Darien 1,110,,
Hawley,State Assembly,139,,Genesee,Darien 1,26,,
Hawley,State Assembly,139,,Genesee,Darien 1,3,,
Glogowski,State Assembly,139,,Genesee,Darien 1,43,,
Cuomo Hochul,Governor & Lt. Governor,,,Genesee,Darien 2,123,,
Molinar O Killian,Governor & Lt. Governor,,,Genesee,Darien 2,328,,
Molinar O Killian,Governor & Lt. Governor,,,Genesee,Darien 2,121,,
Hawkins Lee,Governor & Lt. Governor,,,Genesee,Darien 2,15,,
Cuomo Hochul,Governor & Lt. Governor,,,Genesee,Darien 2,4,,
Cuomo Hochul,Governor & Lt. Governor,,,Genesee,Darien 2,4,,
Cuomo Hochul,Governor & Lt. Governor,,,Genesee,Darien 2,3,,
Molinar O Killian,Governor & Lt. Governor,,,Genesee,Darien 2,2,,
Miner Volpe,Governor & Lt. Governor,,,Genesee,Darien 2,1,,
Sharpe Hollister ,Governor & Lt. Governor,,,Genesee,Darien 2,27,,
DiNapoli,Comptroller,,,Genesee,Darien 2,177,,
Trichter,Comptroller,,,Genesee,Darien 2,286,,
Trichter,Comptroller,,,Genesee,Darien 2,103,,
Dunlea,Comptroller,,,Genesee,Darien 2,7,,
DiNapoli,Comptroller,,,Genesee,Darien 2,10,,
DiNapoli,Comptroller,,,Genesee,Darien 2,9,,
DiNapoli,Comptroller,,,Genesee,Darien 2,3,,
DiNapoli,Comptroller,,,Genesee,Darien 2,1,,
Gallaudet ,Comptroller,,,Genesee,Darien 2,8,,
James,Attorney General,,,Genesee,Darien 2,126,,
Wofford,Attorney General,,,Genesee,Darien 2,336,,
Wofford,Attorney General,,,Genesee,Darien 2,117,,
Sussman,Attorney General,,,Genesee,Darien 2,8,,
James,Attorney General,,,Genesee,Darien 2,7,,
James,Attorney General,,,Genesee,Darien 2,7,,
Sliwa,Attorney General,,,Genesee,Darien 2,2,,
Garvey,Attorney General,,,Genesee,Darien 2,8,,
Gillibrand,U.S. Senate,,,Genesee,Darien 2,180,,
CC Farley,U.S. Senate,,,Genesee,Darien 2,294,,
CC Farley,U.S. Senate,,,Genesee,Darien 2,109,,
Gillibrand,U.S. Senate,,,Genesee,Darien 2,8,,
Gillibrand,U.S. Senate,,,Genesee,Darien 2,6,,
Gillibrand,U.S. Senate,,,Genesee,Darien 2,6,,
CC Farley,U.S. Senate,,,Genesee,Darien 2,2,,
McMurray,U.S. House,27,,Genesee,Darien 2,200,,
Collins,U.S. House,27,,Genesee,Darien 2,279,,
Collins,U.S. House,27,,Genesee,Darien 2,101,,
McMurray,U.S. House,27,,Genesee,Darien 2,17,,
Collins,U.S. House,27,,Genesee,Darien 2,4,,
McMurray,U.S. House,27,,Genesee,Darien 2,7,,
Piegza,U.S. House,27,,Genesee,Darien 2,13,,
Seamans,State Senate,61,,Genesee,Darien 2,137,,
Ranzenhofer ,State Senate,61,,Genesee,Darien 2,343,,
Ranzenhofer ,State Senate,61,,Genesee,Darien 2,116,,
Seamans,State Senate,61,,Genesee,Darien 2,10,,
Ranzenhofer ,State Senate,61,,Genesee,Darien 2,4,,
Seamans,State Senate,61,,Genesee,Darien 2,6,,
Ranzenhofer ,State Senate,61,,Genesee,Darien 2,4,,
Hawley,State Assembly,139,,Genesee,Darien 2,365,,
Hawley,State Assembly,139,,Genesee,Darien 2,124,,
Hawley,State Assembly,139,,Genesee,Darien 2,13,,
Hawley,State Assembly,139,,Genesee,Darien 2,4,,
Glogowski,State Assembly,139,,Genesee,Darien 2,42,,
Cuomo Hochul,Governor & Lt. Governor,,,Genesee,Elba 1,62,,
Molinar O Killian,Governor & Lt. Governor,,,Genesee,Elba 1,252,,
Molinar O Killian,Governor & Lt. Governor,,,Genesee,Elba 1,30,,
Hawkins Lee,Governor & Lt. Governor,,,Genesee,Elba 1,2,,
Cuomo Hochul,Governor & Lt. Governor,,,Genesee,Elba 1,1,,
Cuomo Hochul,Governor & Lt. Governor,,,Genesee,Elba 1,3,,
Cuomo Hochul,Governor & Lt. Governor,,,Genesee,Elba 1,3,,
Molinar O Killian,Governor & Lt. Governor,,,Genesee,Elba 1,1,,
Miner Volpe,Governor & Lt. Governor,,,Genesee,Elba 1,2,,
Sharpe Hollister ,Governor & Lt. Governor,,,Genesee,Elba 1,19,,
DiNapoli,Comptroller,,,Genesee,Elba 1,97,,
Trichter,Comptroller,,,Genesee,Elba 1,214,,
Trichter,Comptroller,,,Genesee,Elba 1,35,,
Dunlea,Comptroller,,,Genesee,Elba 1,1,,
DiNapoli,Comptroller,,,Genesee,Elba 1,2,,
DiNapoli,Comptroller,,,Genesee,Elba 1,7,,
DiNapoli,Comptroller,,,Genesee,Elba 1,3,,
DiNapoli,Comptroller,,,Genesee,Elba 1,0,,
Gallaudet ,Comptroller,,,Genesee,Elba 1,3,,
James,Attorney General,,,Genesee,Elba 1,66,,
Wofford,Attorney General,,,Genesee,Elba 1,241,,
Wofford,Attorney General,,,Genesee,Elba 1,35,,
Sussman,Attorney General,,,Genesee,Elba 1,0,,
James,Attorney General,,,Genesee,Elba 1,6,,
James,Attorney General,,,Genesee,Elba 1,7,,
Sliwa,Attorney General,,,Genesee,Elba 1,0,,
Garvey,Attorney General,,,Genesee,Elba 1,5,,
Gillibrand,U.S. Senate,,,Genesee,Elba 1,103,,
CC Farley,U.S. Senate,,,Genesee,Elba 1,215,,
CC Farley,U.S. Senate,,,Genesee,Elba 1,31,,
Gillibrand,U.S. Senate,,,Genesee,Elba 1,5,,
Gillibrand,U.S. Senate,,,Genesee,Elba 1,4,,
Gillibrand,U.S. Senate,,,Genesee,Elba 1,2,,
CC Farley,U.S. Senate,,,Genesee,Elba 1,1,,
McMurray,U.S. House,27,,Genesee,Elba 1,111,,
Collins,U.S. House,27,,Genesee,Elba 1,202,,
Collins,U.S. House,27,,Genesee,Elba 1,28,,
McMurray,U.S. House,27,,Genesee,Elba 1,9,,
Collins,U.S. House,27,,Genesee,Elba 1,0,,
McMurray,U.S. House,27,,Genesee,Elba 1,5,,
Piegza,U.S. House,27,,Genesee,Elba 1,11,,
Seamans,State Senate,61,,Genesee,Elba 1,61,,
Ranzenhofer ,State Senate,61,,Genesee,Elba 1,258,,
Ranzenhofer ,State Senate,61,,Genesee,Elba 1,35,,
Seamans,State Senate,61,,Genesee,Elba 1,1,,
Ranzenhofer ,State Senate,61,,Genesee,Elba 1,8,,
Seamans,State Senate,61,,Genesee,Elba 1,2,,
Ranzenhofer ,State Senate,61,,Genesee,Elba 1,2,,
Hawley,State Assembly,139,,Genesee,Elba 1,281,,
Hawley,State Assembly,139,,Genesee,Elba 1,37,,
Hawley,State Assembly,139,,Genesee,Elba 1,8,,
Hawley,State Assembly,139,,Genesee,Elba 1,2,,
Glogowski,State Assembly,139,,Genesee,Elba 1,14,,
Cuomo Hochul,Governor & Lt. Governor,,,Genesee,Elba 2,74,,
Molinar O Killian,Governor & Lt. Governor,,,Genesee,Elba 2,300,,
Molinar O Killian,Governor & Lt. Governor,,,Genesee,Elba 2,26,,
Hawkins Lee,Governor & Lt. Governor,,,Genesee,Elba 2,2,,
Cuomo Hochul,Governor & Lt. Governor,,,Genesee,Elba 2,1,,
Cuomo Hochul,Governor & Lt. Governor,,,Genesee,Elba 2,2,,
Cuomo Hochul,Governor & Lt. Governor,,,Genesee,Elba 2,0,,
Molinar O Killian,Governor & Lt. Governor,,,Genesee,Elba 2,4,,
Miner Volpe,Governor & Lt. Governor,,,Genesee,Elba 2,9,,
Sharpe Hollister ,Governor & Lt. Governor,,,Genesee,Elba 2,25,,
DiNapoli,Comptroller,,,Genesee,Elba 2,132,,
Trichter,Comptroller,,,Genesee,Elba 2,242,,
Trichter,Comptroller,,,Genesee,Elba 2,22,,
Dunlea,Comptroller,,,Genesee,Elba 2,4,,
DiNapoli,Comptroller,,,Genesee,Elba 2,4,,
DiNapoli,Comptroller,,,Genesee,Elba 2,8,,
DiNapoli,Comptroller,,,Genesee,Elba 2,2,,
DiNapoli,Comptroller,,,Genesee,Elba 2,1,,
Gallaudet ,Comptroller,,,Genesee,Elba 2,11,,
James,Attorney General,,,Genesee,Elba 2,99,,
Wofford,Attorney General,,,Genesee,Elba 2,274,,
Wofford,Attorney General,,,Genesee,Elba 2,24,,
Sussman,Attorney General,,,Genesee,Elba 2,4,,
James,Attorney General,,,Genesee,Elba 2,2,,
James,Attorney General,,,Genesee,Elba 2,6,,
Sliwa,Attorney General,,,Genesee,Elba 2,7,,
Garvey,Attorney General,,,Genesee,Elba 2,13,,
Gillibrand,U.S. Senate,,,Genesee,Elba 2,130,,
CC Farley,U.S. Senate,,,Genesee,Elba 2,246,,
