county,precinct,office,district,party,candidate,election_day,absentee,votes,,,,,,,,,,,,
Herkimer,Town of Litchfield 1,Governor,,IND,Andrew M. Cuomo,4,0,4,,,,,,,,,,,,
Herkimer,Town of Little Falls 1,Governor,,IND,Andrew M. Cuomo,4,0,4,,,,,,,,,,,,
Herkimer,Town of Manheim 1,Governor,,IND,Andrew M. Cuomo,1,0,1,,,,,,,,,,,,
Herkimer,Town of Manheim 2,Governor,,IND,Andrew M. Cuomo,5,0,5,,,,,,,,,,,,
Herkimer,Town of Manheim 3,Governor,,IND,Andrew M. Cuomo,1,0,1,,,,,,,,,,,,
Herkimer,Town of Newport 1,Governor,,IND,Andrew M. Cuomo,9,2,11,,,,,,,,,,,,
Herkimer,Town of Norway 1,Governor,,IND,Andrew M. Cuomo,2,0,2,,,,,,,,,,,,
Herkimer,Town of Ohio 1,Governor,,IND,Andrew M. Cuomo,0,1,1,,,,,,,,,,,,
Herkimer,Town of Russia 1,Governor,,IND,Andrew M. Cuomo,7,1,8,,,,,,,,,,,,
Herkimer,Town of Russia 2,Governor,,IND,Andrew M. Cuomo,1,0,1,,,,,,,,,,,,
Herkimer,Town of Russia 3,Governor,,IND,Andrew M. Cuomo,0,0,0,,,,,,,,,,,,
Herkimer,Town of Salisbury 1,Governor,,IND,Andrew M. Cuomo,2,2,4,,,,,,,,,,,,
Herkimer,Town of Schuyler 1,Governor,,IND,Andrew M. Cuomo,1,0,1,,,,,,,,,,,,
Herkimer,Town of Schuyler 2,Governor,,IND,Andrew M. Cuomo,3,0,3,,,,,,,,,,,,
Herkimer,Town of Schuyler 3,Governor,,IND,Andrew M. Cuomo,2,0,2,,,,,,,,,,,,
Herkimer,Town of Stark 1,Governor,,IND,Andrew M. Cuomo,0,0,0,,,,,,,,,,,,
Herkimer,Town of Warren 1,Governor,,IND,Andrew M. Cuomo,3,0,3,,,,,,,,,,,,
Herkimer,Town of Webb 1,Governor,,IND,Andrew M. Cuomo,5,0,5,,,,,,,,,,,,
Herkimer,Town of Webb 2,Governor,,IND,Andrew M. Cuomo,0,0,0,,,,,,,,,,,,
Herkimer,Town of Winfield 1,Governor,,IND,Andrew M. Cuomo,7,0,7,,,,,,,,,,,,
Herkimer,Town of Winfield 2,Governor,,IND,Andrew M. Cuomo,4,0,4,,,,,,,,,,,,
Herkimer,City of Little Falls Ward 1 1,Governor,,WEP,Andrew M. Cuomo,1,1,2,,,,,,,,,,,,
Herkimer,City of Little Falls Ward 2 1,Governor,,WEP,Andrew M. Cuomo,2,0,2,,,,,,,,,,,,
Herkimer,City of Little Falls Ward 3 1,Governor,,WEP,Andrew M. Cuomo,0,0,0,,,,,,,,,,,,
Herkimer,City of Little Falls Ward 3 2,Governor,,WEP,Andrew M. Cuomo,2,0,2,,,,,,,,,,,,
Herkimer,City of Little Falls Ward 4 1,Governor,,WEP,Andrew M. Cuomo,0,0,0,,,,,,,,,,,,
Herkimer,Town of Columbia 1,Governor,,WEP,Andrew M. Cuomo,1,0,1,,,,,,,,,,,,
Herkimer,Town of Columbia 2,Governor,,WEP,Andrew M. Cuomo,1,0,1,,,,,,,,,,,,
Herkimer,Town of Danube 1,Governor,,WEP,Andrew M. Cuomo,1,0,1,,,,,,,,,,,,
Herkimer,Town of Fairfield 1,Governor,,WEP,Andrew M. Cuomo,1,1,2,,,,,,,,,,,,
Herkimer,Town of Frankfort 1,Governor,,WEP,Andrew M. Cuomo,1,0,1,,,,,,,,,,,,
Herkimer,Town of Frankfort 2,Governor,,WEP,Andrew M. Cuomo,0,0,0,,,,,,,,,,,,
Herkimer,Town of Frankfort 3,Governor,,WEP,Andrew M. Cuomo,1,1,2,,,,,,,,,,,,
Herkimer,Town of Frankfort 4,Governor,,WEP,Andrew M. Cuomo,0,0,0,,,,,,,,,,,,
Herkimer,Town of Frankfort 5,Governor,,WEP,Andrew M. Cuomo,0,0,0,,,,,,,,,,,,
Herkimer,Town of Frankfort 6,Governor,,WEP,Andrew M. Cuomo,4,0,4,,,,,,,,,,,,
Herkimer,Town of German Flatts 1,Governor,,WEP,Andrew M. Cuomo,0,0,0,,,,,,,,,,,,
Herkimer,Town of German Flatts 2,Governor,,WEP,Andrew M. Cuomo,1,0,1,,,,,,,,,,,,
Herkimer,Town of German Flatts 3,Governor,,WEP,Andrew M. Cuomo,1,0,1,,,,,,,,,,,,
Herkimer,Town of German Flatts 4,Governor,,WEP,Andrew M. Cuomo,0,0,0,,,,,,,,,,,,
Herkimer,Town of German Flatts 5,Governor,,WEP,Andrew M. Cuomo,0,0,0,,,,,,,,,,,,
