county,precinct,office,district,candidate,party,votes,,,,,,,
Monroe,Irondequoit 46,Ballots Cast,,,,328,,,,,,,
Monroe,Irondequoit 47,Ballots Cast,,,,135,,,,,,,
Monroe,Irondequoit 48,Ballots Cast,,,,326,,,,,,,
Monroe,Irondequoit 49,Ballots Cast,,,,461,,,,,,,
Monroe,Irondequoit 50,Ballots Cast,,,,261,,,,,,,
Monroe,Irondequoit 51,Ballots Cast,,,,422,,,,,,,
Monroe,Irondequoit 52,Ballots Cast,,,,410,,,,,,,
Monroe,Irondequoit 53,Ballots Cast,,,,311,,,,,,,
Monroe,Irondequoit 54,Ballots Cast,,,,110,,,,,,,
Monroe,Irondequoit 55,Ballots Cast,,,,397,,,,,,,
Monroe,Irondequoit 56,Ballots Cast,,,,274,,,,,,,
Monroe,Irondequoit 57,Ballots Cast,,,,484,,,,,,,
Monroe,Irondequoit 58,Ballots Cast,,,,405,,,,,,,
Monroe,Irondequoit 59,Ballots Cast,,,,309,,,,,,,
Monroe,Irondequoit 60,Ballots Cast,,,,326,,,,,,,
Monroe,Irondequoit 61,Ballots Cast,,,,449,,,,,,,
Monroe,Irondequoit 62,Ballots Cast,,,,362,,,,,,,
Monroe,Irondequoit 63,Ballots Cast,,,,300,,,,,,,
Monroe,Irondequoit 64,Ballots Cast,,,,137,,,,,,,
Monroe,Irondequoit 65,Ballots Cast,,,,259,,,,,,,
Monroe,Irondequoit 66,Ballots Cast,,,,178,,,,,,,
Monroe,Irondequoit 67,Ballots Cast,,,,255,,,,,,,
Monroe,Irondequoit 68,Ballots Cast,,,,294,,,,,,,
Monroe,Mendon 1,Ballots Cast,,,,641,,,,,,,
Monroe,Mendon 2,Ballots Cast,,,,566,,,,,,,
Monroe,Mendon 3,Ballots Cast,,,,629,,,,,,,
Monroe,Mendon 4,Ballots Cast,,,,457,,,,,,,
Monroe,Mendon 5,Ballots Cast,,,,592,,,,,,,
Monroe,Mendon 6,Ballots Cast,,,,601,,,,,,,
Monroe,Mendon 7,Ballots Cast,,,,647,,,,,,,
Monroe,Mendon 8,Ballots Cast,,,,247,,,,,,,
Monroe,Mendon 9,Ballots Cast,,,,484,,,,,,,
Monroe,Ogden 1,Ballots Cast,,,,385,,,,,,,
Monroe,Ogden 2,Ballots Cast,,,,401,,,,,,,
Monroe,Ogden 3,Ballots Cast,,,,617,,,,,,,
Monroe,Ogden 4,Ballots Cast,,,,371,,,,,,,
Monroe,Ogden 5,Ballots Cast,,,,374,,,,,,,
Monroe,Ogden 6,Ballots Cast,,,,496,,,,,,,
Monroe,Ogden 7,Ballots Cast,,,,272,,,,,,,
Monroe,Ogden 8,Ballots Cast,,,,470,,,,,,,
Monroe,Ogden 9,Ballots Cast,,,,380,,,,,,,
Monroe,Ogden 10,Ballots Cast,,,,410,,,,,,,
Monroe,Ogden 11,Ballots Cast,,,,446,,,,,,,
Monroe,Ogden 12,Ballots Cast,,,,516,,,,,,,
Monroe,Ogden 13,Ballots Cast,,,,417,,,,,,,
Monroe,Ogden 14,Ballots Cast,,,,349,,,,,,,
Monroe,Ogden 15,Ballots Cast,,,,532,,,,,,,
Monroe,Ogden 16,Ballots Cast,,,,261,,,,,,,
Monroe,Ogden 17,Ballots Cast,,,,373,,,,,,,
Monroe,Ogden 18,Ballots Cast,,,,554,,,,,,,
Monroe,Ogden 19,Ballots Cast,,,,475,,,,,,,
Monroe,Ogden 20,Ballots Cast,,,,489,,,,,,,
Monroe,Parma 1,Ballots Cast,,,,481,,,,,,,
Monroe,Parma 2,Ballots Cast,,,,528,,,,,,,
Monroe,Parma 3,Ballots Cast,,,,412,,,,,,,
Monroe,Parma 4,Ballots Cast,,,,405,,,,,,,
Monroe,Parma 5,Ballots Cast,,,,307,,,,,,,
Monroe,Parma 6,Ballots Cast,,,,204,,,,,,,
Monroe,Parma 7,Ballots Cast,,,,404,,,,,,,
Monroe,Parma 8,Ballots Cast,,,,559,,,,,,,
Monroe,Parma 9,Ballots Cast,,,,456,,,,,,,
Monroe,Parma 10,Ballots Cast,,,,437,,,,,,,
Monroe,Parma 11,Ballots Cast,,,,488,,,,,,,
Monroe,Parma 12,Ballots Cast,,,,494,,,,,,,
Monroe,Parma 13,Ballots Cast,,,,741,,,,,,,
Monroe,Parma 14,Ballots Cast,,,,356,,,,,,,
Monroe,Parma 15,Ballots Cast,,,,494,,,,,,,
Monroe,Penfield 1,Ballots Cast,,,,206,,,,,,,
Monroe,Penfield 2,Ballots Cast,,,,412,,,,,,,
Monroe,Penfield 3,Ballots Cast,,,,389,,,,,,,
Monroe,Penfield 4,Ballots Cast,,,,566,,,,,,,
Monroe,Penfield 5,Ballots Cast,,,,460,,,,,,,
Monroe,Penfield 6,Ballots Cast,,,,349,,,,,,,
Monroe,Penfield 7,Ballots Cast,,,,396,,,,,,,
Monroe,Penfield 8,Ballots Cast,,,,276,,,,,,,
Monroe,Penfield 9,Ballots Cast,,,,511,,,,,,,
Monroe,Penfield 10,Ballots Cast,,,,317,,,,,,,
Monroe,Penfield 11,Ballots Cast,,,,274,,,,,,,
Monroe,Penfield 12,Ballots Cast,,,,430,,,,,,,
Monroe,Penfield 13,Ballots Cast,,,,607,,,,,,,
Monroe,Penfield 14,Ballots Cast,,,,525,,,,,,,
Monroe,Penfield 15,Ballots Cast,,,,637,,,,,,,
Monroe,Penfield 16,Ballots Cast,,,,193,,,,,,,
Monroe,Penfield 17,Ballots Cast,,,,446,,,,,,,
Monroe,Penfield 18,Ballots Cast,,,,323,,,,,,,
Monroe,Penfield 19,Ballots Cast,,,,630,,,,,,,
Monroe,Penfield 20,Ballots Cast,,,,480,,,,,,,
Monroe,Penfield 21,Ballots Cast,,,,488,,,,,,,
Monroe,Penfield 22,Ballots Cast,,,,438,,,,,,,
Monroe,Penfield 23,Ballots Cast,,,,559,,,,,,,
Monroe,Penfield 24,Ballots Cast,,,,560,,,,,,,
Monroe,Penfield 25,Ballots Cast,,,,355,,,,,,,
Monroe,Penfield 26,Ballots Cast,,,,261,,,,,,,
Monroe,Penfield 27,Ballots Cast,,,,461,,,,,,,
Monroe,Penfield 28,Ballots Cast,,,,350,,,,,,,
Monroe,Penfield 29,Ballots Cast,,,,549,,,,,,,
Monroe,Penfield 30,Ballots Cast,,,,774,,,,,,,
Monroe,Penfield 31,Ballots Cast,,,,253,,,,,,,
Monroe,Penfield 32,Ballots Cast,,,,293,,,,,,,
Monroe,Penfield 33,Ballots Cast,,,,382,,,,,,,
Monroe,Penfield 34,Ballots Cast,,,,403,,,,,,,
Monroe,Penfield 35,Ballots Cast,,,,637,,,,,,,
Monroe,Penfield 36,Ballots Cast,,,,437,,,,,,,
Monroe,Penfield 37,Ballots Cast,,,,763,,,,,,,
Monroe,Penfield 38,Ballots Cast,,,,292,,,,,,,
Monroe,Penfield 39,Ballots Cast,,,,327,,,,,,,
Monroe,Penfield 40,Ballots Cast,,,,565,,,,,,,
Monroe,Penfield 41,Ballots Cast,,,,589,,,,,,,
Monroe,Penfield 42,Ballots Cast,,,,399,,,,,,,
