county,office,district,party,candidate,votes,
Cayuga,President,,LBT,Harry Browne,58,
Chautauqua,President,,LBT,Harry Browne,70,
Chemung,President,,LBT,Harry Browne,31,
Chenango,President,,LBT,Harry Browne,35,
Clinton,President,,LBT,Harry Browne,29,
Columbia,President,,LBT,Harry Browne,38,
Cortland,President,,LBT,Harry Browne,28,
Delaware,President,,LBT,Harry Browne,21,
Dutchess,President,,LBT,Harry Browne,169,
Erie,President,,LBT,Harry Browne,547,
Essex,President,,LBT,Harry Browne,18,
Franklin,President,,LBT,Harry Browne,16,
Fulton,President,,LBT,Harry Browne,17,
Genesee,President,,LBT,Harry Browne,35,
Greene,President,,LBT,Harry Browne,39,
Hamilton,President,,LBT,Harry Browne,7,
Herkimer,President,,LBT,Harry Browne,36,
Jefferson,President,,LBT,Harry Browne,41,
Lewis,President,,LBT,Harry Browne,14,
Livingston,President,,LBT,Harry Browne,36,
Madison,President,,LBT,Harry Browne,44,
Monroe,President,,LBT,Harry Browne,510,
Montgomery,President,,LBT,Harry Browne,11,
Nassau,President,,LBT,Harry Browne,524,
Niagara,President,,LBT,Harry Browne,101,
Oneida,President,,LBT,Harry Browne,83,
Onondaga,President,,LBT,Harry Browne,263,
Ontario,President,,LBT,Harry Browne,72,
Orange,President,,LBT,Harry Browne,161,
Orleans,President,,LBT,Harry Browne,24,
Oswego,President,,LBT,Harry Browne,64,
Otsego,President,,LBT,Harry Browne,32,
Putnam,President,,LBT,Harry Browne,57,
Rensselaer,President,,LBT,Harry Browne,111,
Rockland,President,,LBT,Harry Browne,133,
St. Lawrence,President,,LBT,Harry Browne,55,
Saratoga,President,,LBT,Harry Browne,131,
Schenectady,President,,LBT,Harry Browne,108,
Schoharie,President,,LBT,Harry Browne,26,
Schuyler,President,,LBT,Harry Browne,8,
Seneca,President,,LBT,Harry Browne,22,
Steuben,President,,LBT,Harry Browne,34,
Suffolk,President,,LBT,Harry Browne,513,
Sullivan,President,,LBT,Harry Browne,30,
Tioga,President,,LBT,Harry Browne,31,
Tompkins,President,,LBT,Harry Browne,119,
Ulster,President,,LBT,Harry Browne,132,
Warren,President,,LBT,Harry Browne,18,
Washington,President,,LBT,Harry Browne,37,
Wayne,President,,LBT,Harry Browne,61,
Westchester,President,,LBT,Harry Browne,452,
Wyoming,President,,LBT,Harry Browne,3,
Yates,President,,LBT,Harry Browne,11,
Bronx,President,,LBT,Harry Browne,117,
Kings,President,,LBT,Harry Browne,419,
New York,President,,LBT,Harry Browne,990,
Queens,President,,LBT,Harry Browne,385,
Richmond,President,,LBT,Harry Browne,96,
Albany,President,,SWP,James Harris,35,
Allegany,President,,SWP,James Harris,8,
Broome,President,,SWP,James Harris,12,
Cattaraugus,President,,SWP,James Harris,171,
Cayuga,President,,SWP,James Harris,18,
Chautauqua,President,,SWP,James Harris,15,
Chemung,President,,SWP,James Harris,8,
Chenango,President,,SWP,James Harris,3,
Clinton,President,,SWP,James Harris,11,
Columbia,President,,SWP,James Harris,24,
Cortland,President,,SWP,James Harris,1,
Delaware,President,,SWP,James Harris,9,
Dutchess,President,,SWP,James Harris,23,
Erie,President,,SWP,James Harris,112,
Essex,President,,SWP,James Harris,3,
Franklin,President,,SWP,James Harris,3,
Fulton,President,,SWP,James Harris,3,
Genesee,President,,SWP,James Harris,5,
Greene,President,,SWP,James Harris,6,
Hamilton,President,,SWP,James Harris,1,
Herkimer,President,,SWP,James Harris,7,
Jefferson,President,,SWP,James Harris,4,
Lewis,President,,SWP,James Harris,7,
Livingston,President,,SWP,James Harris,62,
Madison,President,,SWP,James Harris,3,
Monroe,President,,SWP,James Harris,41,
Montgomery,President,,SWP,James Harris,4,
Nassau,President,,SWP,James Harris,87,
Niagara,President,,SWP,James Harris,18,
Oneida,President,,SWP,James Harris,14,
Onondaga,President,,SWP,James Harris,35,
Ontario,President,,SWP,James Harris,15,
Orange,President,,SWP,James Harris,25,
Orleans,President,,SWP,James Harris,1,
Oswego,President,,SWP,James Harris,7,
Otsego,President,,SWP,James Harris,4,
Putnam,President,,SWP,James Harris,4,
Rensselaer,President,,SWP,James Harris,24,
Rockland,President,,SWP,James Harris,8,
St. Lawrence,President,,SWP,James Harris,13,
Saratoga,President,,SWP,James Harris,18,
Schenectady,President,,SWP,James Harris,14,
Schoharie,President,,SWP,James Harris,3,
Schuyler,President,,SWP,James Harris,1,
Seneca,President,,SWP,James Harris,2,
Steuben,President,,SWP,James Harris,13,
Suffolk,President,,SWP,James Harris,81,
Sullivan,President,,SWP,James Harris,9,
Tioga,President,,SWP,James Harris,2,
Tompkins,President,,SWP,James Harris,16,
Ulster,President,,SWP,James Harris,22,
Warren,President,,SWP,James Harris,2,
Washington,President,,SWP,James Harris,5,
Wayne,President,,SWP,James Harris,8,
Westchester,President,,SWP,James Harris,78,
Wyoming,President,,SWP,James Harris,103,
Yates,President,,SWP,James Harris,2,
Bronx,President,,SWP,James Harris,109,
Kings,President,,SWP,James Harris,145,
New York,President,,SWP,James Harris,173,
Queens,President,,SWP,James Harris,109,
Richmond,President,,SWP,James Harris,20,
Albany,President,,,Michael Skos,0,
Allegany,President,,,Michael Skos,0,
Broome,President,,,Michael Skos,0,
Cattaraugus,President,,,Michael Skos,0,
Cayuga,President,,,Michael Skos,0,
Chautauqua,President,,,Michael Skos,0,
Chemung,President,,,Michael Skos,0,
Chenango,President,,,Michael Skos,0,
Clinton,President,,,Michael Skos,0,
Columbia,President,,,Michael Skos,0,
Cortland,President,,,Michael Skos,0,
Delaware,President,,,Michael Skos,0,
Dutchess,President,,,Michael Skos,0,
Erie,President,,,Michael Skos,0,
Essex,President,,,Michael Skos,0,
Franklin,President,,,Michael Skos,0,
Fulton,President,,,Michael Skos,0,
Genesee,President,,,Michael Skos,0,
Greene,President,,,Michael Skos,0,
Hamilton,President,,,Michael Skos,0,
Herkimer,President,,,Michael Skos,0,
Jefferson,President,,,Michael Skos,0,
Lewis,President,,,Michael Skos,0,
Livingston,President,,,Michael Skos,0,
Madison,President,,,Michael Skos,0,
Monroe,President,,,Michael Skos,0,
Montgomery,President,,,Michael Skos,0,
Nassau,President,,,Michael Skos,0,
Niagara,President,,,Michael Skos,0,
Oneida,President,,,Michael Skos,0,
Onondaga,President,,,Michael Skos,0,
Ontario,President,,,Michael Skos,0,
Orange,President,,,Michael Skos,0,
Orleans,President,,,Michael Skos,0,
Oswego,President,,,Michael Skos,0,
Otsego,President,,,Michael Skos,0,
Putnam,President,,,Michael Skos,0,
Rensselaer,President,,,Michael Skos,0,
Rockland,President,,,Michael Skos,0,
St. Lawrence,President,,,Michael Skos,0,
Saratoga,President,,,Michael Skos,0,
Schenectady,President,,,Michael Skos,0,
Schoharie,President,,,Michael Skos,0,
Schuyler,President,,,Michael Skos,0,
Seneca,President,,,Michael Skos,0,
Steuben,President,,,Michael Skos,0,
Suffolk,President,,,Michael Skos,0,
Sullivan,President,,,Michael Skos,0,
Tioga,President,,,Michael Skos,0,
Tompkins,President,,,Michael Skos,0,
Ulster,President,,,Michael Skos,0,
Warren,President,,,Michael Skos,0,
Washington,President,,,Michael Skos,0,
Wayne,President,,,Michael Skos,0,
Westchester,President,,,Michael Skos,0,
Wyoming,President,,,Michael Skos,0,
Yates,President,,,Michael Skos,0,
Bronx,President,,,Michael Skos,0,
Kings,President,,,Michael Skos,0,
New York,President,,,Michael Skos,0,
Queens,President,,,Michael Skos,0,
Richmond,President,,,Michael Skos,0,
Albany,President,,,Daniel J. Pearlman,0,
Allegany,President,,,Daniel J. Pearlman,0,
Broome,President,,,Daniel J. Pearlman,0,
Cattaraugus,President,,,Daniel J. Pearlman,0,
Cayuga,President,,,Daniel J. Pearlman,0,
Chautauqua,President,,,Daniel J. Pearlman,0,
Chemung,President,,,Daniel J. Pearlman,0,
Chenango,President,,,Daniel J. Pearlman,0,
Clinton,President,,,Daniel J. Pearlman,0,
Columbia,President,,,Daniel J. Pearlman,0,
Cortland,President,,,Daniel J. Pearlman,0,
Delaware,President,,,Daniel J. Pearlman,0,
Dutchess,President,,,Daniel J. Pearlman,0,
Erie,President,,,Daniel J. Pearlman,0,
Essex,President,,,Daniel J. Pearlman,0,
Franklin,President,,,Daniel J. Pearlman,0,
Fulton,President,,,Daniel J. Pearlman,0,
Genesee,President,,,Daniel J. Pearlman,0,
Greene,President,,,Daniel J. Pearlman,0,
Hamilton,President,,,Daniel J. Pearlman,0,
Herkimer,President,,,Daniel J. Pearlman,0,
Jefferson,President,,,Daniel J. Pearlman,0,
Lewis,President,,,Daniel J. Pearlman,0,
Livingston,President,,,Daniel J. Pearlman,0,
Madison,President,,,Daniel J. Pearlman,0,
Monroe,President,,,Daniel J. Pearlman,0,
Montgomery,President,,,Daniel J. Pearlman,0,
Nassau,President,,,Daniel J. Pearlman,0,
Niagara,President,,,Daniel J. Pearlman,0,
Oneida,President,,,Daniel J. Pearlman,0,
Onondaga,President,,,Daniel J. Pearlman,0,
Ontario,President,,,Daniel J. Pearlman,0,
Orange,President,,,Daniel J. Pearlman,0,
Orleans,President,,,Daniel J. Pearlman,0,
Oswego,President,,,Daniel J. Pearlman,0,
Otsego,President,,,Daniel J. Pearlman,0,
Putnam,President,,,Daniel J. Pearlman,0,
Rensselaer,President,,,Daniel J. Pearlman,0,
Rockland,President,,,Daniel J. Pearlman,0,
St. Lawrence,President,,,Daniel J. Pearlman,0,
Saratoga,President,,,Daniel J. Pearlman,0,
Schenectady,President,,,Daniel J. Pearlman,0,
Schoharie,President,,,Daniel J. Pearlman,0,
Schuyler,President,,,Daniel J. Pearlman,0,
Seneca,President,,,Daniel J. Pearlman,0,
Steuben,President,,,Daniel J. Pearlman,0,
Suffolk,President,,,Daniel J. Pearlman,0,
Sullivan,President,,,Daniel J. Pearlman,0,
Tioga,President,,,Daniel J. Pearlman,0,
Tompkins,President,,,Daniel J. Pearlman,0,
Ulster,President,,,Daniel J. Pearlman,0,
Warren,President,,,Daniel J. Pearlman,0,
Washington,President,,,Daniel J. Pearlman,0,
Wayne,President,,,Daniel J. Pearlman,0,
Westchester,President,,,Daniel J. Pearlman,0,
Wyoming,President,,,Daniel J. Pearlman,0,
Yates,President,,,Daniel J. Pearlman,0,
Bronx,President,,,Daniel J. Pearlman,0,
Kings,President,,,Daniel J. Pearlman,0,
New York,President,,,Daniel J. Pearlman,0,
Queens,President,,,Daniel J. Pearlman,0,
Richmond,President,,,Daniel J. Pearlman,0,
Albany,President,,,David McReynolds,0,
Allegany,President,,,David McReynolds,0,
Broome,President,,,David McReynolds,0,
Cattaraugus,President,,,David McReynolds,0,
Cayuga,President,,,David McReynolds,0,
Chautauqua,President,,,David McReynolds,0,
Chemung,President,,,David McReynolds,0,
Chenango,President,,,David McReynolds,0,
Clinton,President,,,David McReynolds,0,
Columbia,President,,,David McReynolds,0,
Cortland,President,,,David McReynolds,0,
Delaware,President,,,David McReynolds,0,
Dutchess,President,,,David McReynolds,0,
Erie,President,,,David McReynolds,0,
Essex,President,,,David McReynolds,0,
Franklin,President,,,David McReynolds,0,
Fulton,President,,,David McReynolds,0,
Genesee,President,,,David McReynolds,0,
Greene,President,,,David McReynolds,0,
Hamilton,President,,,David McReynolds,0,
Herkimer,President,,,David McReynolds,0,
Jefferson,President,,,David McReynolds,0,
Lewis,President,,,David McReynolds,0,
Livingston,President,,,David McReynolds,0,
Madison,President,,,David McReynolds,0,
Monroe,President,,,David McReynolds,0,
Montgomery,President,,,David McReynolds,0,
Nassau,President,,,David McReynolds,0,
Niagara,President,,,David McReynolds,0,
Oneida,President,,,David McReynolds,0,
Onondaga,President,,,David McReynolds,0,
Ontario,President,,,David McReynolds,0,
Orange,President,,,David McReynolds,0,
Orleans,President,,,David McReynolds,0,
Oswego,President,,,David McReynolds,0,
Otsego,President,,,David McReynolds,0,
Putnam,President,,,David McReynolds,0,
Rensselaer,President,,,David McReynolds,0,
Rockland,President,,,David McReynolds,0,
St. Lawrence,President,,,David McReynolds,0,
Saratoga,President,,,David McReynolds,0,
Schenectady,President,,,David McReynolds,0,
Schoharie,President,,,David McReynolds,0,
Schuyler,President,,,David McReynolds,0,
Seneca,President,,,David McReynolds,0,
Steuben,President,,,David McReynolds,0,
Suffolk,President,,,David McReynolds,0,
Sullivan,President,,,David McReynolds,0,
Tioga,President,,,David McReynolds,0,
Tompkins,President,,,David McReynolds,2,
Ulster,President,,,David McReynolds,0,
Warren,President,,,David McReynolds,0,
Washington,President,,,David McReynolds,0,
Wayne,President,,,David McReynolds,0,
Westchester,President,,,David McReynolds,0,
Wyoming,President,,,David McReynolds,0,
Yates,President,,,David McReynolds,0,
Bronx,President,,,David McReynolds,0,
Kings,President,,,David McReynolds,0,
New York,President,,,David McReynolds,0,
Queens,President,,,David McReynolds,0,
Richmond,President,,,David McReynolds,0,
Albany,President,,,Clifford Caton,0,
Allegany,President,,,Clifford Caton,0,
Broome,President,,,Clifford Caton,0,
Cattaraugus,President,,,Clifford Caton,0,
Cayuga,President,,,Clifford Caton,0,
Chautauqua,President,,,Clifford Caton,0,
Chemung,President,,,Clifford Caton,0,
Chenango,President,,,Clifford Caton,0,
Clinton,President,,,Clifford Caton,0,
Columbia,President,,,Clifford Caton,0,
Cortland,President,,,Clifford Caton,0,
Delaware,President,,,Clifford Caton,0,
Dutchess,President,,,Clifford Caton,0,
Erie,President,,,Clifford Caton,0,
Essex,President,,,Clifford Caton,0,
Franklin,President,,,Clifford Caton,0,
Fulton,President,,,Clifford Caton,0,
Genesee,President,,,Clifford Caton,0,
Greene,President,,,Clifford Caton,0,
Hamilton,President,,,Clifford Caton,0,
Herkimer,President,,,Clifford Caton,0,
Jefferson,President,,,Clifford Caton,0,
Lewis,President,,,Clifford Caton,0,
Livingston,President,,,Clifford Caton,0,
Madison,President,,,Clifford Caton,0,
Monroe,President,,,Clifford Caton,0,
Montgomery,President,,,Clifford Caton,0,
Nassau,President,,,Clifford Caton,0,
Niagara,President,,,Clifford Caton,0,
Oneida,President,,,Clifford Caton,0,
Onondaga,President,,,Clifford Caton,0,
Ontario,President,,,Clifford Caton,0,
Orange,President,,,Clifford Caton,0,
Orleans,President,,,Clifford Caton,0,
Oswego,President,,,Clifford Caton,0,
Otsego,President,,,Clifford Caton,0,
Putnam,President,,,Clifford Caton,0,
Rensselaer,President,,,Clifford Caton,0,
Rockland,President,,,Clifford Caton,0,
St. Lawrence,President,,,Clifford Caton,0,
Saratoga,President,,,Clifford Caton,0,
Schenectady,President,,,Clifford Caton,0,
Schoharie,President,,,Clifford Caton,0,
Schuyler,President,,,Clifford Caton,0,
Seneca,President,,,Clifford Caton,0,
Steuben,President,,,Clifford Caton,0,
Suffolk,President,,,Clifford Caton,0,
Sullivan,President,,,Clifford Caton,0,
Tioga,President,,,Clifford Caton,0,
Tompkins,President,,,Clifford Caton,0,
Ulster,President,,,Clifford Caton,0,
Warren,President,,,Clifford Caton,0,
Washington,President,,,Clifford Caton,0,
Wayne,President,,,Clifford Caton,0,
Westchester,President,,,Clifford Caton,0,
Wyoming,President,,,Clifford Caton,0,
Yates,President,,,Clifford Caton,0,
Bronx,President,,,Clifford Caton,0,
Kings,President,,,Clifford Caton,0,
New York,President,,,Clifford Caton,0,
Queens,President,,,Clifford Caton,0,
Richmond,President,,,Clifford Caton,0,
Albany,President,,,Gloria Dawn Strickland,0,
Allegany,President,,,Gloria Dawn Strickland,0,
Broome,President,,,Gloria Dawn Strickland,0,
Cattaraugus,President,,,Gloria Dawn Strickland,0,
Cayuga,President,,,Gloria Dawn Strickland,0,
Chautauqua,President,,,Gloria Dawn Strickland,0,
Chemung,President,,,Gloria Dawn Strickland,0,
Chenango,President,,,Gloria Dawn Strickland,0,
Clinton,President,,,Gloria Dawn Strickland,0,
Columbia,President,,,Gloria Dawn Strickland,0,
Cortland,President,,,Gloria Dawn Strickland,0,
Delaware,President,,,Gloria Dawn Strickland,0,
Dutchess,President,,,Gloria Dawn Strickland,0,
Erie,President,,,Gloria Dawn Strickland,0,
Essex,President,,,Gloria Dawn Strickland,0,
Franklin,President,,,Gloria Dawn Strickland,0,
Fulton,President,,,Gloria Dawn Strickland,0,
Genesee,President,,,Gloria Dawn Strickland,0,
Greene,President,,,Gloria Dawn Strickland,0,
Hamilton,President,,,Gloria Dawn Strickland,0,
Herkimer,President,,,Gloria Dawn Strickland,0,
Jefferson,President,,,Gloria Dawn Strickland,0,
Lewis,President,,,Gloria Dawn Strickland,0,
Livingston,President,,,Gloria Dawn Strickland,0,
Madison,President,,,Gloria Dawn Strickland,0,
Monroe,President,,,Gloria Dawn Strickland,0,
Montgomery,President,,,Gloria Dawn Strickland,0,
Nassau,President,,,Gloria Dawn Strickland,0,
Niagara,President,,,Gloria Dawn Strickland,0,
Oneida,President,,,Gloria Dawn Strickland,0,
Onondaga,President,,,Gloria Dawn Strickland,0,
Ontario,President,,,Gloria Dawn Strickland,0,
Orange,President,,,Gloria Dawn Strickland,0,
Orleans,President,,,Gloria Dawn Strickland,0,
Oswego,President,,,Gloria Dawn Strickland,0,
Otsego,President,,,Gloria Dawn Strickland,0,
Putnam,President,,,Gloria Dawn Strickland,0,
Rensselaer,President,,,Gloria Dawn Strickland,0,
Rockland,President,,,Gloria Dawn Strickland,0,
St. Lawrence,President,,,Gloria Dawn Strickland,0,
Saratoga,President,,,Gloria Dawn Strickland,0,
Schenectady,President,,,Gloria Dawn Strickland,0,
Schoharie,President,,,Gloria Dawn Strickland,0,
Schuyler,President,,,Gloria Dawn Strickland,0,
Seneca,President,,,Gloria Dawn Strickland,0,
Steuben,President,,,Gloria Dawn Strickland,0,
Suffolk,President,,,Gloria Dawn Strickland,0,
Sullivan,President,,,Gloria Dawn Strickland,0,
Tioga,President,,,Gloria Dawn Strickland,0,
Tompkins,President,,,Gloria Dawn Strickland,0,
Ulster,President,,,Gloria Dawn Strickland,0,
Warren,President,,,Gloria Dawn Strickland,0,
Washington,President,,,Gloria Dawn Strickland,0,
Wayne,President,,,Gloria Dawn Strickland,0,
Westchester,President,,,Gloria Dawn Strickland,0,
Wyoming,President,,,Gloria Dawn Strickland,0,
Yates,President,,,Gloria Dawn Strickland,0,
Bronx,President,,,Gloria Dawn Strickland,0,
Kings,President,,,Gloria Dawn Strickland,0,
New York,President,,,Gloria Dawn Strickland,0,
Queens,President,,,Gloria Dawn Strickland,0,
Richmond,President,,,Gloria Dawn Strickland,0,
Albany,President,,,"Blank, Void & Scattering",1610,
Allegany,President,,,"Blank, Void & Scattering",176,
Broome,President,,,"Blank, Void & Scattering",948,
Cattaraugus,President,,,"Blank, Void & Scattering",465,
Cayuga,President,,,"Blank, Void & Scattering",435,
Chautauqua,President,,,"Blank, Void & Scattering",562,
Chemung,President,,,"Blank, Void & Scattering",435,
Chenango,President,,,"Blank, Void & Scattering",291,
Clinton,President,,,"Blank, Void & Scattering",572,
Columbia,President,,,"Blank, Void & Scattering",288,
Cortland,President,,,"Blank, Void & Scattering",188,
Delaware,President,,,"Blank, Void & Scattering",194,
Dutchess,President,,,"Blank, Void & Scattering",852,
Erie,President,,,"Blank, Void & Scattering",7236,
Essex,President,,,"Blank, Void & Scattering",267,
Franklin,President,,,"Blank, Void & Scattering",295,
Fulton,President,,,"Blank, Void & Scattering",237,
Genesee,President,,,"Blank, Void & Scattering",288,
Greene,President,,,"Blank, Void & Scattering",214,
Hamilton,President,,,"Blank, Void & Scattering",51,
Herkimer,President,,,"Blank, Void & Scattering",363,
Jefferson,President,,,"Blank, Void & Scattering",441,
Lewis,President,,,"Blank, Void & Scattering",243,
Livingston,President,,,"Blank, Void & Scattering",224,
Madison,President,,,"Blank, Void & Scattering",333,
Monroe,President,,,"Blank, Void & Scattering",4632,
Montgomery,President,,,"Blank, Void & Scattering",306,
Nassau,President,,,"Blank, Void & Scattering",6984,
Niagara,President,,,"Blank, Void & Scattering",1232,
Oneida,President,,,"Blank, Void & Scattering",1439,
Onondaga,President,,,"Blank, Void & Scattering",2095,
Ontario,President,,,"Blank, Void & Scattering",290,
Orange,President,,,"Blank, Void & Scattering",1421,
Orleans,President,,,"Blank, Void & Scattering",154,
Oswego,President,,,"Blank, Void & Scattering",590,
Otsego,President,,,"Blank, Void & Scattering",358,
Putnam,President,,,"Blank, Void & Scattering",267,
Rensselaer,President,,,"Blank, Void & Scattering",700,
Rockland,President,,,"Blank, Void & Scattering",1750,
St. Lawrence,President,,,"Blank, Void & Scattering",662,
Saratoga,President,,,"Blank, Void & Scattering",598,
Schenectady,President,,,"Blank, Void & Scattering",720,
Schoharie,President,,,"Blank, Void & Scattering",120,
Schuyler,President,,,"Blank, Void & Scattering",100,
Seneca,President,,,"Blank, Void & Scattering",157,
Steuben,President,,,"Blank, Void & Scattering",376,
Suffolk,President,,,"Blank, Void & Scattering",3944,
Sullivan,President,,,"Blank, Void & Scattering",430,
Tioga,President,,,"Blank, Void & Scattering",131,
Tompkins,President,,,"Blank, Void & Scattering",291,
Ulster,President,,,"Blank, Void & Scattering",628,
Warren,President,,,"Blank, Void & Scattering",187,
Washington,President,,,"Blank, Void & Scattering",411,
Wayne,President,,,"Blank, Void & Scattering",304,
Westchester,President,,,"Blank, Void & Scattering",7186,
Wyoming,President,,,"Blank, Void & Scattering",166,
Yates,President,,,"Blank, Void & Scattering",313,
Bronx,President,,,"Blank, Void & Scattering",15243,
Kings,President,,,"Blank, Void & Scattering",25458,
New York,President,,,"Blank, Void & Scattering",18759,
Queens,President,,,"Blank, Void & Scattering",20202,
Richmond,President,,,"Blank, Void & Scattering",2404,
Albany,President,,,Total,143579,
Allegany,President,,,Total,18865,
Broome,President,,,Total,88011,
Cattaraugus,President,,,Total,34198,
Cayuga,President,,,Total,34413,
Chautauqua,President,,,Total,59282,
Chemung,President,,,Total,38145,
Chenango,President,,,Total,20541,
Clinton,President,,,Total,31127,
Columbia,President,,,Total,28979,
Cortland,President,,,Total,20911,
Delaware,President,,,Total,20369,
Dutchess,President,,,Total,112614,
Erie,President,,,Total,431890,
Essex,President,,,Total,18199,
Franklin,President,,,Total,17742,
Fulton,President,,,Total,21908,
Genesee,President,,,Total,26357,
Greene,President,,,Total,21308,
Hamilton,President,,,Total,3733,
Herkimer,President,,,Total,28068,
Jefferson,President,,,Total,36859,
Lewis,President,,,Total,11166,
Livingston,President,,,Total,27447,
Madison,President,,,Total,28699,
Monroe,President,,,Total,322394,
Montgomery,President,,,Total,21115,
Nassau,President,,,Total,596691,
Niagara,President,,,Total,94489,
Oneida,President,,,Total,97435,
Onondaga,President,,,Total,205724,
Ontario,President,,,Total,46238,
Orange,President,,,Total,127970,
Orleans,President,,,Total,15997,
Oswego,President,,,Total,49063,
Otsego,President,,,Total,25716,
Putnam,President,,,Total,42814,
Rensselaer,President,,,Total,69136,
Rockland,President,,,Total,124330,
St. Lawrence,President,,,Total,40441,
Saratoga,President,,,Total,95655,
Schenectady,President,,,Total,67666,
Schoharie,President,,,Total,13668,
Schuyler,President,,,Total,8253,
Seneca,President,,,Total,14490,
Steuben,President,,,Total,40939,
Suffolk,President,,,Total,577810,
Sullivan,President,,,Total,28954,
Tioga,President,,,Total,22585,
Tompkins,President,,,Total,40351,
Ulster,President,,,Total,78853,
Warren,President,,,Total,28808,
Washington,President,,,Total,23966,
Wayne,President,,,Total,38633,
Westchester,President,,,Total,378961,
Wyoming,President,,,Total,17793,
Yates,President,,,Total,10365,
Bronx,President,,,Total,323291,
Kings,President,,,Total,642563,
New York,President,,,Total,581991,
Queens,President,,,Total,576132,
Richmond,President,,,Total,144525,
Albany,U.S. Senate,,REP,Rick Lazio,53513,
Allegany,U.S. Senate,,REP,Rick Lazio,10650,
Broome,U.S. Senate,,REP,Rick Lazio,40950,
Cattaraugus,U.S. Senate,,REP,Rick Lazio,17342,
Cayuga,U.S. Senate,,REP,Rick Lazio,15019,
Chautauqua,U.S. Senate,,REP,Rick Lazio,29061,
Chemung,U.S. Senate,,REP,Rick Lazio,19524,
Chenango,U.S. Senate,,REP,Rick Lazio,10521,
Clinton,U.S. Senate,,REP,Rick Lazio,14361,
Columbia,U.S. Senate,,REP,Rick Lazio,13536,
Cortland,U.S. Senate,,REP,Rick Lazio,10131,
Delaware,U.S. Senate,,REP,Rick Lazio,10847,
Dutchess,U.S. Senate,,REP,Rick Lazio,57864,
Erie,U.S. Senate,,REP,Rick Lazio,163431,
Essex,U.S. Senate,,REP,Rick Lazio,9490,
Franklin,U.S. Senate,,REP,Rick Lazio,7864,
Fulton,U.S. Senate,,REP,Rick Lazio,11716,
Genesee,U.S. Senate,,REP,Rick Lazio,14042,
Greene,U.S. Senate,,REP,Rick Lazio,11527,
Hamilton,U.S. Senate,,REP,Rick Lazio,2344,
Herkimer,U.S. Senate,,REP,Rick Lazio,13990,
Jefferson,U.S. Senate,,REP,Rick Lazio,16218,
Lewis,U.S. Senate,,REP,Rick Lazio,5765,
Livingston,U.S. Senate,,REP,Rick Lazio,14825,
Madison,U.S. Senate,,REP,Rick Lazio,14754,
Monroe,U.S. Senate,,REP,Rick Lazio,145285,
Montgomery,U.S. Senate,,REP,Rick Lazio,9641,
Nassau,U.S. Senate,,REP,Rick Lazio,294205,
Niagara,U.S. Senate,,REP,Rick Lazio,40340,
Oneida,U.S. Senate,,REP,Rick Lazio,49048,
Onondaga,U.S. Senate,,REP,Rick Lazio,85903,
Ontario,U.S. Senate,,REP,Rick Lazio,24128,
Orange,U.S. Senate,,REP,Rick Lazio,69790,
Orleans,U.S. Senate,,REP,Rick Lazio,8676,
Oswego,U.S. Senate,,REP,Rick Lazio,22293,
Otsego,U.S. Senate,,REP,Rick Lazio,12595,
Putnam,U.S. Senate,,REP,Rick Lazio,23895,
Rensselaer,U.S. Senate,,REP,Rick Lazio,30039,
Rockland,U.S. Senate,,REP,Rick Lazio,59262,
St. Lawrence,U.S. Senate,,REP,Rick Lazio,16001,
Saratoga,U.S. Senate,,REP,Rick Lazio,48150,
Schenectady,U.S. Senate,,REP,Rick Lazio,29923,
Schoharie,U.S. Senate,,REP,Rick Lazio,7335,
Schuyler,U.S. Senate,,REP,Rick Lazio,4358,
Seneca,U.S. Senate,,REP,Rick Lazio,6813,
Steuben,U.S. Senate,,REP,Rick Lazio,23700,
Suffolk,U.S. Senate,,REP,Rick Lazio,303905,
Sullivan,U.S. Senate,,REP,Rick Lazio,13603,
Tioga,U.S. Senate,,REP,Rick Lazio,12732,
Tompkins,U.S. Senate,,REP,Rick Lazio,15100,
Ulster,U.S. Senate,,REP,Rick Lazio,35978,
Warren,U.S. Senate,,REP,Rick Lazio,15604,
Washington,U.S. Senate,,REP,Rick Lazio,12652,
Wayne,U.S. Senate,,REP,Rick Lazio,20883,
Westchester,U.S. Senate,,REP,Rick Lazio,163774,
Wyoming,U.S. Senate,,REP,Rick Lazio,10261,
Yates,U.S. Senate,,REP,Rick Lazio,5606,
Bronx,U.S. Senate,,REP,Rick Lazio,40363,
Kings,U.S. Senate,,REP,Rick Lazio,131990,
New York,U.S. Senate,,REP,Rick Lazio,115112,
Queens,U.S. Senate,,REP,Rick Lazio,150828,
Richmond,U.S. Senate,,REP,Rick Lazio,75533,
,U.S. Senate,,REP,Rick Lazio,2724589,
Albany,U.S. Senate,,DEM,Hillary Clinton,77608,
Allegany,U.S. Senate,,DEM,Hillary Clinton,6078,
Broome,U.S. Senate,,DEM,Hillary Clinton,39292,
Cattaraugus,U.S. Senate,,DEM,Hillary Clinton,13552,
Cayuga,U.S. Senate,,DEM,Hillary Clinton,16173,
Chautauqua,U.S. Senate,,DEM,Hillary Clinton,24703,
Chemung,U.S. Senate,,DEM,Hillary Clinton,15762,
Chenango,U.S. Senate,,DEM,Hillary Clinton,8173,
Clinton,U.S. Senate,,DEM,Hillary Clinton,13607,
Columbia,U.S. Senate,,DEM,Hillary Clinton,11871,
